Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Juan Delgado,cl CHI,DF,30-029,24.6,0,14,6,42.9,0.57,0.24,0.0,0.0,15.4,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Vitorino Antunes,pt POR,DF,36-002,23.6,1,21,7,33.3,0.89,0.3,0.0,0.0,27.0,6,1,1,1.5,0.7,0.04,-0.5,-0.7,Matches
Rui Pires,pt POR,MF,25-012,21.1,0,4,0,0.0,0.19,0.0,0.0,,19.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Nuno Lima,pt POR,DF,22-018,21.2,1,8,5,62.5,0.38,0.24,0.13,0.2,11.7,0,0,0,1.2,1.2,0.17,-0.2,-0.2,Matches
Nigel Thomas,nl NED,"FW,MF",22-061,17.3,3,38,16,42.1,2.2,0.92,0.08,0.19,23.1,4,0,0,1.8,1.8,0.05,1.2,1.2,Matches
Nicolás Gaitán,ar ARG,"FW,MF",35-039,13.7,2,26,8,30.8,1.89,0.58,0.08,0.25,16.6,0,0,0,2.7,2.7,0.1,-0.7,-0.7,Matches
Jordan Holsgrove,sct SCO,MF,23-205,15.3,2,29,8,27.6,1.89,0.52,0.07,0.25,22.6,0,0,0,1.5,1.5,0.05,0.5,0.5,Matches
Matchoi Djaló,pt POR,"MF,FW",19-358,14.1,1,35,11,31.4,2.48,0.78,0.03,0.09,25.1,7,0,0,1.4,1.4,0.04,-0.4,-0.4,Matches
José Carlos Marafona,pt POR,GK,35-330,11.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Adrián Butzke,es ESP,FW,24-004,12.5,5,43,13,30.2,3.43,1.04,0.12,0.38,13.5,0,0,0,4.5,4.5,0.11,0.5,0.5,Matches
Zé Uilton,br BRA,"FW,MF",30-252,12.0,1,14,5,35.7,1.17,0.42,0.07,0.2,23.2,0,0,0,1.4,1.4,0.1,-0.4,-0.4,Matches
Luíz Carlos,br BRA,MF,37-272,9.1,0,6,1,16.7,0.66,0.11,0.0,0.0,24.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Maracás,br BRA,DF,28-341,9.0,0,3,0,0.0,0.33,0.0,0.0,,11.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Erick Ferigra,ec ECU,DF,24-055,9.9,0,3,1,33.3,0.3,0.1,0.0,0.0,8.7,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
Flávio Ramos,br BRA,DF,28-326,8.3,0,3,0,0.0,0.36,0.0,0.0,,18.6,1,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Philippe Koffi,fr FRA,FW,21-025,7.4,2,13,6,46.2,1.76,0.81,0.15,0.33,15.7,0,0,0,2.0,2.0,0.15,0.0,0.0,Matches
Igor Vekič,si SVN,GK,24-332,6.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jordi Almeida,br BRA,GK,29-212,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alexandre Guedes,pt POR,FW,29-051,4.9,0,12,3,25.0,2.43,0.61,0.0,0.0,13.6,0,0,0,1.1,1.1,0.09,-1.1,-1.1,Matches
Bastien Toma,ch SUI,MF,23-283,4.8,0,10,1,10.0,2.09,0.21,0.0,0.0,25.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Arthur Sales,br BRA,"FW,MF",20-274,4.0,0,5,1,20.0,1.24,0.25,0.0,0.0,16.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Abbas Ibrahim,ng NGA,"MF,DF",25-091,3.6,0,1,0,0.0,0.27,0.0,0.0,,34.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Paulo Bernardo,pt POR,MF,21-069,3.1,1,6,4,66.7,1.91,1.28,0.17,0.25,20.0,0,0,0,0.6,0.6,0.09,0.4,0.4,Matches
Kayky Chagas,br BRA,"MF,FW",19-296,3.0,0,5,3,60.0,1.65,0.99,0.0,0.0,15.3,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Hernani Infande,pt POR,"FW,MF",22-000,2.8,0,2,2,100.0,0.71,0.71,0.0,0.0,12.3,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
Tiago Ilori,pt POR,DF,30-036,2.3,0,1,0,0.0,0.44,0.0,0.0,,9.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Pedro Ganchas,pt POR,DF,22-307,2.7,0,2,0,0.0,0.73,0.0,0.0,,9.4,0,0,0,0.4,0.4,0.18,-0.4,-0.4,Matches
Luís Alves,pt POR,DF,21-205,2.3,0,1,0,0.0,0.44,0.0,0.0,,34.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
José Oliveira,pt POR,GK,20-362,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Fernando Ferreira Fonseca,pt POR,"DF,FW",26-020,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jorge Fernando Santos Silva,pt POR,"DF,MF",27-012,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Fábio,br BRA,FW,25-313,1.7,0,5,0,0.0,2.92,0.0,0.0,,13.0,0,0,0,0.7,0.7,0.14,-0.7,-0.7,Matches
Lucas Silva,br BRA,FW,25-063,0.2,0,1,1,100.0,4.29,4.29,0.0,0.0,24.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Mauro Meireles Couto,pt POR,MF,17-139,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.2,26.0,19,311,102,32.8,11.96,3.92,0.06,0.18,19.5,18,1,1,24.1,23.3,0.08,-5.1,-5.3,
Opponent Total,,,26.7,26.0,40,363,117,32.2,13.96,4.5,0.11,0.33,18.0,18,1,2,39.3,37.7,0.11,0.7,1.3,
