Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Filipe Relvas,pt POR,DF,23-195,24.9,34,21,19,12,3,12,17,70.6,5,28,17,11,49,83,111,0,Matches
Fahd Moufi,ma MAR,DF,26-333,21.7,21,14,10,9,2,12,20,60.0,8,30,14,16,37,58,48,0,Matches
Kosuke Nakamura,jp JPN,GK,28-035,21.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,17,1,Matches
Pedrão,br BRA,DF,25-335,21.0,29,17,22,4,3,14,25,56.0,11,30,15,15,21,50,84,1,Matches
Moustapha Seck,sn SEN,DF,27-039,19.4,38,27,17,15,6,23,34,67.6,11,19,6,13,26,64,31,2,Matches
Welinton Júnior,br BRA,"FW,MF",29-299,16.7,15,6,2,8,5,5,20,25.0,15,7,0,7,4,19,7,1,Matches
Paulo Estrela Moreira,pt POR,MF,24-042,13.9,35,18,8,27,0,14,35,40.0,21,21,3,18,30,65,24,0,Matches
Lamine Diaby,fr FRA,"MF,DF",26-212,13.3,31,17,15,13,3,10,14,71.4,4,12,4,8,16,47,39,2,Matches
Yago Cariello,br BRA,FW,23-250,12.4,5,3,1,2,2,2,7,28.6,5,7,1,6,0,5,16,0,Matches
Zié Mohamed Ouattara,ci CIV,"FW,MF",23-084,12.1,28,16,15,12,1,11,17,64.7,6,16,3,13,14,42,20,0,Matches
Luquinha,br BRA,"MF,FW",22-182,13.0,17,12,9,2,6,8,18,44.4,10,21,2,19,1,18,3,0,Matches
Pedro Sá,pt POR,MF,29-123,8.1,11,3,2,7,2,7,27,25.9,20,7,3,4,6,17,20,0,Matches
Bryan Róchez,hn HON,FW,28-092,7.9,7,5,2,5,0,1,7,14.3,6,3,2,1,1,8,8,0,Matches
Gustavo Klismahn,br BRA,MF,23-131,6.1,12,8,3,8,1,2,5,40.0,3,7,1,6,3,15,6,0,Matches
Rui Gomes,pt POR,"FW,MF",25-211,8.7,9,5,1,5,3,5,15,33.3,10,9,1,8,7,16,9,0,Matches
Ewerton,br BRA,MF,30-123,6.5,18,12,5,8,5,8,16,50.0,8,6,1,5,3,21,4,0,Matches
Lucão,br BRA,DF,30-255,5.5,6,4,5,0,1,4,5,80.0,1,4,4,0,2,8,20,0,Matches
Henrique Jocú,pt POR,"MF,FW",21-206,5.1,13,5,5,8,0,4,15,26.7,11,6,3,3,7,20,5,0,Matches
Park Ji-soo,kr KOR,DF,28-294,5.0,9,8,3,6,0,6,6,100.0,0,5,4,1,3,12,22,0,Matches
Anderson,br BRA,"FW,MF",24-261,4.2,2,0,0,1,1,1,6,16.7,5,5,0,5,0,2,1,0,Matches
Nonoca,br BRA,MF,24-319,3.9,6,6,2,4,0,3,6,50.0,3,9,2,7,1,7,1,1,Matches
Maurício,br BRA,"MF,DF",34-164,4.8,8,7,3,3,2,6,14,42.9,8,5,0,5,5,13,4,0,Matches
Samuel Portugal,br BRA,GK,29-005,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Willyan,br BRA,"DF,MF",28-066,4.0,7,4,6,1,0,5,8,62.5,3,4,3,1,8,15,16,0,Matches
Yony González,co COL,"FW,MF",28-266,2.9,7,5,4,3,0,2,3,66.7,1,2,0,2,0,7,4,0,Matches
Gonçalo Costa,pt POR,"FW,DF",23-044,2.1,4,2,2,1,1,1,5,20.0,4,2,0,2,5,9,2,0,Matches
Adewele Sapara,ng NGA,"FW,MF",28-066,1.3,5,4,4,1,0,2,2,100.0,0,0,0,0,3,8,2,0,Matches
Wagner,br BRA,DF,23-254,1.0,3,3,1,2,0,2,3,66.7,1,1,0,1,2,5,2,0,Matches
Ricardo Matos,pt POR,"FW,MF",23-009,2.1,2,2,1,0,1,1,2,50.0,1,0,0,0,0,2,1,0,Matches
Bruno Reis,pt POR,MF,23-257,0.5,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,Matches
Sérgio Conceição,pt POR,MF,26-142,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
David Pastor,br BRA,MF,23-042,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Wilinton Aponzá,co COL,MF,23-005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.3,25.0,384,236,168,168,48,172,357,48.2,185,267,89,178,254,638,527,8,
Opponent Total,,,26.9,25.0,375,216,177,152,46,180,342,52.6,162,246,65,181,231,606,495,2,
