Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Filipe Relvas,pt POR,DF,23-180,24.9,31,1.25,23,0,0,4,2,2,3,0.12,3,0,0,0,0,0,Matches
Fahd Moufi,ma MAR,DF,26-318,21.7,52,2.4,37,8,3,0,4,0,4,0.18,4,0,0,0,0,0,Matches
Kosuke Nakamura,jp JPN,GK,28-020,21.0,4,0.19,3,1,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Pedrão,br BRA,DF,25-320,21.0,28,1.34,24,1,0,1,1,1,0,0.0,0,0,0,0,0,0,Matches
Moustapha Seck,sn SEN,DF,27-024,19.4,42,2.16,27,8,2,1,2,2,3,0.15,3,0,0,0,0,0,Matches
Welinton Júnior,br BRA,"FW,MF",29-284,16.7,42,2.51,20,0,4,13,5,0,3,0.18,1,0,0,1,1,0,Matches
Paulo Estrela Moreira,pt POR,MF,24-027,13.9,50,3.59,23,26,0,0,1,0,1,0.07,0,1,0,0,0,0,Matches
Lamine Diaby,fr FRA,"MF,DF",26-197,13.3,18,1.35,13,0,2,3,0,0,2,0.15,2,0,0,0,0,0,Matches
Yago Cariello,br BRA,FW,23-235,12.4,24,1.93,16,0,2,3,3,0,1,0.08,0,0,0,0,1,0,Matches
Zié Mohamed Ouattara,ci CIV,"FW,MF",23-069,12.1,27,2.23,23,1,1,2,0,0,1,0.08,0,0,0,1,0,0,Matches
Luquinha,br BRA,"MF,FW",22-167,13.0,57,4.38,41,8,2,4,1,1,3,0.23,2,0,0,0,1,0,Matches
Pedro Sá,pt POR,MF,29-108,8.1,11,1.36,5,1,1,0,4,0,1,0.12,1,0,0,0,0,0,Matches
Bryan Róchez,hn HON,FW,28-077,7.9,18,2.26,13,0,0,1,4,0,3,0.38,2,0,0,0,1,0,Matches
Gustavo Klismahn,br BRA,MF,23-116,6.1,8,1.32,6,1,1,0,0,0,1,0.16,1,0,0,0,0,0,Matches
Rui Gomes,pt POR,"FW,MF",25-196,8.7,46,5.33,31,9,2,4,0,0,4,0.46,2,0,1,1,0,0,Matches
Ewerton,br BRA,MF,30-108,6.5,13,2.01,9,0,0,3,0,1,1,0.15,1,0,0,0,0,0,Matches
Lucão,br BRA,DF,30-240,5.5,3,0.55,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Henrique Jocú,pt POR,"MF,FW",21-191,5.1,7,1.38,5,1,0,0,0,1,1,0.2,0,0,0,0,0,1,Matches
Park Ji-soo,kr KOR,DF,28-279,5.0,3,0.6,1,1,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Anderson,br BRA,"FW,MF",24-246,4.2,19,4.55,14,0,2,3,0,0,0,0.0,0,0,0,0,0,0,Matches
Nonoca,br BRA,MF,24-304,3.9,8,2.08,2,3,0,2,1,0,0,0.0,0,0,0,0,0,0,Matches
Maurício,br BRA,"MF,DF",34-149,4.8,10,2.08,8,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Samuel Portugal,br BRA,GK,28-355,4.0,2,0.5,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Willyan,br BRA,"DF,MF",28-051,4.0,5,1.25,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Yony González,co COL,"FW,MF",28-251,2.9,6,2.05,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Gonçalo Costa,pt POR,"FW,DF",23-029,2.1,4,1.9,2,0,2,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Adewele Sapara,ng NGA,"FW,MF",28-051,1.3,3,2.29,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Wagner,br BRA,DF,23-239,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ricardo Matos,pt POR,"FW,MF",22-359,2.1,6,2.87,3,0,0,3,0,0,0,0.0,0,0,0,0,0,0,Matches
Bruno Reis,pt POR,MF,23-242,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Sérgio Conceição,pt POR,MF,26-127,0.1,1,6.92,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
David Pastor,br BRA,MF,23-027,0.0,1,45.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Wilinton Aponzá,co COL,MF,22-355,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.2,25.0,549,21.96,367,70,24,50,29,9,33,1.32,23,1,1,3,4,1,
Opponent Total,,,26.9,25.0,676,27.04,490,57,30,46,40,13,54,2.16,46,1,2,3,2,0,
