Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Filipe Relvas,pt POR,DF,23-195,24.9,1184,1438,82.3,25269,9604,328,386,85.0,660,740,89.2,183,272,67.3,1,0.6,1.3,0.4,9,89,9,2,89,Matches
Fahd Moufi,ma MAR,DF,26-333,21.7,775,1104,70.2,13229,4795,363,429,84.6,329,442,74.4,62,158,39.2,1,2.2,2.2,-1.2,25,49,23,16,56,Matches
Kosuke Nakamura,jp JPN,GK,28-035,21.0,568,828,68.6,16905,12364,79,79,100.0,302,309,97.7,185,435,42.5,0,0.0,0.0,0.0,0,16,0,0,0,Matches
Pedrão,br BRA,DF,25-335,21.0,930,1158,80.3,19809,7910,260,300,86.7,522,565,92.4,139,260,53.5,0,0.7,0.8,-0.7,10,90,10,1,86,Matches
Moustapha Seck,sn SEN,DF,27-039,19.4,501,789,63.5,8818,3845,232,284,81.7,208,309,67.3,53,134,39.6,1,2.3,2.2,-1.3,18,37,21,18,53,Matches
Welinton Júnior,br BRA,"FW,MF",29-299,16.7,193,291,66.3,2635,625,109,144,75.7,60,77,77.9,9,17,52.9,0,1.6,1.2,-1.6,8,19,8,1,34,Matches
Paulo Estrela Moreira,pt POR,MF,24-042,13.9,559,715,78.2,11503,3622,188,223,84.3,259,303,85.5,102,160,63.8,1,2.5,2.9,-1.5,33,65,6,4,73,Matches
Lamine Diaby,fr FRA,"MF,DF",26-212,13.3,389,479,81.2,7598,2064,133,159,83.6,200,225,88.9,47,63,74.6,0,0.4,0.3,-0.4,6,37,3,0,46,Matches
Yago Cariello,br BRA,FW,23-250,12.4,129,211,61.1,1671,218,78,112,69.6,33,58,56.9,5,10,50.0,0,0.8,0.6,-0.8,14,10,2,0,8,Matches
Zié Mohamed Ouattara,ci CIV,"FW,MF",23-084,12.1,363,493,73.6,6121,1901,166,197,84.3,149,190,78.4,37,71,52.1,0,1.2,1.3,-1.2,14,24,10,4,42,Matches
Luquinha,br BRA,"MF,FW",22-182,13.0,408,527,77.4,6211,1867,216,254,85.0,145,173,83.8,25,52,48.1,1,1.8,2.1,-0.8,28,54,16,4,68,Matches
Pedro Sá,pt POR,MF,29-123,8.1,262,344,76.2,4803,1322,100,122,82.0,118,137,86.1,34,60,56.7,1,0.4,0.4,0.6,4,21,3,0,32,Matches
Bryan Róchez,hn HON,FW,28-092,7.9,89,143,62.2,1122,262,51,77,66.2,27,41,65.9,1,4,25.0,2,0.8,0.3,1.2,9,8,2,0,11,Matches
Gustavo Klismahn,br BRA,MF,23-131,6.1,129,184,70.1,1820,547,67,83,80.7,46,60,76.7,7,24,29.2,1,0.5,0.4,0.5,3,11,3,2,11,Matches
Rui Gomes,pt POR,"FW,MF",25-211,8.7,203,300,67.7,3280,1057,95,112,84.8,74,104,71.2,20,45,44.4,1,3.0,3.1,-2.0,21,17,15,6,33,Matches
Ewerton,br BRA,MF,30-123,6.5,170,214,79.4,2679,653,92,106,86.8,67,83,80.7,7,12,58.3,1,0.3,0.4,0.7,5,15,4,1,21,Matches
Lucão,br BRA,DF,30-255,5.5,244,288,84.7,5119,1685,56,60,93.3,151,162,93.2,33,61,54.1,0,0.0,0.0,0.0,0,9,0,0,9,Matches
Henrique Jocú,pt POR,"MF,FW",21-206,5.1,176,219,80.4,3402,616,67,79,84.8,79,92,85.9,25,38,65.8,0,0.5,0.3,-0.5,3,5,3,3,8,Matches
Park Ji-soo,kr KOR,DF,28-294,5.0,208,265,78.5,4102,1617,71,77,92.2,110,125,88.0,27,56,48.2,0,0.0,0.0,0.0,0,8,0,0,12,Matches
Anderson,br BRA,"FW,MF",24-261,4.2,111,140,79.3,1540,459,64,71,90.1,30,38,78.9,7,10,70.0,0,1.0,0.3,-1.0,8,10,6,3,16,Matches
