Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Jhonatan,br BRA,GK,31-333,26,26,2340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Costinha,pt POR,"DF,MF",23-011,26,26,2167.0,24.1,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.4,1.4,2.1,3.5,54.0,84.0,150.0,0.08,0.04,0.12,0.08,0.12,0.06,0.09,0.15,0.06,0.15,Matches
Gonçalo Rodrigues,pt POR,MF,25-262,25,25,2203.0,24.5,2.0,1.0,3.0,2.0,0.0,0.0,5.0,1.0,2.1,2.1,3.1,5.2,61.0,137.0,65.0,0.08,0.04,0.12,0.08,0.12,0.09,0.12,0.21,0.09,0.21,Matches
Aderlan Santos,br BRA,DF,33-362,24,24,2101.0,23.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.1,1.1,3.0,42.0,0.0,0.04,0.0,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05,Matches
Fábio Conceição,pt POR,"DF,FW",21-343,24,17,1509.0,16.8,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,2.3,2.2,1.8,4.0,46.0,37.0,97.0,0.18,0.12,0.3,0.18,0.3,0.14,0.11,0.25,0.13,0.24,Matches
Emmanuel Boateng,gh GHA,"FW,MF",26-318,21,17,1445.0,16.1,4.0,0.0,4.0,4.0,0.0,1.0,3.0,0.0,5.5,4.7,1.1,5.8,14.0,13.0,71.0,0.25,0.0,0.25,0.25,0.25,0.34,0.07,0.41,0.29,0.36,Matches
Patrick,br BRA,DF,25-307,19,16,1335.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.6,1.5,13.0,77.0,5.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.1,0.06,0.1,Matches
Josué Sá,pt POR,DF,30-293,17,16,1303.0,14.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.4,0.4,22.0,65.0,4.0,0.0,0.07,0.07,0.0,0.07,0.0,0.03,0.03,0.0,0.03,Matches
Abdul-Aziz Yakubu,gh GHA,FW,24-147,17,16,1281.0,14.2,7.0,3.0,10.0,5.0,2.0,2.0,2.0,0.0,3.8,2.2,1.6,3.7,20.0,12.0,88.0,0.49,0.21,0.7,0.35,0.56,0.27,0.11,0.38,0.15,0.26,Matches
Andreas Samaris,gr GRE,MF,33-297,18,15,1109.0,12.3,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.4,0.7,6.0,47.0,8.0,0.0,0.08,0.08,0.0,0.08,0.02,0.03,0.05,0.02,0.05,Matches
Renato Pantalon,hr CRO,DF,25-161,15,14,1225.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.3,0.3,0.1,0.4,5.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Miguel Baeza,es ESP,"MF,FW",23-010,16,12,892.0,9.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.8,1.5,23.0,36.0,45.0,0.0,0.1,0.1,0.0,0.1,0.07,0.08,0.15,0.07,0.15,Matches
Pedro Amaral,pt POR,DF,25-224,12,11,987.0,11.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,0.6,1.0,11.0,44.0,43.0,0.09,0.18,0.27,0.09,0.27,0.04,0.05,0.1,0.04,0.1,Matches
André Pereira,pt POR,FW,27-336,14,9,752.0,8.4,1.0,2.0,3.0,0.0,1.0,2.0,4.0,0.0,3.3,1.7,2.3,4.0,16.0,16.0,37.0,0.12,0.24,0.36,0.0,0.24,0.4,0.28,0.67,0.21,0.48,Matches
