Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Gabriel Vieira,br BRA,"FW,MF",21-012,20.4,55,2.7,22,15,3,4,10,1,3,0.15,0,0,1,0,2,0,Matches
Kennedy Boateng,tg TOG,DF,26-125,19.7,9,0.46,9,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Adriano,br BRA,"MF,DF",23-150,17.3,28,1.62,23,0,1,2,1,1,2,0.12,1,0,0,1,0,0,Matches
Gabriel Batista,br BRA,GK,24-304,18.0,5,0.28,2,3,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Victor Bobsin,br BRA,MF,23-081,17.9,30,1.68,27,0,0,1,2,0,2,0.11,2,0,0,0,0,0,Matches
Pierre Sagna,sn SEN,DF,32-225,13.8,24,1.73,14,7,1,0,1,1,0,0.0,0,0,0,0,0,0,Matches
Ricardinho,pt POR,"FW,MF",24-240,13.9,37,2.64,32,0,1,2,2,0,3,0.21,3,0,0,0,0,0,Matches
Paulo Henrique Rodrigues Cabral,pt POR,DF,26-162,13.1,9,0.69,7,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kyosuke Tagawa,jp JPN,FW,24-051,12.2,14,1.14,7,0,2,2,2,1,1,0.08,0,0,0,1,0,0,Matches
Bruno Messi,pt POR,"MF,FW",26-206,11.2,35,3.13,20,9,0,1,4,1,5,0.45,3,1,0,0,1,0,Matches
Allano,br BRA,"FW,MF",27-344,10.2,20,1.95,10,2,4,0,4,0,0,0.0,0,0,0,0,0,0,Matches
Cristian González,uy URU,DF,26-254,11.7,2,0.17,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ítalo,br BRA,DF,21-044,10.0,1,0.1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kento Misao,jp JPN,MF,26-352,9.3,13,1.39,11,0,0,0,1,1,0,0.0,0,0,0,0,0,0,Matches
Xavi Quintillà,es ESP,DF,26-223,8.0,20,2.49,8,10,0,0,1,1,1,0.12,0,1,0,0,0,0,Matches
Marco André Rocha Pereira,pt POR,GK,36-081,8.0,2,0.25,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
MT,br BRA,"DF,MF",22-033,7.2,6,0.83,4,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Rildo,br BRA,"FW,MF",23-072,8.5,19,2.24,8,0,6,4,1,0,4,0.47,1,0,3,0,0,0,Matches
Matheus Babi,br BRA,FW,25-259,8.0,19,2.38,11,0,0,3,4,1,1,0.13,0,0,0,1,0,0,Matches
Diogo Calila,pt POR,"DF,MF",24-175,6.8,4,0.59,2,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Anderson Carvalho,br BRA,MF,32-318,5.5,11,2.01,9,0,2,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Paulo Godinho,br BRA,DF,21-048,5.3,2,0.38,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Costinha,pt POR,"MF,FW",30-221,4.5,12,2.67,8,3,1,0,0,0,1,0.22,1,0,0,0,0,0,Matches
Eulânio Ângelo Chipela Gomes,gw GNB,DF,28-321,4.5,8,1.77,7,0,1,0,0,0,2,0.44,1,0,1,0,0,0,Matches
Walter González,py PAR,FW,27-317,4.4,3,0.68,3,0,0,0,0,0,1,0.23,1,0,0,0,0,0,Matches
Ygor Nogueira,br BRA,DF,28-007,3.8,3,0.78,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pedro Bicalho,br BRA,"MF,FW",21-345,2.1,1,0.48,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bruno Jordão,pt POR,MF,24-173,2.1,5,2.39,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Joao Marcos,br BRA,"FW,MF",22-327,1.8,1,0.56,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Andrezinho,pt POR,"DF,MF",26-123,1.8,6,3.4,3,1,1,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Filip Stevanovic,rs SRB,"FW,MF",20-190,1.5,4,2.65,4,0,0,0,0,0,1,0.66,1,0,0,0,0,0,Matches
Rodrigo Valente,pt POR,"MF,FW",22-047,1.1,4,3.79,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rui Costa,pt POR,MF,27-042,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rúben Alexandre Gomes Oliveira,pt POR,MF,28-110,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.6,26.0,412,15.85,268,55,24,22,34,9,28,1.08,15,2,5,3,3,0,
Opponent Total,,,26.8,26.0,642,24.69,439,73,29,52,38,11,63,2.42,37,11,4,6,5,0,
