Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Gabriel Vieira,br BRA,"FW,MF",21-012,26,1835.0,71.0,78.4,20.4,21,80.0,11,5,29.0,0,0.58,13.0,35.0,-22.0,-1.08,-0.72,16.7,30.4,-13.6,-0.67,-0.06,Matches
Kennedy Boateng,tg TOG,DF,26-125,20,1775.0,89.0,75.9,19.7,20,89.0,19,0,,2,0.75,15.0,29.0,-14.0,-0.71,0.88,15.7,27.8,-12.0,-0.61,0.19,Matches
Adriano,br BRA,"MF,DF",23-150,23,1558.0,68.0,66.6,17.3,19,76.0,6,4,30.0,2,0.57,9.0,29.0,-20.0,-1.16,-0.69,13.7,28.4,-14.7,-0.85,-0.58,Matches
Gabriel Batista,br BRA,GK,24-304,18,1620.0,90.0,69.2,18.0,18,90.0,18,0,,3,0.56,12.0,32.0,-20.0,-1.11,-0.61,14.9,29.0,-14.1,-0.79,-0.42,Matches
Victor Bobsin,br BRA,MF,23-081,23,1608.0,70.0,68.7,17.9,18,81.0,12,5,29.0,2,0.61,15.0,24.0,-9.0,-0.5,1.34,15.0,23.2,-8.3,-0.46,0.61,Matches
Pierre Sagna,sn SEN,DF,32-225,17,1245.0,73.0,53.2,13.8,16,74.0,4,1,65.0,0,0.82,9.0,18.0,-9.0,-0.65,0.58,10.4,17.6,-7.3,-0.52,0.28,Matches
Ricardinho,pt POR,"FW,MF",24-240,18,1255.0,70.0,53.6,13.9,15,77.0,8,3,33.0,0,0.78,10.0,18.0,-8.0,-0.57,0.75,12.1,18.0,-6.0,-0.43,0.49,Matches
Paulo Henrique Rodrigues Cabral,pt POR,DF,26-162,14,1178.0,84.0,50.3,13.1,14,84.0,11,0,,5,0.5,7.0,19.0,-12.0,-0.92,0.01,9.4,19.8,-10.3,-0.79,-0.27,Matches
Kyosuke Tagawa,jp JPN,FW,24-051,21,1100.0,52.0,47.0,12.2,13,70.0,2,8,25.0,4,0.62,6.0,19.0,-13.0,-1.06,-0.27,11.5,17.5,-6.0,-0.49,0.31,Matches
Bruno Messi,pt POR,"MF,FW",26-206,18,1005.0,56.0,42.9,11.2,13,68.0,1,5,25.0,1,0.5,8.0,21.0,-13.0,-1.16,-0.42,9.8,19.2,-9.4,-0.84,-0.32,Matches
Allano,br BRA,"FW,MF",27-344,15,921.0,61.0,39.4,10.2,12,69.0,1,3,32.0,0,0.47,6.0,14.0,-8.0,-0.78,0.23,7.4,13.9,-6.5,-0.64,0.03,Matches
Cristian González,uy URU,DF,26-254,13,1055.0,81.0,45.1,11.7,11,90.0,10,2,33.0,1,1.08,7.0,12.0,-5.0,-0.43,0.9,7.4,14.7,-7.3,-0.62,0.06,Matches
Ítalo,br BRA,DF,21-044,10,897.0,90.0,38.3,10.0,10,90.0,9,0,,2,0.2,6.0,20.0,-14.0,-1.4,-0.78,8.5,16.5,-8.0,-0.8,-0.23,Matches
Kento Misao,jp JPN,MF,26-352,11,840.0,76.0,35.9,9.3,10,84.0,8,1,1.0,0,0.18,5.0,20.0,-15.0,-1.61,-1.07,7.9,15.8,-7.9,-0.84,-0.29,Matches
Xavi Quintillà,es ESP,DF,26-223,13,722.0,56.0,30.9,8.0,8,83.0,5,5,12.0,7,0.77,8.0,17.0,-9.0,-1.12,-0.29,8.3,14.3,-6.0,-0.75,-0.14,Matches
Marco André Rocha Pereira,pt POR,GK,36-081,8,720.0,90.0,30.8,8.0,8,90.0,8,0,,0,0.63,5.0,9.0,-4.0,-0.5,0.61,6.5,9.4,-2.9,-0.36,0.42,Matches
MT,br BRA,"DF,MF",22-033,14,650.0,46.0,27.8,7.2,8,68.0,1,6,18.0,2,0.36,1.0,9.0,-8.0,-1.11,-0.26,3.4,12.7,-9.4,-1.3,-0.89,Matches
Rildo,br BRA,"FW,MF",23-072,19,765.0,40.0,32.7,8.5,7,67.0,1,12,25.0,6,0.58,8.0,14.0,-6.0,-0.71,0.32,8.1,13.8,-5.7,-0.67,-0.02,Matches
Matheus Babi,br BRA,FW,25-259,18,718.0,40.0,30.7,8.0,7,68.0,1,11,22.0,1,0.72,8.0,12.0,-4.0,-0.5,0.61,7.4,12.5,-5.1,-0.64,0.02,Matches
Diogo Calila,pt POR,"DF,MF",24-175,12,611.0,51.0,26.1,6.8,6,72.0,4,6,30.0,6,0.25,1.0,12.0,-11.0,-1.62,-0.94,4.4,11.3,-6.8,-1.01,-0.48,Matches
Anderson Carvalho,br BRA,MF,32-318,11,491.0,45.0,21.0,5.5,5,73.0,1,6,21.0,1,0.91,4.0,7.0,-3.0,-0.55,0.47,5.2,7.0,-1.7,-0.32,0.43,Matches
Paulo Godinho,br BRA,DF,21-048,7,474.0,68.0,20.3,5.3,5,90.0,5,2,12.0,10,0.57,4.0,9.0,-5.0,-0.95,-0.03,5.7,6.4,-0.7,-0.13,0.66,Matches
Costinha,pt POR,"MF,FW",30-221,9,405.0,45.0,17.3,4.5,4,73.0,1,5,23.0,3,0.11,3.0,9.0,-6.0,-1.33,-0.5,3.0,6.0,-3.0,-0.67,-0.01,Matches
Eulânio Ângelo Chipela Gomes,gw GNB,DF,28-321,6,405.0,68.0,17.3,4.5,4,85.0,3,2,32.0,1,0.17,5.0,12.0,-7.0,-1.56,-0.76,5.8,7.1,-1.4,-0.3,0.43,Matches
Walter González,py PAR,FW,27-317,6,399.0,67.0,17.1,4.4,4,90.0,4,2,20.0,0,0.17,3.0,6.0,-3.0,-0.68,0.3,3.1,5.2,-2.1,-0.47,0.22,Matches
Ygor Nogueira,br BRA,DF,28-007,4,345.0,86.0,14.7,3.8,4,86.0,3,0,,2,0.0,1.0,7.0,-6.0,-1.57,-0.75,4.2,6.8,-2.6,-0.69,-0.04,Matches
Pedro Bicalho,br BRA,"MF,FW",21-345,5,189.0,38.0,8.1,2.1,2,76.0,0,3,12.0,4,0.8,0.0,2.0,-2.0,-0.95,-0.03,0.6,2.0,-1.4,-0.69,-0.04,Matches
Bruno Jordão,pt POR,MF,24-173,3,188.0,63.0,8.0,2.1,2,72.0,0,1,45.0,6,0.0,0.0,4.0,-4.0,-1.91,-1.08,1.3,4.0,-2.7,-1.3,-0.7,Matches
Joao Marcos,br BRA,"FW,MF",22-327,4,163.0,41.0,7.0,1.8,2,55.0,0,2,27.0,0,0.0,0.0,3.0,-3.0,-1.66,-0.79,0.7,2.6,-1.9,-1.09,-0.46,Matches
Andrezinho,pt POR,"DF,MF",26-123,11,159.0,14.0,6.8,1.8,0,,0,11,14.0,5,0.82,2.0,1.0,1.0,0.57,1.6,2.0,2.2,-0.2,-0.1,0.6,Matches
Filip Stevanovic,rs SRB,"FW,MF",20-190,6,136.0,23.0,5.8,1.5,0,,0,6,23.0,2,0.83,5.0,4.0,1.0,0.66,1.68,3.1,1.4,1.8,1.18,1.95,Matches
Rodrigo Valente,pt POR,"MF,FW",22-047,5,95.0,19.0,4.1,1.1,0,,0,5,19.0,5,1.0,1.0,0.0,1.0,0.95,1.95,1.1,1.7,-0.6,-0.57,0.09,Matches
Rui Costa,pt POR,MF,27-042,1,45.0,45.0,1.9,0.5,0,,0,1,45.0,0,1.0,0.0,0.0,0.0,0.0,0.94,0.0,0.2,-0.2,-0.37,0.3,Matches
Rúben Alexandre Gomes Oliveira,pt POR,MF,28-110,1,14.0,14.0,0.6,0.2,0,,0,1,14.0,1,1.0,0.0,0.0,0.0,0.0,0.93,0.0,0.1,-0.1,-0.73,-0.08,Matches
Ricardo Fernandes,pt POR,GK,28-157,0,,,0.0,0.0,0,,0,0,,13,3.0,1.0,0.0,1.0,,,,,,,,Matches
João Afonso,pt POR,DF,32-310,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Marcos Guillermo Díaz,ar ARG,GK,37-057,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
Ricardo Manuel Silva,pt POR,GK,23-329,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,25.6,26,2340.0,90.0,100.0,26.0,286,79.0,157,124,23.0,108,0.58,17.0,41.0,-24.0,-0.92,,21.4,38.4,-17.0,-0.66,,
Opponent Total,,,26.8,26,2340.0,90.0,100.0,26.0,286,79.0,157,124,23.0,116,2.19,41.0,17.0,24.0,0.92,,38.4,21.4,17.0,0.66,,
