Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Fran Navarro,es ESP,FW,25-059,24.7,305,250,54,0,1,1,2,0,0,0,0,0,221,1,9,Matches
Kanya Fujimoto,jp JPN,MF,23-276,22.5,881,858,18,7,13,6,28,9,2,1,0,0,701,5,26,Matches
Vitor Carvalho,br BRA,MF,25-311,22.3,1303,1257,41,34,5,9,4,7,0,0,0,0,1099,5,19,Matches
Adrián Marín,es ESP,DF,26-084,21.3,1268,1023,238,23,4,14,59,215,0,0,0,0,935,7,21,Matches
Murilo Costa,br BRA,FW,28-154,16.1,548,486,61,6,6,1,74,17,38,13,18,0,408,1,16,Matches
Rúben Fernandes,pt POR,DF,36-332,17.0,991,937,51,48,0,9,2,3,0,0,0,0,849,3,7,Matches
Lucas Cunha,br BRA,DF,26-070,15.0,957,907,48,45,2,30,3,3,0,0,0,0,824,2,2,Matches
Andrew,br BRA,GK,21-276,14.7,581,402,178,44,0,1,0,0,0,0,0,0,463,1,0,Matches
Carraça,pt POR,DF,30-033,13.6,932,728,202,33,0,17,125,125,44,21,17,0,715,2,17,Matches
Juan Manuel Boselli,uy URU,FW,23-145,11.7,387,331,55,14,1,2,82,2,39,19,14,0,254,1,12,Matches
Tomás Araújo,pt POR,DF,20-322,12.0,754,716,36,31,6,4,0,5,0,0,0,0,654,2,2,Matches
Giorgi Aburjania,ge GEO,MF,28-091,11.3,658,624,31,25,8,4,8,1,3,1,1,0,542,3,11,Matches
Stanislav Kritsyuk,ru RUS,GK,32-123,10.3,394,272,120,42,0,3,0,0,0,0,0,0,329,2,0,Matches
Pedro Tiba,pt POR,MF,34-215,10.0,493,467,22,12,4,1,18,3,7,6,0,0,394,4,17,Matches
Danilo veiga,pt POR,DF,20-190,7.6,406,310,96,14,2,4,18,82,0,0,0,0,321,0,10,Matches
Kevin Villodres,es ESP,"FW,MF",22-036,6.7,235,212,21,6,2,4,34,4,11,4,7,0,158,2,6,Matches
Bilel Aouacheria,fr FRA,"FW,MF",29-001,5.4,139,135,1,0,0,2,16,1,0,0,0,0,88,3,10,Matches
Ali Alipour,ir IRN,"FW,MF",27-143,5.9,156,153,3,0,0,1,9,3,0,0,0,0,104,0,12,Matches
Matheus Bueno,br BRA,MF,24-247,6.2,339,321,18,10,2,6,10,0,8,6,0,1,274,0,6,Matches
Né lopes,pt POR,DF,22-309,4.0,237,227,9,9,0,2,2,0,0,0,0,0,220,1,0,Matches
Henrique Gomes,pt POR,DF,27-124,3.6,183,127,56,5,1,0,10,51,0,0,0,0,128,0,12,Matches
Tomás Araújo,pt POR,DF,20-322,3.0,176,167,9,8,0,1,0,1,0,0,0,0,149,0,2,Matches
Mizuki Arai,jp JPN,"FW,MF",25-354,3.3,111,102,9,1,0,0,18,7,0,0,0,0,67,0,5,Matches
José Carlos,pt POR,DF,24-246,2.4,172,136,33,5,0,0,6,24,4,1,2,0,139,3,6,Matches
Emmanuel Hackman,tg TOG,DF,27-324,1.5,60,45,15,0,0,0,1,15,0,0,0,0,36,0,1,Matches
Marlon,br BRA,FW,25-200,1.3,44,37,7,2,1,1,6,3,2,1,1,0,35,0,2,Matches
Elder Santana,br BRA,"MF,FW",29-361,0.5,9,9,0,0,0,0,1,0,0,0,0,0,8,0,0,Matches
Boubacar Hanne,pt POR,"FW,DF",24-036,0.4,23,21,2,0,0,0,4,1,1,1,0,0,16,0,1,Matches
Roan Wilson,cr CRC,MF,20-337,0.1,11,11,0,0,0,0,0,0,0,0,0,0,11,0,0,Matches
André Simões,pt POR,FW,19-229,0.1,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
Miguel Monteiro,pt POR,FW,19-253,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Gabriel Pereira,br BRA,DF,22-331,0.1,14,13,1,0,1,1,0,1,0,0,0,0,12,0,0,Matches
Squad Total,,,26.6,25.0,12774,11291,1435,424,59,124,540,583,159,74,60,1,10160,48,232,
Opponent Total,,,26.7,25.0,11242,9851,1289,399,63,104,491,498,126,72,26,2,8666,102,201,
