Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
André Amaro,co COL,DF,20-200,23.2,18.0,0.77,17.0,0.0,0.0,1.0,0.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Varela,pt POR,GK,28-135,22.0,8.0,0.36,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Mikel Villanueva,ve VEN,DF,29-339,21.4,18.0,0.84,17.0,0.0,0.0,0.0,0.0,1.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,Matches
Ibrahima Bamba,ci CIV,"DF,MF",20-331,19.8,14.0,0.71,12.0,0.0,0.0,0.0,1.0,1.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Tiago Silva,pt POR,MF,29-290,18.5,56.0,3.02,31.0,18.0,0.0,4.0,2.0,1.0,4.0,0.22,1.0,1.0,0.0,1.0,1.0,0.0,Matches
Afonso freitas,pt POR,"DF,MF",22-346,14.0,21.0,1.5,18.0,1.0,0.0,1.0,1.0,0.0,3.0,0.21,3.0,0.0,0.0,0.0,0.0,0.0,Matches
Jota Silva,pt POR,"FW,MF",23-230,13.4,37.0,2.77,24.0,3.0,4.0,1.0,3.0,2.0,4.0,0.3,2.0,1.0,1.0,0.0,0.0,0.0,Matches
Daniel Bandeira,pt POR,MF,22-342,13.2,30.0,2.27,24.0,3.0,0.0,2.0,1.0,0.0,2.0,0.15,1.0,1.0,0.0,0.0,0.0,0.0,Matches
Anderson,br BRA,FW,25-118,13.0,23.0,1.77,8.0,0.0,5.0,6.0,3.0,1.0,2.0,0.15,0.0,0.0,0.0,1.0,1.0,0.0,Matches
André André,pt POR,MF,33-205,12.5,34.0,2.71,28.0,0.0,0.0,1.0,4.0,1.0,3.0,0.24,1.0,0.0,0.0,0.0,1.0,1.0,Matches
André Silva,br BRA,"FW,MF",25-289,12.0,25.0,2.08,15.0,0.0,1.0,5.0,4.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Miguel Magalhães,pt POR,"DF,MF",20-123,11.9,33.0,2.33,26.0,4.0,0.0,1.0,0.0,2.0,3.0,0.21,2.0,0.0,0.0,0.0,0.0,1.0,Matches
Nelson,ao ANG,"FW,MF",25-043,11.3,29.0,2.56,15.0,0.0,5.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rúben Lameiras,pt POR,"FW,MF",28-087,10.1,38.0,3.76,25.0,3.0,5.0,1.0,3.0,1.0,2.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Helder Sá,pt POR,"DF,MF",20-129,8.4,21.0,2.5,17.0,3.0,1.0,0.0,0.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Michael Johnston,sct SCO,"FW,MF",23-334,8.6,27.0,3.15,21.0,2.0,1.0,2.0,1.0,0.0,2.0,0.23,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Zé Ferreira,pt POR,"MF,DF",21-140,7.7,18.0,2.33,10.0,3.0,1.0,1.0,3.0,0.0,2.0,0.26,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Safira,br BRA,FW,28-002,7.0,17.0,2.44,7.0,0.0,1.0,4.0,4.0,1.0,3.0,0.43,1.0,0.0,0.0,0.0,2.0,0.0,Matches
Nicolas Janvier,fr FRA,MF,24-220,5.5,13.0,2.35,10.0,3.0,0.0,0.0,0.0,0.0,1.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,Matches
