Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
André Amaro,co COL,DF,20-215,23.2,1063.0,1011.0,51.0,49.0,0.0,8.0,4,1.0,0.0,0.0,0.0,0.0,918.0,1.0,12.0,Matches
Mikel Villanueva,ve VEN,DF,29-354,22.4,1083.0,1031.0,47.0,42.0,2.0,13.0,3,2.0,0.0,0.0,0.0,0.0,899.0,5.0,4.0,Matches
Bruno Varela,pt POR,GK,28-150,22.0,762.0,449.0,311.0,116.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,501.0,2.0,0.0,Matches
Ibrahima Bamba,ci CIV,"DF,MF",20-346,19.8,801.0,763.0,29.0,28.0,0.0,6.0,4,1.0,0.0,0.0,0.0,0.0,667.0,9.0,10.0,Matches
Tiago Silva,pt POR,MF,29-305,19.2,1147.0,985.0,161.0,65.0,6.0,17.0,108,4.0,84.0,31.0,43.0,1.0,902.0,1.0,16.0,Matches
Afonso freitas,pt POR,"DF,MF",22-361,14.9,589.0,458.0,130.0,6.0,3.0,3.0,32,124.0,0.0,0.0,0.0,0.0,424.0,1.0,17.0,Matches
Jota Silva,pt POR,"FW,MF",23-245,14.0,397.0,362.0,33.0,0.0,4.0,2.0,50,32.0,0.0,0.0,0.0,0.0,225.0,2.0,24.0,Matches
Daniel Bandeira,pt POR,MF,22-357,14.2,723.0,693.0,29.0,20.0,2.0,5.0,10,0.0,8.0,1.0,3.0,0.0,618.0,1.0,9.0,Matches
André Silva,br BRA,"FW,MF",25-304,13.0,348.0,340.0,7.0,2.0,4.0,2.0,14,1.0,0.0,0.0,0.0,0.0,224.0,1.0,20.0,Matches
Anderson,br BRA,FW,25-133,13.3,160.0,139.0,19.0,0.0,0.0,0.0,5,1.0,0.0,0.0,0.0,0.0,97.0,2.0,7.0,Matches
Miguel Magalhães,pt POR,"DF,MF",20-138,12.9,803.0,630.0,168.0,10.0,2.0,0.0,51,158.0,0.0,0.0,0.0,0.0,603.0,5.0,20.0,Matches
André André,pt POR,MF,33-220,12.5,608.0,564.0,44.0,36.0,1.0,7.0,10,1.0,0.0,0.0,0.0,0.0,528.0,0.0,6.0,Matches
Nelson,ao ANG,"FW,MF",25-058,11.3,317.0,300.0,17.0,1.0,0.0,1.0,22,15.0,0.0,0.0,0.0,0.0,246.0,0.0,4.0,Matches
Rúben Lameiras,pt POR,"FW,MF",28-102,10.3,335.0,295.0,34.0,17.0,7.0,7.0,35,6.0,11.0,4.0,1.0,0.0,231.0,6.0,15.0,Matches
Helder Sá,pt POR,"DF,MF",20-144,8.4,469.0,368.0,99.0,4.0,0.0,0.0,47,95.0,0.0,0.0,0.0,0.0,348.0,2.0,13.0,Matches
Michael Johnston,ie IRL,"FW,MF",23-349,9.0,279.0,268.0,10.0,1.0,4.0,2.0,15,2.0,6.0,3.0,3.0,0.0,196.0,1.0,9.0,Matches
Zé Ferreira,pt POR,"MF,DF",21-155,7.7,357.0,268.0,89.0,12.0,0.0,0.0,21,76.0,1.0,0.0,0.0,0.0,258.0,0.0,8.0,Matches
Safira,br BRA,FW,28-017,7.7,173.0,165.0,7.0,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,107.0,1.0,2.0,Matches
Mamadou Tounkara,fr FRA,DF,21-110,5.1,215.0,204.0,10.0,10.0,0.0,3.0,2,0.0,0.0,0.0,0.0,0.0,181.0,1.0,2.0,Matches
Nicolas Janvier,fr FRA,MF,24-235,5.9,350.0,317.0,31.0,8.0,5.0,11.0,39,4.0,16.0,5.0,9.0,0.0,276.0,2.0,6.0,Matches
Domingos André Ribeiro Almeida,pt POR,MF,22-308,2.6,108.0,100.0,8.0,3.0,0.0,2.0,1,2.0,0.0,0.0,0.0,0.0,93.0,0.0,3.0,Matches
Maga,pt POR,DF,23-349,2.2,,,,,,,5,,,,,,,,,Matches
Jorge Filipe Oliveira Fernandes,pt POR,DF,26-001,2.1,78.0,75.0,3.0,3.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,2.0,Matches
Ryoya Ogawa,jp JPN,"DF,MF",26-130,2.3,90.0,61.0,28.0,2.0,0.0,0.0,3,26.0,0.0,0.0,0.0,0.0,66.0,1.0,0.0,Matches
Celton Anssumane Biai,pt POR,GK,22-233,2.0,54.0,35.0,19.0,8.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,Matches
Rafa,pt POR,GK,19-187,2.0,55.0,28.0,26.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,Matches
Tomás Händel,pt POR,MF,22-127,1.2,63.0,63.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,Matches
Bruno Gaspar,ao ANG,DF,29-347,1.0,48.0,33.0,15.0,2.0,0.0,0.0,1,12.0,1.0,0.0,0.0,0.0,37.0,0.0,0.0,Matches
Antonio Cortés,es ESP,FW,22-352,0.6,17.0,16.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,Matches
Índio,br BRA,"MF,FW",23-219,0.5,18.0,18.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,Matches
Alfa Semedo,gw GNB,MF,25-216,0.3,11.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,Matches
Gonçalo Nogueira,pt POR,MF,19-096,0.2,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Matches
Jason Bahamboula,fr FRA,MF,21-292,0.1,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diogo Ferreira,pt POR,MF,21-206,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Matches
Squad Total,,,25.1,26.0,11528.0,10057.0,1426.0,451.0,42.0,92.0,486,563.0,127.0,44.0,59.0,1.0,8880.0,45.0,210.0,
Opponent Total,,,27.1,26.0,12013.0,10548.0,1390.0,419.0,53.0,107.0,485,584.0,124.0,61.0,35.0,0.0,9254.0,75.0,238.0,
