Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
André Amaro,co COL,DF,20-200,23.2,1298.0,137.0,648.0,609.0,50.0,19.0,1298.0,11.0,5.0,45.5,5.0,45.5,724.0,3911.0,2321.0,22.0,12.0,0.0,8.0,6.0,812.0,1.0,Matches
Bruno Varela,pt POR,GK,28-135,22.0,809.0,667.0,802.0,4.0,3.0,3.0,809.0,0.0,0.0,,0.0,,376.0,1891.0,1235.0,0.0,0.0,0.0,1.0,0.0,268.0,0.0,Matches
Mikel Villanueva,ve VEN,DF,29-339,21.4,1223.0,115.0,633.0,564.0,33.0,10.0,1223.0,6.0,6.0,100.0,0.0,0.0,685.0,3178.0,1843.0,5.0,8.0,1.0,13.0,5.0,803.0,1.0,Matches
Ibrahima Bamba,ci CIV,"DF,MF",20-331,19.8,1078.0,139.0,538.0,499.0,49.0,9.0,1078.0,12.0,5.0,41.7,4.0,33.3,552.0,2735.0,1210.0,5.0,7.0,0.0,15.0,5.0,563.0,3.0,Matches
Tiago Silva,pt POR,MF,29-290,18.5,1265.0,18.0,205.0,722.0,353.0,13.0,1262.0,35.0,18.0,51.4,11.0,31.4,666.0,3169.0,1270.0,19.0,18.0,3.0,20.0,12.0,810.0,25.0,Matches
Afonso freitas,pt POR,"DF,MF",22-346,14.0,678.0,41.0,177.0,312.0,196.0,10.0,678.0,11.0,4.0,36.4,7.0,63.6,291.0,1601.0,905.0,26.0,20.0,0.0,15.0,3.0,361.0,56.0,Matches
Jota Silva,pt POR,"FW,MF",23-230,13.4,628.0,10.0,94.0,232.0,319.0,51.0,628.0,64.0,12.0,18.8,42.0,65.6,364.0,2544.0,1175.0,40.0,39.0,12.0,44.0,18.0,403.0,104.0,Matches
Daniel Bandeira,pt POR,MF,22-342,13.2,802.0,28.0,194.0,481.0,136.0,7.0,802.0,21.0,10.0,47.6,10.0,47.6,408.0,2147.0,1000.0,12.0,15.0,2.0,14.0,13.0,478.0,16.0,Matches
Anderson,br BRA,FW,25-118,13.0,337.0,16.0,27.0,148.0,166.0,54.0,337.0,37.0,13.0,35.1,22.0,59.5,206.0,1079.0,471.0,21.0,15.0,12.0,46.0,21.0,258.0,65.0,Matches
André André,pt POR,MF,33-205,12.5,729.0,20.0,149.0,459.0,130.0,12.0,729.0,19.0,10.0,52.6,6.0,31.6,394.0,1958.0,972.0,21.0,10.0,3.0,25.0,15.0,490.0,27.0,Matches
André Silva,br BRA,"FW,MF",25-289,12.0,498.0,14.0,46.0,234.0,222.0,48.0,498.0,33.0,15.0,45.5,17.0,51.5,313.0,1687.0,700.0,31.0,14.0,11.0,47.0,18.0,389.0,69.0,Matches
Miguel Magalhães,pt POR,"DF,MF",20-123,11.9,894.0,37.0,258.0,378.0,264.0,17.0,894.0,5.0,0.0,0.0,5.0,100.0,398.0,1858.0,930.0,26.0,12.0,3.0,14.0,7.0,455.0,95.0,Matches
Nelson,ao ANG,"FW,MF",25-043,11.3,510.0,9.0,88.0,208.0,227.0,34.0,510.0,86.0,38.0,44.2,40.0,46.5,310.0,2200.0,1054.0,37.0,21.0,10.0,29.0,21.0,336.0,95.0,Matches
Rúben Lameiras,pt POR,"FW,MF",28-087,10.1,446.0,4.0,46.0,165.0,246.0,37.0,445.0,36.0,12.0,33.3,17.0,47.2,293.0,1854.0,824.0,40.0,21.0,16.0,29.0,17.0,324.0,90.0,Matches
Helder Sá,pt POR,"DF,MF",20-129,8.4,559.0,25.0,142.0,247.0,174.0,10.0,559.0,21.0,10.0,47.6,9.0,42.9,246.0,1561.0,747.0,21.0,9.0,1.0,8.0,6.0,304.0,55.0,Matches
Michael Johnston,sct SCO,"FW,MF",23-334,8.6,359.0,7.0,46.0,168.0,156.0,19.0,359.0,38.0,17.0,44.7,19.0,50.0,229.0,1898.0,1012.0,30.0,28.0,13.0,19.0,12.0,268.0,53.0,Matches
Zé Ferreira,pt POR,"MF,DF",21-140,7.7,461.0,21.0,143.0,199.0,123.0,5.0,461.0,15.0,7.0,46.7,6.0,40.0,190.0,782.0,367.0,10.0,8.0,1.0,12.0,2.0,214.0,37.0,Matches
