Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
André Amaro,co COL,DF,20-218,23.2,1,12,4,33.3,0.52,0.17,0.08,0.25,12.2,0.0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
Mikel Villanueva,ve VEN,DF,29-357,22.4,0,5,0,0.0,0.22,0.0,0.0,,10.1,0.0,0,0,0.8,0.8,0.16,-0.8,-0.8,Matches
Bruno Varela,pt POR,GK,28-153,22.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Ibrahima Bamba,ci CIV,"DF,MF",20-349,19.8,0,14,0,0.0,0.71,0.0,0.0,,22.2,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Tiago Silva,pt POR,MF,29-308,19.2,4,19,2,10.5,0.99,0.1,0.05,0.5,29.6,8.0,3,3,3.2,1.0,0.05,0.8,0.0,Matches
Afonso freitas,pt POR,"DF,MF",22-364,14.9,0,8,3,37.5,0.54,0.2,0.0,0.0,15.8,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Jota Silva,pt POR,"FW,MF",23-248,14.0,2,34,8,23.5,2.43,0.57,0.06,0.25,16.7,0.0,0,0,3.8,3.8,0.11,-1.8,-1.8,Matches
Daniel Bandeira,pt POR,MF,22-360,14.2,0,12,1,8.3,0.84,0.07,0.0,0.0,21.6,0.0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
André Silva,br BRA,"FW,MF",25-307,13.0,4,36,15,41.7,2.76,1.15,0.11,0.27,18.7,0.0,0,0,2.9,2.9,0.08,1.1,1.1,Matches
Anderson,br BRA,FW,25-136,13.3,3,47,16,34.0,3.54,1.21,0.06,0.19,16.8,1.0,0,0,3.9,3.9,0.08,-0.9,-0.9,Matches
Miguel Magalhães,pt POR,"DF,MF",20-141,12.9,0,3,0,0.0,0.23,0.0,0.0,,10.8,0.0,0,0,0.6,0.6,0.21,-0.6,-0.6,Matches
André André,pt POR,MF,33-223,12.5,0,5,1,20.0,0.4,0.08,0.0,0.0,13.8,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Nelson,ao ANG,"FW,MF",25-061,11.3,3,23,10,43.5,2.04,0.89,0.13,0.3,19.3,0.0,0,0,1.6,1.6,0.07,1.4,1.4,Matches
Rúben Lameiras,pt POR,"FW,MF",28-105,10.3,1,25,7,28.0,2.44,0.68,0.0,0.0,21.3,0.0,1,1,2.0,1.2,0.05,-1.0,-1.2,Matches
Helder Sá,pt POR,"DF,MF",20-147,8.4,0,3,1,33.3,0.36,0.12,0.0,0.0,19.7,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Michael Johnston,ie IRL,"FW,MF",23-352,9.0,1,15,3,20.0,1.67,0.33,0.07,0.33,21.3,0.0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
Zé Ferreira,pt POR,"MF,DF",21-158,7.7,0,3,1,33.3,0.39,0.13,0.0,0.0,28.5,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Safira,br BRA,FW,28-020,7.7,5,22,9,40.9,2.86,1.17,0.23,0.56,14.9,0.0,0,0,2.5,2.5,0.11,2.5,2.5,Matches
Mamadou Tounkara,fr FRA,DF,21-113,5.1,0,1,1,100.0,0.2,0.2,0.0,0.0,10.5,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Nicolas Janvier,fr FRA,MF,24-238,5.9,1,14,2,14.3,2.39,0.34,0.07,0.5,25.7,2.0,0,0,0.6,0.6,0.04,0.4,0.4,Matches
Domingos André Ribeiro Almeida,pt POR,MF,22-311,2.6,0,4,2,50.0,1.52,0.76,0.0,0.0,21.6,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Maga,pt POR,DF,23-352,2.2,0,0,0,,0.0,0.0,,,,,0,0,,,,,,Matches
Jorge Filipe Oliveira Fernandes,pt POR,DF,26-004,2.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Ryoya Ogawa,jp JPN,"DF,MF",26-133,2.3,0,1,0,0.0,0.43,0.0,0.0,,19.4,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Celton Anssumane Biai,pt POR,GK,22-236,2.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Rafa,pt POR,GK,19-190,2.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Tomás Händel,pt POR,MF,22-130,1.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Bruno Gaspar,ao ANG,DF,29-350,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Antonio Cortés,es ESP,FW,22-355,0.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Índio,br BRA,"MF,FW",23-222,0.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Alfa Semedo,gw GNB,MF,25-219,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Gonçalo Nogueira,pt POR,MF,19-099,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Jason Bahamboula,fr FRA,MF,21-295,0.1,0,1,0,0.0,10.0,0.0,0.0,,8.0,0.0,0,0,0.3,0.3,0.29,-0.3,-0.3,Matches
Diogo Ferreira,pt POR,MF,21-209,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,25.1,26.0,25,307,86,28.0,11.81,3.31,0.07,0.24,19.0,11.0,4,4,27.0,23.9,0.08,-2.0,-2.9,
Opponent Total,,,27.1,26.0,28,295,93,31.5,11.35,3.58,0.09,0.28,19.1,15.0,2,3,30.5,28.1,0.1,-2.5,-2.1,
