Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Fernando,es ESP,GK,32-300,26,2295.0,88.0,94.4,25.5,26,88.0,25,0,,1,1.04,31.0,43.0,-12.0,-0.47,1.53,31.5,44.0,-12.5,-0.49,0.13,Matches
Rodrigo Ely,br BRA,DF,29-154,26,2255.0,87.0,92.8,25.1,26,87.0,23,0,,0,1.0,30.0,44.0,-14.0,-0.56,-0.04,28.1,43.1,-15.0,-0.6,-1.41,Matches
Sergio Akieme,es ESP,DF,25-111,25,2115.0,85.0,87.0,23.5,25,85.0,22,0,,0,1.0,28.0,40.0,-12.0,-0.51,0.35,27.2,38.5,-11.3,-0.48,0.15,Matches
Lucas Robertone,ar ARG,MF,26-019,26,2012.0,77.0,82.8,22.4,25,79.0,8,1,30.0,0,1.04,29.0,36.0,-7.0,-0.31,1.41,26.5,35.2,-8.7,-0.39,0.62,Matches
Srđan Babić,rs SRB,DF,26-349,24,2115.0,88.0,87.0,23.5,23,90.0,23,1,45.0,3,1.04,28.0,42.0,-14.0,-0.6,-0.31,28.5,38.5,-9.9,-0.42,0.58,Matches
Léo Baptistão,br BRA,"FW,MF",30-223,22,1304.0,59.0,53.7,14.5,18,68.0,1,4,19.0,0,1.23,21.0,22.0,-1.0,-0.07,1.05,16.0,20.9,-4.8,-0.33,0.35,Matches
Gonzalo Melero,es ESP,MF,29-094,17,1208.0,71.0,49.7,13.4,15,76.0,1,2,37.0,1,1.18,22.0,18.0,4.0,0.3,1.7,17.9,20.0,-2.1,-0.16,0.68,Matches
Samu Costa,pt POR,MF,22-130,21,1334.0,64.0,54.9,14.8,14,86.0,11,7,19.0,6,1.1,11.0,32.0,-21.0,-1.42,-1.91,15.5,30.5,-14.9,-1.01,-1.13,Matches
El Bilal Touré,ml MLI,FW,21-185,19,1169.0,62.0,48.1,13.0,14,73.0,1,5,30.0,3,1.11,21.0,20.0,1.0,0.08,1.22,16.2,17.8,-1.6,-0.12,0.72,Matches
Alejandro Pozo Pozo,es ESP,"DF,MF",24-043,21,1232.0,59.0,50.7,13.7,13,81.0,9,8,23.0,2,1.24,15.0,18.0,-3.0,-0.22,0.68,17.8,22.4,-4.6,-0.34,0.32,Matches
