Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Fernando,es ESP,GK,32-300,25.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rodrigo Ely,br BRA,DF,29-154,25.1,0,16,1,6.3,0.64,0.04,0.0,0.0,15.1,1,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
Sergio Akieme,es ESP,DF,25-111,23.5,1,23,7,30.4,0.98,0.3,0.04,0.14,20.2,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches
Lucas Robertone,ar ARG,MF,26-019,22.4,1,26,5,19.2,1.16,0.22,0.04,0.2,24.7,3,0,0,2.0,2.0,0.08,-1.0,-1.0,Matches
Srđan Babić,rs SRB,DF,26-349,23.5,2,7,4,57.1,0.3,0.17,0.29,0.5,8.1,0,0,0,0.9,0.9,0.13,1.1,1.1,Matches
Léo Baptistão,br BRA,"FW,MF",30-223,14.5,3,35,11,31.4,2.42,0.76,0.09,0.27,14.6,0,0,0,3.4,3.4,0.1,-0.4,-0.4,Matches
Gonzalo Melero,es ESP,MF,29-094,13.4,3,17,6,35.3,1.27,0.45,0.12,0.33,17.5,0,1,1,2.5,1.7,0.1,0.5,0.3,Matches
Samu Costa,pt POR,MF,22-130,14.8,1,12,6,50.0,0.81,0.4,0.08,0.17,19.7,1,0,0,1.3,1.3,0.1,-0.3,-0.3,Matches
El Bilal Touré,ml MLI,FW,21-185,13.0,6,27,13,48.1,2.08,1.0,0.22,0.46,11.7,0,0,0,6.1,6.1,0.23,-0.1,-0.1,Matches
Alejandro Pozo Pozo,es ESP,"DF,MF",24-043,13.7,0,8,2,25.0,0.58,0.15,0.0,0.0,20.6,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
César de la Hoz,es ESP,MF,31-007,13.3,1,7,1,14.3,0.53,0.08,0.14,1.0,20.7,0,0,0,0.4,0.4,0.06,0.6,0.6,Matches
Largie Ramazani,be BEL,"FW,MF",22-038,13.5,3,32,15,46.9,2.37,1.11,0.09,0.2,20.3,1,0,1,3.6,2.9,0.09,-0.6,0.1,Matches
Adri Embarba,es ESP,"FW,MF",30-334,10.8,1,26,11,42.3,2.41,1.02,0.04,0.09,23.0,7,0,0,1.6,1.6,0.06,-0.6,-0.6,Matches
Juan Brandáriz,es ESP,DF,24-035,12.3,1,2,1,50.0,0.16,0.08,0.5,1.0,6.8,0,0,0,0.4,0.4,0.18,0.6,0.6,Matches
Íñigo Eguaras,es ESP,MF,31-030,9.4,1,7,3,42.9,0.75,0.32,0.14,0.33,20.5,0,0,0,1.0,1.0,0.14,0.0,0.0,Matches
Luis Javier Suárez,co COL,FW,25-125,9.2,2,26,8,30.8,2.83,0.87,0.08,0.25,15.9,0,0,0,3.0,3.0,0.11,-1.0,-1.0,Matches
Houboulang Mendes,fr FRA,DF,24-337,8.2,0,1,0,0.0,0.12,0.0,0.0,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Kaiky,br BRA,DF,19-084,5.4,0,1,0,0.0,0.18,0.0,0.0,,11.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Arnau Puigmal,es ESP,"MF,DF",22-086,5.0,1,13,5,38.5,2.58,0.99,0.08,0.2,18.9,0,0,0,0.8,0.8,0.06,0.2,0.2,Matches
Umar Sadiq,ng NGA,FW,26-063,2.7,2,7,3,42.9,2.62,1.13,0.29,0.67,14.5,0,0,0,1.5,1.5,0.21,0.5,0.5,Matches
Francisco Portillo,es ESP,"MF,FW",32-297,4.6,2,4,2,50.0,0.87,0.44,0.5,1.0,15.4,0,0,0,0.7,0.7,0.17,1.3,1.3,Matches
Dyego Sousa,pt POR,FW,33-204,4.1,0,10,3,30.0,2.41,0.72,0.0,0.0,15.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Álex Centelles,es ESP,DF,25-149,3.5,0,1,0,0.0,0.29,0.0,0.0,,12.3,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Lázaro,br BRA,"MF,FW",21-025,3.3,1,5,1,20.0,1.53,0.31,0.2,1.0,14.5,0,0,0,0.7,0.7,0.13,0.3,0.3,Matches
Fernando Pacheco,es ESP,GK,30-323,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Diego Mariño,es ESP,GK,32-332,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Curro,es ESP,MF,27-093,0.5,0,1,1,100.0,2.09,2.09,0.0,0.0,15.9,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
José Carlos Lazo,es ESP,"MF,FW",27-049,0.2,0,2,1,50.0,9.0,4.5,0.0,0.0,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Marko Milovanović,rs SRB,FW,19-245,0.2,0,1,0,0.0,6.0,0.0,0.0,,9.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Squad Total,,,27.1,27.0,32,317,110,34.7,11.74,4.07,0.1,0.28,17.8,13,1,2,32.8,31.2,0.1,-0.8,-0.2,
Opponent Total,,,28.7,27.0,46,384,146,38.0,14.22,5.41,0.11,0.29,17.0,8,3,5,46.2,42.3,0.11,-0.2,0.7,
