Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Nico Williams,es ESP,FW,20-250,25,24,1993.0,22.1,4.0,4.0,8.0,4.0,0.0,0.0,1.0,0.0,3.8,3.8,4.2,8.0,118.0,61.0,239.0,0.18,0.18,0.36,0.18,0.36,0.17,0.19,0.36,0.17,0.36,Matches
Óscar de Marcos,es ESP,DF,33-339,26,23,1974.0,21.9,0.0,5.0,5.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,3.0,3.2,50.0,141.0,98.0,0.0,0.23,0.23,0.0,0.23,0.01,0.13,0.14,0.01,0.14,Matches
Oihan Sancet,es ESP,MF,22-328,25,23,1746.0,19.4,8.0,0.0,8.0,7.0,1.0,1.0,2.0,1.0,4.8,4.0,2.0,6.0,61.0,96.0,101.0,0.41,0.0,0.41,0.36,0.36,0.25,0.1,0.35,0.21,0.31,Matches
Unai Simón,es ESP,GK,25-281,22,22,1935.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Iñaki Williams,gh GHA,FW,28-277,24,22,1855.0,20.6,5.0,2.0,7.0,5.0,0.0,1.0,1.0,0.0,6.3,5.5,2.7,8.2,78.0,36.0,207.0,0.24,0.1,0.34,0.24,0.34,0.3,0.13,0.43,0.26,0.4,Matches
Yeray Álvarez,es ESP,DF,28-054,21,21,1805.0,20.1,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.4,0.4,0.9,1.3,25.0,121.0,7.0,0.05,0.05,0.1,0.05,0.1,0.02,0.04,0.07,0.02,0.07,Matches
Mikel Vesga,es ESP,MF,29-302,25,20,1826.0,20.3,3.0,2.0,5.0,1.0,2.0,2.0,4.0,0.0,2.4,0.8,1.2,2.0,17.0,156.0,26.0,0.15,0.1,0.25,0.05,0.15,0.12,0.06,0.18,0.04,0.1,Matches
Álex Berenguer,es ESP,FW,27-258,25,19,1633.0,18.1,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,3.4,3.4,3.0,6.4,41.0,60.0,174.0,0.17,0.06,0.22,0.17,0.22,0.19,0.16,0.35,0.19,0.35,Matches
Daniel Vivian,es ESP,DF,23-247,18,17,1535.0,17.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,0.5,1.3,15.0,76.0,4.0,0.06,0.0,0.06,0.06,0.06,0.05,0.03,0.08,0.05,0.08,Matches
Yuri Berchiche,es ESP,DF,33-037,17,15,1326.0,14.7,1.0,1.0,2.0,1.0,0.0,0.0,7.0,1.0,0.8,0.8,0.8,1.6,32.0,90.0,51.0,0.07,0.07,0.14,0.07,0.14,0.06,0.05,0.11,0.06,0.11,Matches
