Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Jan Oblak,si SVN,GK,30-086,23.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,Matches
Reinildo Mandava,mz MOZ,DF,29-072,20.6,66,43,46,19,1,38,49,77.6,11,27,12,15,30,96,59,0,Matches
Nahuel Molina,ar ARG,DF,24-362,20.3,41,27,22,13,6,22,51,43.1,29,22,4,18,8,49,39,1,Matches
Antoine Griezmann,fr FRA,"FW,MF",32-013,19.8,36,25,7,19,10,12,40,30.0,28,27,2,25,15,51,16,0,Matches
Koke,es ESP,MF,31-085,17.8,40,26,17,18,5,20,43,46.5,23,22,8,14,12,52,14,0,Matches
Stefan Savić,me MNE,DF,32-085,17.6,32,23,22,7,3,23,32,71.9,9,12,7,5,29,61,49,1,Matches
Marcos Llorente,es ESP,"MF,DF",28-063,15.9,29,14,16,8,5,16,25,64.0,9,19,1,18,15,44,16,0,Matches
Álvaro Morata,es ESP,FW,30-162,15.0,13,8,4,6,3,2,6,33.3,4,8,3,5,0,13,17,0,Matches
José María Giménez,uy URU,DF,28-073,15.9,20,11,15,4,1,12,18,66.7,6,20,12,8,18,38,79,1,Matches
Yannick Carrasco,be BEL,"DF,MF",29-211,15.6,23,11,12,10,1,14,32,43.8,18,16,1,15,10,33,13,0,Matches
Axel Witsel,be BEL,"DF,MF",34-081,15.6,18,10,10,7,1,10,15,66.7,5,12,7,5,15,33,48,0,Matches
Rodrigo De Paul,ar ARG,MF,28-314,12.4,21,10,6,14,1,11,18,61.1,7,13,3,10,4,25,4,0,Matches
Mario Hermoso,es ESP,DF,27-289,11.9,8,4,7,0,1,2,9,22.2,7,14,6,8,9,17,44,0,Matches
Thomas Lemar,fr FRA,MF,27-142,9.4,19,12,7,8,4,6,15,40.0,9,8,3,5,5,24,8,0,Matches
Geoffrey Kondogbia,cf CTA,MF,30-047,10.7,36,20,17,18,1,16,24,66.7,8,9,1,8,25,61,11,1,Matches
Ángel Correa,ar ARG,"FW,MF",28-025,10.8,6,2,3,2,1,4,13,30.8,9,11,0,11,9,15,4,0,Matches
João Félix,pt POR,"FW,MF",23-144,7.2,10,7,2,3,5,1,6,16.7,5,1,0,1,3,13,2,0,Matches
Saúl Ñíguez,es ESP,"MF,DF",28-133,7.2,28,18,10,13,5,14,22,63.6,8,17,2,15,11,39,16,0,Matches
Pablo Barrios,es ESP,MF,19-292,4.9,12,8,2,8,2,6,10,60.0,4,7,1,6,7,19,2,0,Matches
Memphis,nl NED,FW,29-049,2.9,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,Matches
Matheus Cunha,br BRA,"FW,MF",23-311,4.2,4,1,1,3,0,0,3,0.0,3,4,1,3,2,6,3,0,Matches
Ivo Grbić,hr CRO,GK,27-075,2.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
Felipe,br BRA,DF,33-322,2.2,3,2,1,2,0,2,4,50.0,2,2,2,0,0,3,7,0,Matches
Sergio Reguilón,es ESP,DF,26-108,1.0,3,2,2,1,0,2,3,66.7,1,2,0,2,1,4,0,0,Matches
Matt Doherty,ie IRL,DF,31-077,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Carlos Martín,es ESP,DF,20-346,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,29.2,26.0,469,284,229,183,57,233,439,53.1,206,274,76,198,228,697,460,4,
Opponent Total,,,27.7,26.0,378,220,177,145,56,173,379,45.6,206,298,98,200,260,638,468,9,
