Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Marc-André ter Stegen,de GER,GK,30-323,25.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,3,Matches
Robert Lewandowski,pl POL,FW,34-210,18.6,9,6,0,3,6,5,11,45.5,6,13,0,13,1,10,9,0,Matches
Frenkie de Jong,nl NED,MF,25-311,18.8,29,15,9,14,6,12,26,46.2,14,5,0,5,27,56,16,1,Matches
Gavi,es ESP,"MF,FW",18-226,18.1,33,20,5,22,6,16,32,50.0,16,23,4,19,16,49,15,0,Matches
Alejandro Balde,es ESP,DF,19-152,17.4,27,19,17,8,2,14,23,60.9,9,18,2,16,9,36,13,1,Matches
Sergio Busquets,es ESP,MF,34-246,17.3,43,21,17,21,5,19,35,54.3,16,23,6,17,17,60,27,2,Matches
Pedri,es ESP,MF,20-114,18.1,36,20,13,16,7,12,41,29.3,29,25,0,25,11,47,7,1,Matches
Jules Koundé,fr FRA,DF,24-127,15.5,20,14,10,8,2,12,15,80.0,3,14,6,8,13,33,30,1,Matches
Raphinha,br BRA,FW,26-095,14.1,16,13,4,3,9,8,20,40.0,12,22,1,21,11,27,9,0,Matches
Andreas Christensen,dk DEN,DF,26-343,13.0,14,9,5,9,0,6,9,66.7,3,10,8,2,13,27,39,0,Matches
Ousmane Dembélé,fr FRA,FW,25-308,12.2,17,11,4,7,6,4,13,30.8,9,10,1,9,0,17,2,0,Matches
Ronald Araújo,uy URU,DF,24-012,11.5,16,11,9,7,0,2,3,66.7,1,7,3,4,9,25,20,0,Matches
Eric García,es ESP,DF,22-069,10.1,17,11,11,4,2,5,8,62.5,3,16,7,9,15,32,29,1,Matches
Jordi Alba,es ESP,DF,33-363,11.1,17,13,9,8,0,11,22,50.0,11,8,3,5,7,24,16,0,Matches
Ferrán Torres,es ESP,FW,23-018,11.0,8,4,1,5,2,2,12,16.7,10,8,1,7,2,10,4,0,Matches
Ansu Fati,es ESP,FW,20-139,10.3,13,8,6,3,4,4,15,26.7,11,12,0,12,3,16,5,0,Matches
Sergi Roberto,es ESP,"DF,MF",31-040,9.7,19,13,11,5,3,6,10,60.0,4,8,5,3,8,27,13,0,Matches
Marcos Alonso,es ESP,DF,32-081,7.6,9,6,6,3,0,6,8,75.0,2,10,8,2,10,19,18,0,Matches
Franck Kessié,ci CIV,MF,26-090,6.5,9,5,4,3,2,5,11,45.5,6,5,1,4,7,16,6,1,Matches
Gerard Piqué,es ESP,DF,36-045,4.3,5,4,1,4,0,4,4,100.0,0,2,1,1,2,7,19,0,Matches
Memphis,nl NED,FW,29-034,1.3,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches
Héctor Bellerín,es ESP,DF,28-000,1.6,2,0,0,2,0,2,3,66.7,1,2,0,2,3,5,2,0,Matches
Pablo Torre,es ESP,"MF,FW",19-350,0.3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
Ángel Alarcón,es ESP,"MF,FW",18-308,0.3,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,33-274,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Chadi Riad,es ESP,MF,19-275,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.5,25.0,361,224,143,156,62,156,325,48.0,169,241,57,184,185,546,303,11,
Opponent Total,,,28.1,25.0,432,258,228,161,43,216,473,45.7,257,278,89,189,245,677,447,13,
