Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Marc-André ter Stegen,de GER,GK,30-323,25.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Robert Lewandowski,pl POL,FW,34-210,18.6,15,78,38,48.7,4.19,2.04,0.19,0.39,12.9,2,0,1,14.4,13.6,0.17,0.6,1.4,Matches
Frenkie de Jong,nl NED,MF,25-311,18.8,2,14,9,64.3,0.75,0.48,0.14,0.22,18.4,0,0,0,1.8,1.8,0.13,0.2,0.2,Matches
Gavi,es ESP,"MF,FW",18-226,18.1,1,17,4,23.5,0.94,0.22,0.06,0.25,16.2,0,0,0,2.0,2.0,0.12,-1.0,-1.0,Matches
Alejandro Balde,es ESP,DF,19-152,17.4,0,7,2,28.6,0.4,0.11,0.0,0.0,21.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Sergio Busquets,es ESP,MF,34-246,17.3,0,6,1,16.7,0.35,0.06,0.0,0.0,23.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Pedri,es ESP,MF,20-114,18.1,6,17,9,52.9,0.94,0.5,0.35,0.67,16.3,0,0,0,3.7,3.7,0.21,2.3,2.3,Matches
Jules Koundé,fr FRA,DF,24-127,15.5,0,7,0,0.0,0.45,0.0,0.0,,13.8,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
Raphinha,br BRA,FW,26-095,14.1,6,47,13,27.7,3.33,0.92,0.13,0.46,17.4,6,0,0,6.1,6.1,0.13,-0.1,-0.1,Matches
Andreas Christensen,dk DEN,DF,26-343,13.0,0,4,2,50.0,0.31,0.15,0.0,0.0,16.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Ousmane Dembélé,fr FRA,FW,25-308,12.2,5,39,14,35.9,3.19,1.15,0.13,0.36,17.8,0,0,0,2.9,2.9,0.07,2.1,2.1,Matches
Ronald Araújo,uy URU,DF,24-012,11.5,0,9,0,0.0,0.79,0.0,0.0,,11.3,0,0,0,1.3,1.3,0.14,-1.3,-1.3,Matches
Eric García,es ESP,DF,22-069,10.1,1,4,1,25.0,0.4,0.1,0.25,1.0,7.3,0,0,0,1.4,1.4,0.34,-0.4,-0.4,Matches
Jordi Alba,es ESP,DF,33-363,11.1,1,9,2,22.2,0.81,0.18,0.11,0.5,23.7,0,0,0,0.6,0.6,0.06,0.4,0.4,Matches
Ferrán Torres,es ESP,FW,23-018,11.0,2,32,8,25.0,2.9,0.73,0.06,0.25,14.3,0,0,1,4.6,3.8,0.12,-2.6,-1.8,Matches
Ansu Fati,es ESP,FW,20-139,10.3,3,44,11,25.0,4.25,1.06,0.07,0.27,13.8,2,0,0,6.2,6.2,0.16,-3.2,-3.2,Matches
Sergi Roberto,es ESP,"DF,MF",31-040,9.7,3,11,5,45.5,1.14,0.52,0.27,0.6,14.4,0,0,0,1.7,1.7,0.16,1.3,1.3,Matches
Marcos Alonso,es ESP,DF,32-081,7.6,1,3,1,33.3,0.4,0.13,0.33,1.0,12.4,0,0,0,0.8,0.8,0.26,0.2,0.2,Matches
Franck Kessié,ci CIV,MF,26-090,6.5,0,9,1,11.1,1.38,0.15,0.0,0.0,15.5,0,0,0,1.0,1.0,0.11,-1.0,-1.0,Matches
Gerard Piqué,es ESP,DF,36-045,4.3,0,3,0,0.0,0.7,0.0,0.0,,8.9,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
Memphis,nl NED,FW,29-034,1.3,1,6,3,50.0,4.74,2.37,0.17,0.33,11.6,0,0,0,0.9,0.9,0.14,0.1,0.1,Matches
Héctor Bellerín,es ESP,DF,28-000,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pablo Torre,es ESP,"MF,FW",19-350,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ángel Alarcón,es ESP,"MF,FW",18-308,0.3,0,1,1,100.0,3.6,3.6,0.0,0.0,15.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,33-274,0.1,0,1,0,0.0,10.0,0.0,0.0,,12.4,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
Chadi Riad,es ESP,MF,19-275,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,26.5,25.0,47,368,125,34.0,14.72,5.0,0.13,0.38,15.3,10,0,2,49.7,48.2,0.14,-2.7,-1.2,
Opponent Total,,,28.1,25.0,7,209,55,26.3,8.36,2.2,0.02,0.09,17.5,5,2,2,20.3,18.7,0.09,-13.3,-13.7,
