Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Borja Iglesias,es ESP,FW,30-061,23,1676.0,73.0,74.5,18.6,21,77.0,5,2,34.0,0,1.7,28.0,18.0,10.0,0.54,1.01,28.2,21.7,6.5,0.35,0.65,Matches
Guido Rodríguez,ar ARG,MF,28-341,21,1702.0,81.0,75.6,18.9,20,83.0,14,1,45.0,1,1.67,25.0,17.0,8.0,0.42,0.59,26.9,23.5,3.4,0.18,-0.02,Matches
William Carvalho,pt POR,MF,30-346,21,1605.0,76.0,71.3,17.8,20,79.0,11,1,21.0,0,1.81,24.0,11.0,13.0,0.73,1.57,27.7,17.8,9.9,0.54,1.32,Matches
Rui Silva,pt POR,GK,29-040,19,1710.0,90.0,76.0,19.0,19,90.0,19,0,,5,1.74,27.0,21.0,6.0,0.32,0.15,27.2,24.2,3.0,0.16,-0.1,Matches
Germán Pezzella,ar ARG,DF,31-265,21,1701.0,81.0,75.6,18.9,19,84.0,15,2,48.0,1,1.67,27.0,20.0,7.0,0.37,0.37,29.7,25.0,4.6,0.24,0.26,Matches
Sergio Canales,es ESP,"FW,MF",32-031,20,1557.0,78.0,69.2,17.3,18,82.0,11,2,38.0,0,1.6,23.0,21.0,2.0,0.12,-0.53,23.3,24.4,-1.1,-0.06,-0.8,Matches
Álex Moreno,es ESP,DF,29-284,15,1350.0,90.0,60.0,15.0,15,90.0,15,0,,1,1.8,19.0,13.0,6.0,0.4,0.3,18.9,17.7,1.2,0.08,-0.25,Matches
Luiz Henrique,br BRA,FW,22-076,23,1303.0,57.0,57.9,14.5,15,69.0,1,8,33.0,0,1.57,7.0,14.0,-7.0,-0.48,-1.81,14.0,19.9,-5.9,-0.41,-1.4,Matches
Rodrigo,es ESP,"FW,MF",22-307,18,1082.0,60.0,48.1,12.0,14,71.0,3,4,24.0,6,1.72,14.0,12.0,2.0,0.17,-0.22,15.9,14.7,1.2,0.1,-0.16,Matches
Youssouf Sabaly,sn SEN,DF,30-014,17,1185.0,70.0,52.7,13.2,13,86.0,9,4,17.0,3,1.41,18.0,16.0,2.0,0.15,-0.27,19.4,17.7,1.7,0.13,-0.12,Matches
Luiz Felipe,it ITA,DF,25-362,14,1032.0,74.0,45.9,11.5,13,78.0,8,1,16.0,1,1.64,16.0,14.0,2.0,0.17,-0.2,17.5,14.8,2.7,0.23,0.09,Matches
Édgar González,es ESP,DF,25-352,17,1146.0,67.0,50.9,12.7,12,88.0,11,5,19.0,6,1.76,16.0,10.0,6.0,0.47,0.39,17.4,17.2,0.1,0.01,-0.35,Matches
Nabil Fekir,fr FRA,MF,29-244,15,961.0,64.0,42.7,10.7,12,73.0,5,3,28.0,0,1.73,19.0,10.0,9.0,0.84,0.98,19.9,10.1,9.7,0.91,1.27,Matches
Aitor Ruibal,es ESP,"DF,FW",26-362,20,1084.0,54.0,48.2,12.0,11,83.0,6,9,18.0,5,1.5,15.0,8.0,7.0,0.58,0.58,17.3,15.5,1.8,0.15,-0.07,Matches
Andrés Guardado,mx MEX,"MF,FW",36-172,17,882.0,52.0,39.2,9.8,10,77.0,5,7,16.0,6,1.53,15.0,17.0,-2.0,-0.2,-0.8,13.5,16.8,-3.3,-0.33,-0.85,Matches
Juanmi,es ESP,FW,29-303,13,693.0,53.0,30.8,7.7,8,76.0,3,5,17.0,1,2.0,16.0,14.0,2.0,0.26,-0.03,14.7,13.0,1.7,0.22,0.06,Matches
Claudio Bravo,cl CHI,GK,39-340,6,540.0,90.0,24.0,6.0,6,90.0,6,0,,15,1.5,6.0,5.0,1.0,0.17,-0.15,9.7,8.2,1.5,0.25,0.1,Matches
Víctor Ruiz,es ESP,DF,34-053,9,552.0,61.0,24.5,6.1,5,90.0,5,4,26.0,13,1.89,8.0,8.0,0.0,0.0,-0.37,10.7,8.2,2.5,0.4,0.29,Matches
Juan Miranda,es ESP,DF,23-059,9,538.0,60.0,23.9,6.0,5,87.0,3,4,26.0,16,1.67,7.0,5.0,2.0,0.33,0.07,10.3,6.5,3.9,0.64,0.61,Matches
Abner,br BRA,DF,22-296,7,366.0,52.0,16.3,4.1,5,70.0,2,2,8.0,2,1.43,7.0,8.0,-1.0,-0.25,-0.63,8.0,8.2,-0.2,-0.05,-0.28,Matches
Ayoze Pérez,es ESP,"FW,MF",29-233,6,345.0,58.0,15.3,3.8,4,76.0,0,2,21.0,0,1.83,7.0,4.0,3.0,0.78,0.59,8.0,5.5,2.5,0.65,0.55,Matches
Martín Montoya,es ESP,DF,31-339,3,183.0,61.0,8.1,2.0,3,61.0,0,0,,19,1.33,1.0,2.0,-1.0,-0.49,-0.84,1.9,1.9,0.0,-0.02,-0.22,Matches
Willian José,br BRA,FW,31-116,19,392.0,21.0,17.4,4.4,2,79.0,1,17,14.0,3,1.58,4.0,4.0,0.0,0.0,-0.34,6.4,6.6,-0.2,-0.04,-0.27,Matches
Paul Akouokou,ci CIV,MF,25-089,7,283.0,40.0,12.6,3.1,2,89.0,1,5,21.0,11,1.86,1.0,5.0,-4.0,-1.27,-1.78,2.0,4.9,-2.9,-0.92,-1.26,Matches
Joaquín,es ESP,"MF,FW",41-241,11,271.0,25.0,12.0,3.0,1,67.0,0,10,20.0,9,1.09,7.0,2.0,5.0,1.66,1.57,8.7,3.4,5.4,1.78,1.82,Matches
Juan Cruz,es ESP,FW,22-328,5,174.0,35.0,7.7,1.9,1,63.0,0,4,28.0,3,1.4,5.0,2.0,3.0,1.55,1.38,3.4,1.6,1.8,0.94,0.82,Matches
Felix Garreta,es ESP,DF,18-332,1,90.0,90.0,4.0,1.0,1,90.0,1,0,,2,1.0,0.0,0.0,0.0,0.0,-0.29,0.5,0.4,0.0,0.02,-0.17,Matches
Roberto González,es ESP,"FW,MF",22-072,2,54.0,27.0,2.4,0.6,0,,0,2,27.0,1,3.0,1.0,0.0,1.0,1.67,1.42,2.2,0.3,1.9,3.17,3.06,Matches
Loren Morón,es ESP,FW,29-079,2,15.0,8.0,0.7,0.2,0,,0,2,8.0,15,3.0,0.0,0.0,0.0,0.0,-0.28,0.3,0.0,0.3,1.76,1.58,Matches
Fran Delgado,es ESP,DF,21-251,1,12.0,12.0,0.5,0.1,0,,0,1,12.0,1,3.0,0.0,0.0,0.0,0.0,-0.28,0.3,0.0,0.3,2.49,2.32,Matches
