Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Jeremías Ledesma,ar ARG,GK,30-034,25,25,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luis Hernández,es ESP,DF,33-339,24,24,2159.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.2,0.2,0.7,0.9,4.0,53.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches
Alfonso Espino,uy URU,DF,31-073,25,24,2132.0,23.7,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,0.9,0.9,1.4,2.3,33.0,72.0,86.0,0.0,0.13,0.13,0.0,0.13,0.04,0.06,0.1,0.04,0.1,Matches
Rubén Sobrino,es ESP,"MF,FW",30-291,22,17,1554.0,17.3,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,3.1,3.1,0.9,4.0,29.0,23.0,48.0,0.12,0.06,0.17,0.12,0.17,0.18,0.05,0.23,0.18,0.23,Matches
Álex Fernández,es ESP,"MF,FW",30-155,23,16,1423.0,15.8,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,2.5,1.8,1.2,2.9,16.0,55.0,23.0,0.19,0.0,0.19,0.13,0.13,0.16,0.07,0.23,0.11,0.18,Matches
Isaac Carcelen,es ESP,DF,29-330,18,16,1416.0,15.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.2,0.2,0.6,0.8,17.0,50.0,29.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,Matches
Fali,es ESP,"DF,MF",29-219,18,16,1272.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,0.2,0.5,3.0,42.0,7.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Fede San Emeterio,es ESP,MF,26-003,22,15,1164.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.2,0.2,0.0,0.2,1.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Theo Bongonda,cd COD,"MF,FW",27-119,19,15,1159.0,12.9,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.8,2.8,0.7,3.4,32.0,16.0,66.0,0.16,0.16,0.31,0.16,0.31,0.21,0.05,0.27,0.21,0.27,Matches
Brian Ocampo,uy URU,"MF,FW",23-267,18,15,1119.0,12.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,1.7,2.2,40.0,22.0,81.0,0.08,0.08,0.16,0.08,0.16,0.04,0.14,0.18,0.04,0.18,Matches
