Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Joseph Aidoo,gh GHA,DF,27-189,26.8,44,30,29,14,1,15,23,65.2,8,23,12,11,24,68,121,0,Matches
Javi Galán,es ESP,DF,28-138,26.1,79,57,47,29,3,34,71,47.9,37,42,3,39,28,107,44,1,Matches
Iago Aspas,es ESP,FW,35-248,25.4,6,2,0,3,3,2,12,16.7,10,8,1,7,6,12,18,0,Matches
Unai Núñez,es ESP,DF,26-066,25.0,32,23,18,13,1,13,25,52.0,12,13,9,4,52,84,97,1,Matches
Fran Beltrán,es ESP,MF,24-062,24.3,27,18,10,13,4,10,42,23.8,32,19,4,15,41,68,28,2,Matches
Agustín Marchesín,ar ARG,GK,35-021,19.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,Matches
Gabriel Veiga,es ESP,MF,20-314,17.6,35,15,11,21,3,12,37,32.4,25,22,1,21,14,49,5,0,Matches
Hugo Mallo,es ESP,DF,31-288,17.4,36,19,20,11,5,22,32,68.8,10,18,3,15,17,53,50,0,Matches
Carles Pérez,es ESP,"MF,FW",25-049,15.9,22,14,8,8,6,10,40,25.0,30,21,3,18,5,27,7,0,Matches
Franco Cervi,ar ARG,MF,28-315,15.9,57,35,21,30,6,25,51,49.0,26,26,1,25,27,84,12,0,Matches
Jørgen Strand Larsen,no NOR,FW,23-059,14.2,11,5,3,3,5,5,24,20.8,19,11,3,8,2,13,20,0,Matches
Óscar Rodríguez Arnaiz,es ESP,MF,24-282,14.3,24,21,9,12,3,11,20,55.0,9,8,1,7,15,39,10,0,Matches
Óscar Mingueza,es ESP,DF,23-328,12.7,33,17,24,8,1,21,27,77.8,6,9,3,6,10,43,25,0,Matches
Luca de la Torre,us USA,MF,24-318,9.2,19,11,8,8,3,7,17,41.2,10,13,1,12,6,25,4,0,Matches
Renato Tapia,pe PER,"MF,DF",27-252,9.4,28,15,12,13,3,10,20,50.0,10,17,10,7,11,39,16,0,Matches
Iván Villar,es ESP,GK,25-271,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
Gonçalo Paciência,pt POR,FW,28-248,4.6,5,3,0,4,1,1,4,25.0,3,5,1,4,0,5,2,0,Matches
Haris Seferović,ch SUI,FW,31-043,4.4,4,2,0,4,0,2,5,40.0,3,4,0,4,1,5,1,1,Matches
Augusto Solari,ar ARG,"MF,FW",31-093,2.4,7,5,3,3,1,1,8,12.5,7,4,0,4,4,11,3,0,Matches
Kevin Vázquez,es ESP,"DF,MF",30-014,2.0,5,3,1,3,1,2,2,100.0,0,2,1,1,0,5,7,0,Matches
Pablo Durán,es ESP,"MF,DF",22-071,0.4,0,0,0,0,0,0,0,,0,2,1,1,1,1,2,0,Matches
Williot Swedberg,se SWE,MF,19-064,0.4,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
Carlos Dominguez,es ESP,DF,22-054,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Hugo Sotelo,es ESP,MF,19-108,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.7,27.0,475,295,224,200,51,203,461,44.0,258,267,58,209,264,739,483,5,
Opponent Total,,,28.4,27.0,432,257,219,157,56,206,421,48.9,215,262,91,171,267,699,458,8,
