Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Joseph Aidoo,gh GHA,DF,27-171,26,2323.0,89.0,99.3,25.8,26,89.0,25,0,,0,1.31,32.0,35.0,-3.0,-0.12,-0.12,32.2,29.0,3.2,0.13,-0.59,Matches
Javi Galán,es ESP,DF,28-120,26,2260.0,87.0,96.6,25.1,25,90.0,24,1,15.0,0,1.31,32.0,33.0,-1.0,-0.04,2.21,31.8,28.0,3.9,0.15,0.7,Matches
Iago Aspas,es ESP,FW,35-230,26,2194.0,84.0,93.8,24.4,24,90.0,21,2,21.0,0,1.31,31.0,35.0,-4.0,-0.16,-0.78,30.5,28.1,2.4,0.1,-0.52,Matches
Unai Núñez,es ESP,DF,26-048,24,2160.0,90.0,92.3,24.0,24,90.0,24,0,,1,1.42,31.0,30.0,1.0,0.04,2.04,28.7,26.5,2.1,0.09,-0.52,Matches
Fran Beltrán,es ESP,MF,24-044,26,2099.0,81.0,89.7,23.3,24,85.0,16,2,28.0,0,1.31,29.0,32.0,-3.0,-0.13,-0.13,29.9,25.6,4.2,0.18,0.51,Matches
Agustín Marchesín,ar ARG,GK,35-003,19,1710.0,90.0,73.1,19.0,19,90.0,19,0,,0,1.05,18.0,29.0,-11.0,-0.58,-1.72,21.2,19.7,1.6,0.08,-0.18,Matches
Gabriel Veiga,es ESP,MF,20-296,25,1502.0,60.0,64.2,16.7,18,73.0,2,7,26.0,0,1.36,22.0,17.0,5.0,0.3,1.16,21.3,17.1,4.2,0.25,0.34,Matches
Hugo Mallo,es ESP,DF,31-270,18,1473.0,82.0,62.9,16.4,18,82.0,11,0,,4,1.28,20.0,24.0,-4.0,-0.24,-0.35,21.5,18.0,3.5,0.22,0.23,Matches
Franco Cervi,ar ARG,MF,28-297,25,1421.0,57.0,60.7,15.8,16,78.0,4,9,20.0,0,1.24,16.0,27.0,-11.0,-0.7,-1.48,19.0,17.8,1.2,0.08,-0.13,Matches
Carles Pérez,es ESP,"MF,FW",25-031,25,1367.0,55.0,58.4,15.2,15,74.0,3,10,26.0,1,1.24,19.0,16.0,3.0,0.2,0.75,18.0,17.5,0.5,0.03,-0.23,Matches
Jørgen Strand Larsen,no NOR,FW,23-041,22,1250.0,57.0,53.4,13.9,15,67.0,3,7,35.0,0,1.32,18.0,22.0,-4.0,-0.29,-0.37,17.3,12.7,4.6,0.33,0.44,Matches
Óscar Rodríguez Arnaiz,es ESP,MF,24-264,24,1290.0,54.0,55.1,14.3,14,78.0,7,10,19.0,0,1.29,16.0,22.0,-6.0,-0.42,-0.68,15.5,17.2,-1.7,-0.12,-0.55,Matches
Óscar Mingueza,es ESP,DF,23-310,18,1144.0,64.0,48.9,12.7,12,86.0,8,6,20.0,4,1.17,12.0,19.0,-7.0,-0.55,-0.85,16.0,14.3,1.7,0.14,0.01,Matches
Renato Tapia,pe PER,"MF,DF",27-234,18,813.0,45.0,34.7,9.0,9,70.0,2,9,20.0,5,1.28,6.0,18.0,-12.0,-1.33,-1.86,9.4,11.8,-2.4,-0.27,-0.61,Matches
Luca de la Torre,us USA,MF,24-300,17,769.0,45.0,32.9,8.5,9,71.0,0,8,16.0,6,1.71,14.0,5.0,9.0,1.05,1.74,11.2,8.1,3.1,0.37,0.35,Matches
Iván Villar,es ESP,GK,25-253,7,630.0,90.0,26.9,7.0,7,90.0,7,0,,19,2.0,14.0,6.0,8.0,1.14,1.72,11.1,9.3,1.8,0.26,0.18,Matches
Gonçalo Paciência,pt POR,"FW,MF",28-230,15,408.0,27.0,17.4,4.5,4,62.0,0,11,15.0,7,1.2,5.0,5.0,0.0,0.0,0.14,6.7,5.1,1.6,0.35,0.27,Matches
Haris Seferović,ch SUI,"FW,MF",31-025,7,316.0,45.0,13.5,3.5,3,61.0,0,4,33.0,0,2.0,8.0,2.0,6.0,1.71,2.11,6.5,5.6,0.9,0.24,0.13,Matches
Augusto Solari,ar ARG,"MF,FW",31-075,11,217.0,20.0,9.3,2.4,2,50.0,0,9,13.0,10,2.09,5.0,2.0,3.0,1.24,1.5,3.3,1.3,2.0,0.81,0.75,Matches
Kevin Vázquez,es ESP,"DF,MF",29-361,5,180.0,36.0,7.7,2.0,2,81.0,1,3,6.0,21,2.2,3.0,0.0,3.0,1.5,1.75,3.4,1.5,1.9,0.97,0.91,Matches
Pablo Durán,es ESP,"MF,DF",22-053,4,36.0,9.0,1.5,0.4,0,,0,4,9.0,5,0.5,0.0,1.0,-1.0,-2.5,-2.42,0.5,0.7,-0.2,-0.55,-0.69,Matches
Williot Swedberg,se SWE,MF,19-046,2,35.0,18.0,1.5,0.4,0,,0,2,18.0,24,0.5,0.0,0.0,0.0,0.0,0.12,0.2,0.1,0.1,0.31,0.19,Matches
