Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Édgar Badía,es ESP,GK,31-035,25.0,2,0.08,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Omar Mascarell,es ESP,MF,30-045,21.2,36,1.7,25,10,1,0,0,0,2,0.09,0,2,0,0,0,0,Matches
Gerard Gumbau,es ESP,MF,28-091,18.6,62,3.33,29,30,0,2,1,0,4,0.21,0,4,0,0,0,0,Matches
Lucas Boyé,ar ARG,FW,27-019,17.8,47,2.64,33,0,7,1,4,2,5,0.28,4,0,0,0,0,1,Matches
Carlos Clerc,es ESP,"DF,MF",31-026,17.5,25,1.43,19,2,1,1,2,0,2,0.11,1,0,0,0,1,0,Matches
Helibelton Palacios,co COL,DF,29-281,16.9,17,1.0,14,2,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Enzo Roco,cl CHI,DF,30-215,16.4,11,0.67,8,0,1,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Pedro Bigas,es ESP,DF,32-185,15.7,10,0.64,5,0,1,2,1,1,2,0.13,0,0,0,1,1,0,Matches
Pere Milla,es ESP,"FW,MF",30-177,13.4,30,2.19,21,0,1,3,4,1,3,0.22,2,0,0,0,1,0,Matches
Tete Morente,es ESP,"MF,DF",26-105,11.0,24,2.19,13,3,4,2,2,0,1,0.09,0,0,0,0,1,0,Matches
Raúl Guti,es ESP,MF,26-079,9.8,12,1.27,10,0,1,1,0,0,2,0.21,2,0,0,0,0,0,Matches
Fidel,es ESP,"MF,FW",33-143,8.7,33,3.78,21,7,0,1,4,0,2,0.23,2,0,0,0,0,0,Matches
Ezequiel Ponce,ar ARG,"FW,MF",25-355,11.0,22,2.0,17,0,0,4,1,0,4,0.36,1,0,0,2,1,0,Matches
Roger Martí,es ESP,FW,32-075,7.3,13,1.79,10,0,0,1,1,1,1,0.14,1,0,0,0,0,0,Matches
Álex Collado,es ESP,MF,23-331,6.0,19,3.18,14,3,0,1,1,0,2,0.34,2,0,0,0,0,0,Matches
Diego González,es ESP,DF,28-050,9.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pol Lirola,es ESP,DF,25-218,6.3,18,2.86,17,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gonzalo Verdú,es ESP,DF,34-149,6.0,2,0.33,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Carmona,es ESP,"MF,DF",21-049,5.8,14,2.42,8,0,3,1,1,1,1,0.17,1,0,0,0,0,0,Matches
Lisandro Magallán,ar ARG,DF,29-173,4.5,4,0.89,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Josan,es ESP,"DF,MF",33-106,4.9,5,1.02,3,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Johan Mojica,co COL,"DF,MF",30-210,3.0,3,1.0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Randy Ntekja,fr FRA,FW,25-103,2.3,4,1.76,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nicolás Ezequiel Fernández,ar ARG,"MF,DF",23-067,3.6,11,3.03,9,1,0,1,0,0,1,0.28,1,0,0,0,0,0,Matches
Domingos Quina,pt POR,MF,23-121,3.1,6,1.96,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lautaro Blanco,ar ARG,"DF,MF",24-028,3.0,7,2.29,5,1,0,0,0,1,1,0.33,1,0,0,0,0,0,Matches
John Donald,es ESP,DF,22-201,1.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Federico Fernández,ar ARG,DF,34-026,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pape Cheikh Diop,sn SEN,MF,25-223,0.4,1,2.73,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alejandro Alfaro,es ESP,MF,20-277,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Javier Pastore,ar ARG,MF,33-272,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,29.1,25.0,438,17.52,301,61,21,22,24,9,33,1.32,18,6,0,3,5,1,
Opponent Total,,,28.0,25.0,681,27.24,505,53,33,46,34,10,85,3.4,62,1,7,8,6,1,
