Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Édgar Badía,es ESP,GK,31-053,27.0,845,789,844,2,0,0,845,0,0,,0,,412,2320,1446,0,0,0,2,0,264,0,Matches
Omar Mascarell,es ESP,MF,30-063,23.2,1236,73,352,754,141,5,1236,27,17,63.0,8,29.6,642,3746,1457,21,16,1,12,11,714,6,Matches
Gerard Gumbau,es ESP,MF,28-109,20.6,1093,41,214,614,276,11,1093,13,3,23.1,6,46.2,554,2312,1096,12,15,1,13,5,651,32,Matches
Carlos Clerc,es ESP,"DF,MF",31-044,19.4,1064,72,334,464,275,23,1064,36,16,44.4,17,47.2,553,3112,1322,41,24,2,18,10,591,80,Matches
Lucas Boyé,ar ARG,FW,27-037,18.8,796,33,67,410,336,74,795,83,45,54.2,36,43.4,510,2663,1062,45,25,18,106,62,572,112,Matches
Helibelton Palacios,co COL,DF,29-299,18.8,911,70,384,433,109,8,911,25,12,48.0,9,36.0,448,2299,1377,22,16,0,9,6,457,19,Matches
Pedro Bigas,es ESP,DF,32-203,17.0,955,119,493,421,51,13,955,7,4,57.1,3,42.9,522,2823,1623,14,12,0,9,4,538,3,Matches
Enzo Roco,cl CHI,DF,30-233,16.4,757,94,418,313,33,14,757,5,3,60.0,2,40.0,404,1996,969,5,5,0,7,0,413,2,Matches
Pere Milla,es ESP,"FW,MF",30-195,14.2,610,19,103,333,187,38,607,31,12,38.7,15,48.4,364,1654,797,18,25,4,37,17,417,62,Matches
Tete Morente,es ESP,"MF,DF",26-123,12.7,595,26,115,226,260,23,595,32,11,34.4,21,65.6,341,1915,845,30,22,7,25,12,388,82,Matches
Fidel,es ESP,"MF,FW",33-161,10.6,528,7,78,251,210,23,527,40,15,37.5,20,50.0,349,1951,1012,28,20,2,23,15,390,52,Matches
Raúl Guti,es ESP,MF,26-097,10.2,422,12,103,227,96,14,422,10,3,30.0,7,70.0,248,974,365,4,11,2,13,14,287,13,Matches
Ezequiel Ponce,ar ARG,"FW,MF",26-008,11.5,387,18,39,217,135,43,387,15,5,33.3,8,53.3,237,935,301,10,4,5,28,28,295,47,Matches
Diego González,es ESP,DF,28-068,10.3,468,74,312,142,16,7,468,2,1,50.0,1,50.0,233,1233,672,1,0,0,1,3,259,2,Matches
Roger Martí,es ESP,FW,32-093,7.3,226,8,27,107,93,19,226,7,3,42.9,4,57.1,135,618,215,8,6,6,25,10,153,50,Matches
Gonzalo Verdú,es ESP,DF,34-167,6.7,328,55,205,113,13,9,328,0,0,,0,,167,797,300,0,1,0,3,0,190,0,Matches
Carmona,es ESP,"MF,DF",21-067,6.5,265,20,83,93,92,14,265,20,9,45.0,8,40.0,143,814,338,8,10,6,12,4,116,27,Matches
Álex Collado,es ESP,MF,23-349,6.0,298,8,49,132,123,15,298,16,6,37.5,9,56.3,190,1249,514,10,15,3,11,7,216,34,Matches
Pol Lirola,es ESP,DF,25-236,6.3,349,17,103,144,107,7,349,18,7,38.9,10,55.6,197,1175,678,19,17,1,8,5,188,29,Matches
Lisandro Magallán,ar ARG,DF,29-191,4.5,144,19,88,50,8,2,144,1,1,100.0,0,0.0,64,272,102,0,1,0,1,0,64,0,Matches
Randy Ntekja,fr FRA,FW,25-121,2.9,116,4,16,54,47,11,116,8,3,37.5,5,62.5,67,233,65,1,2,0,12,9,77,11,Matches
Josan,es ESP,"MF,DF",33-124,5.3,228,8,69,86,78,9,228,13,9,69.2,3,23.1,142,862,380,12,8,4,12,16,150,34,Matches
Lautaro Blanco,ar ARG,"MF,DF",24-046,3.9,200,7,49,71,85,2,200,11,4,36.4,7,63.6,91,690,352,11,7,0,3,0,91,17,Matches
Johan Mojica,co COL,"DF,MF",30-228,3.0,209,12,65,76,70,4,209,9,4,44.4,4,44.4,125,649,356,14,11,2,5,4,112,11,Matches
Nicolás Ezequiel Fernández,ar ARG,"MF,DF",23-085,3.9,217,6,52,86,82,7,217,8,2,25.0,4,50.0,136,803,451,10,8,1,7,6,128,29,Matches
Domingos Quina,pt POR,MF,23-139,3.1,191,6,39,104,53,4,191,10,5,50.0,3,30.0,139,1085,460,12,8,3,7,10,124,7,Matches
John Donald,es ESP,DF,22-219,1.7,48,10,35,13,0,0,48,0,0,,0,,27,112,63,0,0,0,3,0,27,0,Matches
Federico Fernández,ar ARG,DF,34-044,1.0,30,11,24,5,1,0,30,0,0,,0,,5,11,6,0,0,0,1,0,2,0,Matches
Pape Cheikh Diop,sn SEN,MF,25-241,0.4,14,1,4,10,0,0,14,1,0,0.0,1,100.0,9,37,16,0,0,0,0,1,9,0,Matches
Alejandro Alfaro,es ESP,MF,20-295,0.2,2,0,0,1,1,0,2,1,0,0.0,1,100.0,1,6,0,0,1,0,0,0,2,0,Matches
Javier Pastore,ar ARG,MF,33-290,0.1,10,0,0,3,7,2,10,0,0,,0,,9,91,27,2,1,0,1,1,9,2,Matches
Squad Total,,,29.2,27.0,13542,1639,4764,5955,2985,401,13537,449,200,44.5,212,47.2,7464,39437,18667,358,291,68,414,260,7894,763,
Opponent Total,,,28.0,27.0,17758,1463,4770,8399,4751,688,17748,484,219,45.2,196,40.5,10530,56823,30987,555,435,151,412,250,12046,1210,
