Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Predrag Rajković,rs SRB,GK,27-139,25.0,3,0,0,1,3,0,0,0,0,0,1,0,19,1,1,50.0,Matches
Antonio Raillo,es ESP,DF,31-162,24.0,8,0,0,32,18,3,0,26,19,1,0,0,110,60,40,60.0,Matches
Pablo Maffeo,es ESP,DF,25-250,21.3,4,1,0,22,41,4,77,16,28,0,0,0,94,27,22,55.1,Matches
Vedat Muriqi,xk KVX,FW,28-329,21.3,5,1,0,39,23,20,10,7,4,0,0,0,65,122,100,55.0,Matches
Lee Kangin,kr KOR,"MF,FW",22-028,20.7,6,0,0,34,35,1,123,6,15,0,0,0,78,8,39,17.0,Matches
Jaume Costa,es ESP,DF,35-001,19.8,6,0,0,23,26,6,56,9,22,0,0,0,89,20,19,51.3,Matches
Martin Valjent,sk SVK,DF,27-098,19.5,7,0,0,21,5,0,6,19,14,0,1,0,74,18,10,64.3,Matches
Iñigo Ruiz de Galarreta,es ESP,MF,29-225,18.4,7,0,0,43,28,0,37,15,29,0,0,0,139,9,17,34.6,Matches
Dani Rodríguez,es ESP,MF,34-286,16.5,7,0,0,35,24,3,22,15,15,0,0,0,95,9,28,24.3,Matches
Copete,es ESP,DF,23-160,16.1,7,0,0,30,18,2,4,31,19,0,1,0,81,20,10,66.7,Matches
Iddrisu Baba,gh GHA,MF,27-056,12.1,4,0,0,26,21,0,0,7,11,0,0,0,84,17,14,54.8,Matches
Matija Nastasić,rs SRB,DF,29-356,8.4,2,0,0,11,0,1,1,16,5,0,0,0,28,8,6,57.1,Matches
Rodrigo Battaglia,ar ARG,MF,31-250,7.6,5,0,0,11,11,0,1,5,5,0,2,0,29,11,8,57.9,Matches
Giovanni González,uy URU,DF,28-180,7.8,4,0,0,11,14,0,15,7,8,0,0,0,33,11,10,52.4,Matches
Antonio Sánchez,es ESP,MF,26-077,7.3,4,0,0,16,11,0,16,9,5,1,1,0,51,5,7,41.7,Matches
Clément Grenier,fr FRA,MF,32-071,6.8,7,0,0,19,13,0,26,6,8,0,0,0,36,3,7,30.0,Matches
Tino Kadewere,zw ZIM,"FW,MF",27-073,4.2,0,0,0,3,3,3,4,0,3,0,0,0,14,21,15,58.3,Matches
Amath,sn SEN,"MF,FW",26-246,6.3,2,0,0,18,8,3,8,3,10,1,0,0,31,3,5,37.5,Matches
Braian Cufré,ar ARG,DF,26-094,2.4,0,0,0,5,3,2,1,2,2,0,0,0,13,0,1,0.0,Matches
Franco Russo,ar ARG,DF,28-145,1.6,0,0,0,0,2,0,0,3,1,0,0,0,12,3,2,60.0,Matches
Ángel Rodríguez,es ESP,"FW,MF",35-327,3.0,0,0,0,7,5,2,2,1,1,0,0,0,4,8,3,72.7,Matches
Abdón Prats,es ESP,"FW,MF",30-102,2.9,0,0,0,4,6,1,0,0,0,0,0,0,6,6,23,20.7,Matches
Ludwig Augustinsson,se SWE,DF,28-332,0.9,0,0,0,0,0,0,5,0,0,0,0,0,3,2,1,66.7,Matches
Lago Junior,ci CIV,"FW,MF",32-078,0.6,0,0,0,3,1,0,2,0,0,0,0,0,7,4,1,80.0,Matches
Manu Morlanes,es ESP,MF,24-066,0.3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.0,Matches
Javier Llabrés,es ESP,FW,20-189,0.2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0.0,Matches
Squad Total,,,28.6,25.0,88,2,0,415,319,53,417,203,225,3,6,0,1196,396,391,50.3,
Opponent Total,,,28.2,25.0,69,3,0,333,405,28,493,168,188,4,3,1,1251,391,396,49.7,
