Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Moi Gómez,es ESP,"MF,FW",28-269,22.5,20,13,6,13,1,12,27,44.4,15,13,3,10,8,28,4,1,Matches
Lucas Torró,es ESP,MF,28-243,20.3,36,24,22,11,3,12,26,46.2,14,14,2,12,29,65,46,1,Matches
David García,es ESP,DF,29-033,21.5,29,15,20,9,0,16,19,84.2,3,18,7,11,32,61,116,0,Matches
Ezequiel Ávila,ar ARG,"FW,MF",29-041,15.6,7,4,2,3,2,5,20,25.0,15,9,1,8,6,13,14,0,Matches
Jon Moncayola,es ESP,"MF,DF",24-310,18.2,35,24,18,11,6,19,42,45.2,23,23,4,19,10,45,24,1,Matches
Juan Cruz Armada,es ESP,DF,30-234,17.0,18,10,13,2,3,11,20,55.0,9,14,6,8,12,30,39,0,Matches
Unai García,es ESP,DF,31-044,15.1,15,7,9,4,2,9,13,69.2,4,18,12,6,17,32,50,2,Matches
Ante Budimir,hr CRO,FW,31-240,12.3,10,4,0,6,4,0,4,0.0,4,8,0,8,2,12,12,0,Matches
Aitor Fernández,es ESP,GK,31-320,13.0,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,9,0,Matches
Aimar Oroz,es ESP,"MF,FW",21-112,12.9,14,7,4,5,5,2,13,15.4,11,14,1,13,14,28,5,0,Matches
Sergio Herrera,es ESP,GK,29-287,12.0,2,0,2,0,0,2,2,100.0,0,1,0,1,1,3,5,0,Matches
Manuel Sánchez,es ESP,DF,22-207,12.5,30,21,20,5,5,19,30,63.3,11,20,3,17,10,40,26,0,Matches
Abdessamad Ezzalzouli,ma MAR,"FW,MF",21-092,9.4,18,12,8,7,3,7,14,50.0,7,14,0,14,3,21,4,0,Matches
Nacho Vidal,es ESP,DF,28-054,10.2,22,12,14,3,5,14,26,53.8,12,15,2,13,17,39,21,1,Matches
Aridane Hernández,gq EQG,DF,33-361,9.6,9,6,8,1,0,6,12,50.0,6,17,9,8,13,22,41,1,Matches
Darko Brašanac,rs SRB,MF,31-035,10.7,25,17,11,10,4,9,18,50.0,9,13,2,11,12,37,9,0,Matches
Rubén Peña,es ESP,"DF,MF",31-244,7.3,16,8,3,12,1,13,22,59.1,9,7,4,3,8,24,15,0,Matches
Rubén García,es ESP,"MF,FW",29-248,7.9,13,5,8,4,1,6,17,35.3,11,12,1,11,8,21,9,0,Matches
Kike Barja,es ESP,"FW,MF",25-352,6.2,5,2,3,1,1,1,5,20.0,4,2,0,2,3,8,2,0,Matches
Diego Moreno,es ESP,DF,21-271,5.9,4,4,2,2,0,3,6,50.0,3,5,2,3,1,5,15,0,Matches
Kike,es ESP,FW,33-114,8.4,5,3,0,3,2,1,4,25.0,3,3,0,3,1,6,10,0,Matches
Pablo Ibáñez,es ESP,MF,24-180,4.8,13,4,4,7,2,5,16,31.3,11,8,1,7,6,19,12,0,Matches
Iker Muñoz,es ESP,MF,20-134,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Roberto Torres,es ESP,"FW,MF",34-012,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.4,25.0,347,203,178,119,50,172,358,48.0,186,248,60,188,214,561,488,7,
Opponent Total,,,27.9,25.0,346,201,194,124,28,128,300,42.7,172,246,62,184,201,547,532,5,
