Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Vinicius Júnior,br BRA,FW,22-265,24.5,118,4.82,81,1,15,9,11,1,13,0.53,7,0,1,4,0,1,Matches
Federico Valverde,uy URU,"FW,MF",24-255,22.6,71,3.15,67,0,2,1,1,0,11,0.49,10,0,1,0,0,0,Matches
Thibaut Courtois,be BEL,GK,30-327,20.0,4,0.2,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Éder Militão,br BRA,DF,25-075,19.5,14,0.72,12,2,0,0,0,0,2,0.1,2,0,0,0,0,0,Matches
Toni Kroos,de GER,MF,33-089,16.7,75,4.5,49,23,0,1,1,1,4,0.24,3,1,0,0,0,0,Matches
Antonio Rüdiger,de GER,DF,30-031,17.8,12,0.67,11,0,0,1,0,0,1,0.06,0,0,0,1,0,0,Matches
David Alaba,at AUT,DF,30-283,17.2,25,1.46,21,3,0,1,0,0,4,0.23,3,0,0,1,0,0,Matches
Rodrygo,br BRA,FW,22-084,17.5,91,5.2,54,2,15,8,11,1,13,0.74,8,0,3,0,2,0,Matches
Dani Carvajal,es ESP,DF,31-082,16.1,32,1.99,31,0,0,0,0,1,1,0.06,1,0,0,0,0,0,Matches
Luka Modrić,hr CRO,MF,37-206,15.7,72,4.6,64,4,2,1,1,0,9,0.57,6,2,0,0,1,0,Matches
Karim Benzema,fr FRA,FW,35-105,15.5,68,4.39,56,1,4,5,2,0,5,0.32,4,0,0,1,0,0,Matches
Aurélien Tchouaméni,fr FRA,MF,23-066,14.0,37,2.63,31,0,0,3,2,1,7,0.5,7,0,0,0,0,0,Matches
Eduardo Camavinga,fr FRA,"MF,DF",20-144,15.0,59,3.94,42,0,5,3,9,0,4,0.27,2,0,0,1,1,0,Matches
Ferland Mendy,fr FRA,DF,27-299,12.8,27,2.1,24,1,1,0,0,1,2,0.16,2,0,0,0,0,0,Matches
Nacho,es ESP,DF,33-075,10.3,16,1.55,11,0,3,2,0,0,2,0.19,1,0,1,0,0,0,Matches
Dani Ceballos,es ESP,MF,26-239,9.1,45,4.95,38,4,1,0,2,0,4,0.44,3,0,0,0,1,0,Matches
Marco Asensio,es ESP,"FW,MF",27-072,7.8,32,4.1,20,6,3,2,1,0,6,0.77,2,1,2,0,1,0,Matches
Andriy Lunin,ua UKR,GK,24-051,6.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Vázquez,es ESP,DF,31-276,5.5,19,3.46,15,2,0,0,2,0,0,0.0,0,0,0,0,0,0,Matches
Eden Hazard,be BEL,FW,32-086,1.1,7,6.36,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Mariano,do DOM,FW,29-245,0.6,1,1.58,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Álvaro Odriozola,es ESP,DF,27-110,0.3,1,3.91,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Álvaro Muñoz,uy URU,"FW,MF",18-263,0.2,1,4.09,1,0,0,0,0,0,1,4.09,1,0,0,0,0,0,Matches
Sergio Arribas,es ESP,FW,21-185,0.1,2,18.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Casemiro,br BRA,MF,31-039,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.1,26.0,829,31.88,640,51,51,38,43,6,89,3.42,62,4,8,8,6,1,
Opponent Total,,,28.3,26.0,470,18.08,329,48,32,33,19,9,28,1.08,16,3,1,5,3,0,
