Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Vinicius Júnior,br BRA,FW,22-250,23.5,8,0,0,39,92,15,46,6,17,1,0,0,72,0,6,0.0,Matches
Federico Valverde,uy URU,"FW,MF",24-240,21.7,2,0,0,10,12,3,23,13,18,0,0,0,103,23,10,69.7,Matches
Thibaut Courtois,be BEL,GK,30-312,19.0,0,0,0,0,2,0,0,0,0,0,0,0,31,5,0,100.0,Matches
Éder Militão,br BRA,DF,25-060,18.5,3,0,0,22,27,1,8,25,21,0,1,0,99,43,26,62.3,Matches
David Alaba,at AUT,DF,30-268,17.2,3,0,0,7,3,0,25,12,10,0,1,0,78,7,7,50.0,Matches
Toni Kroos,de GER,MF,33-074,16.0,2,1,1,17,22,0,89,16,21,0,0,0,105,5,4,55.6,Matches
Rodrygo,br BRA,FW,22-069,17.2,2,0,0,14,33,6,15,5,6,2,0,0,34,11,14,44.0,Matches
Antonio Rüdiger,de GER,DF,30-016,16.8,1,0,0,6,2,0,3,12,9,0,0,0,96,24,11,68.6,Matches
Dani Carvajal,es ESP,DF,31-067,15.1,4,0,0,13,11,4,39,13,15,0,1,0,86,5,8,38.5,Matches
Luka Modrić,hr CRO,MF,37-191,14.8,5,0,0,16,12,1,51,8,5,0,0,0,62,8,11,42.1,Matches
Karim Benzema,fr FRA,FW,35-090,14.5,1,0,0,8,4,17,2,1,4,2,0,0,24,10,8,55.6,Matches
Aurélien Tchouaméni,fr FRA,MF,23-051,13.9,1,0,0,23,20,0,6,28,23,0,0,0,67,33,16,67.3,Matches
Ferland Mendy,fr FRA,DF,27-284,12.5,2,0,0,4,17,0,6,13,9,0,0,0,64,7,6,53.8,Matches
Eduardo Camavinga,fr FRA,"MF,DF",20-129,14.2,4,0,0,22,47,3,5,10,27,0,0,0,85,17,10,63.0,Matches
Dani Ceballos,es ESP,MF,26-224,8.9,3,0,0,10,20,0,7,15,16,0,0,0,67,2,4,33.3,Matches
Nacho,es ESP,DF,33-060,9.6,4,0,0,12,8,2,6,6,8,0,0,1,46,22,15,59.5,Matches
Marco Asensio,es ESP,"FW,MF",27-057,7.6,1,0,0,7,7,1,41,2,6,1,1,0,24,3,0,100.0,Matches
Andriy Lunin,ua UKR,GK,24-036,6.0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,,Matches
Lucas Vázquez,es ESP,DF,31-261,5.5,1,0,0,8,5,2,19,4,11,0,0,0,29,1,4,20.0,Matches
Eden Hazard,be BEL,FW,32-071,1.1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,,Matches
Mariano,do DOM,FW,29-230,0.6,2,0,0,3,0,1,0,0,0,0,0,0,4,1,1,50.0,Matches
Álvaro Odriozola,es ESP,DF,27-095,0.3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0.0,Matches
Álvaro Muñoz,uy URU,"FW,MF",18-248,0.2,0,0,0,2,0,1,0,0,0,0,0,0,3,0,3,0.0,Matches
Sergio Arribas,es ESP,FW,21-170,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Matches
Casemiro,br BRA,MF,31-024,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
Squad Total,,,28.1,25.0,49,1,1,244,347,57,394,189,226,6,4,1,1196,227,165,57.9,
Opponent Total,,,28.3,25.0,67,6,1,358,232,34,345,224,252,0,10,0,1116,165,227,42.1,
