Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Vinicius Júnior,br BRA,FW,22-250,23.5,1233,1,61,303,884,169,1233,211,77,36.5,104,49.3,988,7945,4200,159,75,90,69,48,1072,363,Matches
Federico Valverde,uy URU,"FW,MF",24-240,21.7,1458,30,174,652,645,41,1458,36,26,72.2,8,22.2,907,5212,2603,60,54,7,17,6,1137,102,Matches
Thibaut Courtois,be BEL,GK,30-312,19.0,712,593,708,4,0,0,712,0,0,,0,,479,2410,1543,0,0,0,2,0,412,0,Matches
Éder Militão,br BRA,DF,25-060,18.5,1328,182,652,587,97,22,1328,14,9,64.3,3,21.4,813,4462,2586,20,16,1,11,3,892,12,Matches
David Alaba,at AUT,DF,30-268,17.2,1081,100,410,446,231,19,1081,4,3,75.0,1,25.0,645,2821,1659,14,22,2,7,3,779,58,Matches
Toni Kroos,de GER,MF,33-074,16.0,1737,36,327,1059,364,10,1737,14,4,28.6,7,50.0,1160,5213,2897,36,24,2,6,8,1364,24,Matches
Rodrygo,br BRA,FW,22-069,17.2,869,2,29,336,510,125,868,93,45,48.4,36,38.7,628,3712,1997,83,47,46,40,16,750,174,Matches
Antonio Rüdiger,de GER,DF,30-016,16.8,1123,124,543,542,44,19,1123,1,1,100.0,0,0.0,751,3758,2349,8,5,0,7,0,828,3,Matches
Dani Carvajal,es ESP,DF,31-067,15.1,1118,54,300,448,374,22,1118,10,4,40.0,3,30.0,645,2289,1122,14,21,1,14,5,778,93,Matches
Luka Modrić,hr CRO,MF,37-191,14.8,1250,17,169,650,438,31,1249,33,14,42.4,13,39.4,819,4161,1883,35,40,8,25,8,998,51,Matches
Karim Benzema,fr FRA,FW,35-090,14.5,813,4,35,282,500,115,807,25,10,40.0,14,56.0,493,2305,1164,42,29,18,19,17,686,98,Matches
Aurélien Tchouaméni,fr FRA,MF,23-051,13.9,1181,51,274,730,180,16,1181,19,13,68.4,6,31.6,754,4058,1896,22,22,2,14,8,915,14,Matches
Ferland Mendy,fr FRA,DF,27-284,12.5,799,31,216,341,249,8,799,26,17,65.4,7,26.9,495,2569,1304,22,23,2,16,14,574,59,Matches
Eduardo Camavinga,fr FRA,"MF,DF",20-129,14.2,1071,25,201,590,299,20,1071,47,27,57.4,15,31.9,705,4186,2346,45,54,5,27,15,805,65,Matches
Dani Ceballos,es ESP,MF,26-224,8.9,932,13,131,549,257,15,932,32,20,62.5,11,34.4,673,3836,1855,38,30,3,10,16,756,26,Matches
Nacho,es ESP,DF,33-060,9.6,678,52,238,341,103,12,678,8,6,75.0,1,12.5,370,1724,1103,8,4,0,9,5,471,17,Matches
Marco Asensio,es ESP,"FW,MF",27-057,7.6,465,5,33,192,243,33,464,15,9,60.0,4,26.7,295,1741,807,21,16,5,10,7,359,62,Matches
Andriy Lunin,ua UKR,GK,24-036,6.0,198,157,197,1,0,0,198,0,0,,0,,119,549,204,0,0,0,0,0,120,0,Matches
Lucas Vázquez,es ESP,DF,31-261,5.5,475,9,105,192,180,21,475,7,4,57.1,1,14.3,293,1435,723,14,7,6,7,3,339,60,Matches
Eden Hazard,be BEL,FW,32-071,1.1,78,0,2,29,48,8,77,2,2,100.0,0,0.0,62,319,173,5,4,1,5,1,74,13,Matches
Mariano,do DOM,FW,29-230,0.6,21,0,1,8,12,5,21,0,0,,0,,14,95,57,2,1,0,1,2,17,7,Matches
Álvaro Odriozola,es ESP,DF,27-095,0.3,18,0,0,10,8,1,18,0,0,,0,,10,87,38,3,0,0,0,0,14,4,Matches
Álvaro Muñoz,uy URU,"FW,MF",18-248,0.2,9,0,0,3,6,1,9,0,0,,0,,8,20,6,0,0,0,0,0,6,1,Matches
Sergio Arribas,es ESP,FW,21-170,0.1,10,0,0,5,5,1,10,0,0,,0,,3,15,6,0,0,0,0,0,7,0,Matches
Casemiro,br BRA,MF,31-024,0.1,11,1,3,8,0,0,11,0,0,,0,,7,20,6,0,0,0,1,0,7,0,Matches
Squad Total,,,28.1,25.0,18668,1487,4809,8308,5677,714,18658,597,291,48.7,234,39.2,12136,64942,34527,651,494,199,317,185,14160,1306,
Opponent Total,,,28.3,25.0,13359,1740,4663,5804,3010,399,13355,385,185,48.1,165,42.9,7808,39992,20525,398,326,91,310,189,8750,746,
