Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Vinicius Júnior,br BRA,FW,22-265,24.5,8,63,30,47.6,2.57,1.22,0.13,0.27,16.7,0,0,0,8.6,8.6,0.14,-0.6,-0.6,Matches
Federico Valverde,uy URU,"FW,MF",24-255,22.6,7,54,19,35.2,2.39,0.84,0.13,0.37,23.8,2,0,0,3.4,3.4,0.06,3.6,3.6,Matches
Thibaut Courtois,be BEL,GK,30-327,20.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Éder Militão,br BRA,DF,25-075,19.5,4,16,6,37.5,0.82,0.31,0.25,0.67,15.3,0,0,0,1.6,1.6,0.1,2.4,2.4,Matches
Toni Kroos,de GER,MF,33-089,16.7,2,21,6,28.6,1.26,0.36,0.1,0.33,25.8,3,0,0,1.0,1.0,0.05,1.0,1.0,Matches
Antonio Rüdiger,de GER,DF,30-031,17.8,1,16,4,25.0,0.9,0.22,0.06,0.25,13.3,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches
David Alaba,at AUT,DF,30-283,17.2,1,12,3,25.0,0.7,0.17,0.08,0.33,20.5,5,0,0,0.7,0.7,0.06,0.3,0.3,Matches
Rodrygo,br BRA,FW,22-084,17.5,4,63,19,30.2,3.6,1.09,0.05,0.16,17.2,5,1,1,8.9,8.1,0.13,-4.9,-5.1,Matches
Dani Carvajal,es ESP,DF,31-082,16.1,0,7,0,0.0,0.43,0.0,0.0,,22.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Luka Modrić,hr CRO,MF,37-206,15.7,4,25,5,20.0,1.6,0.32,0.12,0.6,19.7,1,1,1,4.1,3.3,0.13,-0.1,-0.3,Matches
Karim Benzema,fr FRA,FW,35-105,15.5,11,68,22,32.4,4.39,1.42,0.09,0.27,16.3,3,5,6,13.5,8.5,0.13,-2.5,-2.5,Matches
Aurélien Tchouaméni,fr FRA,MF,23-066,14.0,0,22,4,18.2,1.57,0.28,0.0,0.0,22.7,0,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches
Eduardo Camavinga,fr FRA,"MF,DF",20-144,15.0,0,16,3,18.8,1.07,0.2,0.0,0.0,22.4,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Ferland Mendy,fr FRA,DF,27-299,12.8,0,1,0,0.0,0.08,0.0,0.0,,7.3,0,0,0,0.3,0.3,0.26,-0.3,-0.3,Matches
Nacho,es ESP,DF,33-075,10.3,0,4,2,50.0,0.39,0.19,0.0,0.0,9.3,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
Dani Ceballos,es ESP,MF,26-239,9.1,0,8,2,25.0,0.88,0.22,0.0,0.0,23.1,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Marco Asensio,es ESP,"FW,MF",27-072,7.8,5,28,11,39.3,3.59,1.41,0.18,0.45,21.6,2,0,1,4.2,3.4,0.12,0.8,1.6,Matches
Andriy Lunin,ua UKR,GK,24-051,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lucas Vázquez,es ESP,DF,31-276,5.5,2,7,3,42.9,1.28,0.55,0.29,0.67,20.6,0,0,0,0.9,0.9,0.13,1.1,1.1,Matches
Eden Hazard,be BEL,FW,32-086,1.1,0,1,0,0.0,0.91,0.0,0.0,,29.4,0,0,1,0.8,0.1,0.06,-0.8,-0.1,Matches
Mariano,do DOM,FW,29-245,0.6,0,3,0,0.0,4.74,0.0,0.0,,10.3,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
Álvaro Odriozola,es ESP,DF,27-110,0.3,0,1,0,0.0,3.91,0.0,0.0,,13.7,0,0,0,0.2,0.2,0.24,-0.2,-0.2,Matches
Álvaro Muñoz,uy URU,"FW,MF",18-263,0.2,1,1,1,100.0,4.09,4.09,1.0,1.0,7.5,0,0,0,0.2,0.2,0.15,0.8,0.8,Matches
Sergio Arribas,es ESP,FW,21-185,0.1,0,1,0,0.0,9.0,0.0,0.0,,16.3,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
Casemiro,br BRA,MF,31-039,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.1,26.0,50,438,140,32.0,16.85,5.38,0.1,0.31,19.1,21,7,10,52.2,44.4,0.1,-2.2,-1.4,
Opponent Total,,,28.3,26.0,20,273,81,29.7,10.5,3.12,0.06,0.2,18.9,5,4,4,23.6,20.4,0.08,-3.6,-4.4,
