Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Álex Remiro,es ESP,GK,27-360,25,2250.0,90.0,100.0,25.0,25,90.0,25,0,,0,1.8,33.0,24.0,9.0,0.36,,31.9,21.8,10.1,0.4,,Matches
Martín Zubimendi,es ESP,MF,24-045,24,2051.0,85.0,91.2,22.8,23,88.0,22,1,26.0,0,1.75,30.0,24.0,6.0,0.26,-1.09,28.4,20.4,8.0,0.35,-0.62,Matches
Brais Méndez,es ESP,MF,26-071,24,1825.0,76.0,81.1,20.3,22,79.0,9,2,45.0,0,1.75,31.0,20.0,11.0,0.54,0.97,25.7,16.8,8.9,0.44,0.19,Matches
Robin Le Normand,fr FRA,DF,26-128,22,1806.0,82.0,80.3,20.1,20,89.0,19,2,13.0,0,1.77,23.0,16.0,7.0,0.35,-0.06,24.2,17.2,7.0,0.35,-0.27,Matches
Takefusa Kubo,jp JPN,"FW,MF",21-288,22,1592.0,72.0,70.8,17.7,19,78.0,4,3,37.0,2,1.86,27.0,16.0,11.0,0.62,0.9,21.3,14.2,7.1,0.4,-0.01,Matches
Alexander Sørloth,no NOR,FW,27-104,21,1592.0,76.0,70.8,17.7,19,81.0,7,2,29.0,0,1.86,27.0,14.0,13.0,0.73,1.28,23.0,13.7,9.3,0.53,0.41,Matches
Igor Zubeldia,es ESP,DF,25-354,20,1617.0,81.0,71.9,18.0,18,87.0,16,2,24.0,4,1.75,21.0,16.0,5.0,0.28,-0.29,23.2,14.8,8.5,0.47,0.23,Matches
Mikel Merino,es ESP,MF,26-270,21,1602.0,76.0,71.2,17.8,18,84.0,11,3,31.0,0,1.81,24.0,21.0,3.0,0.17,-0.66,23.2,15.8,7.5,0.42,0.05,Matches
Diego Rico,es ESP,DF,30-024,18,1466.0,81.0,65.2,16.3,16,85.0,13,2,54.0,3,1.78,21.0,12.0,9.0,0.55,0.55,20.2,13.3,6.9,0.42,0.06,Matches
David Silva,es ESP,MF,37-070,18,1225.0,68.0,54.4,13.6,16,72.0,0,2,38.0,1,2.17,27.0,14.0,13.0,0.96,1.31,19.5,9.6,9.9,0.73,0.71,Matches
Aritz Elustondo,es ESP,DF,28-356,16,1028.0,64.0,45.7,11.4,12,78.0,6,4,23.0,2,2.25,20.0,10.0,10.0,0.88,0.95,15.6,9.3,6.3,0.55,0.27,Matches
Andoni Gorosabel,es ESP,DF,26-227,15,908.0,61.0,40.4,10.1,10,80.0,4,5,21.0,4,1.67,10.0,11.0,-1.0,-0.1,-0.77,12.9,9.4,3.5,0.35,-0.09,Matches
Aihen Muñoz,es ESP,DF,25-215,12,784.0,65.0,34.8,8.7,9,78.0,7,3,27.0,8,1.67,12.0,12.0,0.0,0.0,-0.55,11.7,8.5,3.2,0.37,-0.06,Matches
Jon Pacheco,es ESP,DF,22-070,10,768.0,77.0,34.1,8.5,8,90.0,8,2,24.0,10,2.0,13.0,10.0,3.0,0.35,-0.01,11.2,8.0,3.2,0.38,-0.05,Matches
Asier Illarramendi,es ESP,MF,33-011,15,663.0,44.0,29.5,7.4,8,71.0,2,7,13.0,10,2.0,10.0,4.0,6.0,0.81,0.64,8.1,6.1,1.9,0.26,-0.2,Matches
Mikel Oyarzabal,es ESP,"FW,MF",25-332,11,573.0,52.0,25.5,6.4,6,76.0,2,5,24.0,0,1.73,6.0,4.0,2.0,0.31,-0.06,7.6,5.9,1.7,0.27,-0.18,Matches
Carlos Fernández,es ESP,FW,26-301,15,408.0,27.0,18.1,4.5,6,51.0,0,9,11.0,2,1.53,2.0,5.0,-3.0,-0.66,-1.25,3.6,4.4,-0.7,-0.15,-0.68,Matches
Ander Barrenetxea,es ESP,"DF,FW",21-082,10,404.0,40.0,18.0,4.5,5,65.0,0,5,15.0,5,2.0,6.0,2.0,4.0,0.89,0.65,6.0,4.0,2.0,0.45,0.06,Matches
Mohamed Ali Cho,fr FRA,FW,19-059,10,348.0,35.0,15.5,3.9,3,68.0,0,7,21.0,1,1.8,5.0,4.0,1.0,0.26,-0.12,6.0,3.0,2.9,0.76,0.42,Matches
Pablo Marín,es ESP,MF,19-259,9,342.0,38.0,15.2,3.8,3,74.0,0,6,20.0,4,1.56,2.0,3.0,-1.0,-0.26,-0.73,6.3,2.9,3.3,0.88,0.56,Matches
Alex Sola,es ESP,DF,23-283,9,342.0,38.0,15.2,3.8,3,77.0,1,6,19.0,4,1.67,7.0,5.0,2.0,0.53,0.2,5.2,3.2,2.0,0.53,0.15,Matches
Alexander Isak,se SWE,FW,23-179,2,152.0,76.0,6.8,1.7,2,76.0,0,0,,0,1.5,2.0,3.0,-1.0,-0.59,-1.02,1.7,2.0,-0.2,-0.14,-0.59,Matches
Roberto Navarro,es ESP,"MF,FW",20-341,16,342.0,21.0,15.2,3.8,1,61.0,0,15,19.0,9,2.0,0.0,6.0,-6.0,-1.58,-2.29,5.6,5.0,0.6,0.16,-0.29,Matches
Ander Guevara,es ESP,MF,25-255,5,135.0,27.0,6.0,1.5,1,64.0,0,4,18.0,13,2.6,2.0,0.0,2.0,1.33,1.04,2.8,1.2,1.6,1.05,0.69,Matches
Beñat Turrientes,es ESP,"MF,FW",21-047,6,106.0,18.0,4.7,1.2,1,45.0,0,5,12.0,15,1.5,1.0,2.0,-1.0,-0.85,-1.27,0.9,2.3,-1.4,-1.17,-1.65,Matches
Umar Sadiq,ng NGA,FW,26-045,2,82.0,41.0,3.6,0.9,1,37.0,0,1,45.0,0,0.5,1.0,0.0,1.0,1.1,0.77,0.7,1.7,-1.0,-1.08,-1.54,Matches
Jon Karrikaburu,es ESP,FW,20-181,6,93.0,16.0,4.1,1.0,0,,0,6,16.0,11,1.0,0.0,3.0,-3.0,-2.9,-3.4,1.5,1.8,-0.3,-0.31,-0.75,Matches
Jon Magunacelaya,es ESP,"MF,FW",22-249,2,65.0,33.0,2.9,0.7,0,,0,2,33.0,2,0.5,0.0,2.0,-2.0,-2.77,-3.22,0.5,1.5,-1.0,-1.38,-1.84,Matches
Olasagasti,es ESP,"MF,DF",22-215,3,65.0,22.0,2.9,0.7,0,,0,3,22.0,2,1.33,0.0,0.0,0.0,0.0,-0.37,0.8,1.0,-0.2,-0.31,-0.74,Matches
Ander Martin,es ESP,"MF,FW",22-123,3,41.0,14.0,1.8,0.5,0,,0,3,14.0,7,3.0,0.0,0.0,0.0,0.0,-0.37,1.0,0.5,0.5,1.11,0.72,Matches
Egoitz Arana,es ESP,GK,21-028,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Jonathan Gomez,us USA,DF,19-199,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Urko González,es ESP,DF,21-364,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches
Unai Marrero,es ESP,GK,21-161,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
Andoni Zubiaurre,es ESP,GK,26-105,0,,,,,0,,0,0,,24,,,,,,,,,,,,Matches
Squad Total,,,26.5,25,2250.0,90.0,100.0,25.0,275,81.0,156,117,21.0,173,1.8,33.0,24.0,9.0,0.36,,31.9,21.8,10.1,0.4,,
Opponent Total,,,28.1,25,2250.0,90.0,100.0,25.0,275,81.0,156,117,21.0,165,0.96,24.0,33.0,-9.0,-0.36,,21.8,31.9,-10.1,-0.4,,
