Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Álex Remiro,es ESP,GK,28-010,26.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Martín Zubimendi,es ESP,MF,24-060,23.8,1,7,2,28.6,0.29,0.08,0.14,0.5,20.1,0,0,0,0.7,0.7,0.09,0.3,0.3,Matches
Brais Méndez,es ESP,MF,26-086,21.3,7,47,16,34.0,2.21,0.75,0.15,0.44,21.0,7,0,0,4.5,4.5,0.1,2.5,2.5,Matches
Robin Le Normand,fr FRA,DF,26-143,21.1,0,7,2,28.6,0.33,0.09,0.0,0.0,14.3,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
Takefusa Kubo,jp JPN,"FW,MF",21-303,18.6,5,49,22,44.9,2.64,1.19,0.1,0.23,18.7,3,0,0,3.3,3.3,0.07,1.7,1.7,Matches
Alexander Sørloth,no NOR,FW,27-119,18.4,9,42,20,47.6,2.28,1.09,0.21,0.45,12.0,0,0,0,8.7,8.7,0.21,0.3,0.3,Matches
Igor Zubeldia,es ESP,DF,26-004,19.0,1,5,1,20.0,0.26,0.05,0.2,1.0,16.3,0,0,0,0.6,0.6,0.11,0.4,0.4,Matches
Mikel Merino,es ESP,MF,26-285,17.8,1,31,12,38.7,1.74,0.67,0.03,0.08,18.1,0,0,1,3.1,2.3,0.07,-2.1,-1.3,Matches
David Silva,es ESP,MF,37-085,14.5,1,18,8,44.4,1.24,0.55,0.06,0.13,14.6,1,0,0,2.2,2.2,0.12,-1.2,-1.2,Matches
Diego Rico,es ESP,DF,30-039,16.3,0,7,2,28.6,0.43,0.12,0.0,0.0,29.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Aritz Elustondo,es ESP,DF,29-006,11.4,0,6,0,0.0,0.53,0.0,0.0,,16.6,0,0,0,0.6,0.6,0.1,-0.6,-0.6,Matches
Andoni Gorosabel,es ESP,DF,26-242,11.1,0,7,0,0.0,0.63,0.0,0.0,,22.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Aihen Muñoz,es ESP,DF,25-230,9.7,0,4,1,25.0,0.41,0.1,0.0,0.0,27.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Asier Illarramendi,es ESP,MF,33-026,8.3,1,9,3,33.3,1.09,0.36,0.11,0.33,19.8,0,0,0,0.8,0.8,0.08,0.2,0.2,Matches
Jon Pacheco,es ESP,DF,22-085,8.5,0,1,0,0.0,0.12,0.0,0.0,,9.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Mikel Oyarzabal,es ESP,"FW,MF",25-347,6.7,2,11,6,54.5,1.65,0.9,0.09,0.17,17.5,0,1,1,2.4,1.6,0.14,-0.4,-0.6,Matches
