Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Yassine Bounou,ma MAR,GK,32-001,22.9,981.0,742.0,966.0,16.0,0.0,0.0,981.0,1.0,1.0,100.0,0.0,0.0,581.0,2622.0,1335.0,0.0,0.0,0.0,4.0,0.0,548.0,0.0,Matches
Nemanja Gudelj,rs SRB,"DF,MF",31-141,22.8,1507.0,167.0,660.0,712.0,138.0,12.0,1507.0,2.0,1.0,50.0,1.0,50.0,890.0,4644.0,2782.0,24.0,32.0,0.0,12.0,1.0,1049.0,5.0,Matches
Óliver Torres,es ESP,"MF,FW",28-147,18.8,1068.0,7.0,127.0,508.0,446.0,45.0,1068.0,34.0,10.0,29.4,15.0,44.1,734.0,3263.0,1357.0,25.0,34.0,5.0,25.0,38.0,809.0,130.0,Matches
Joan Jordán,es ESP,MF,28-274,16.6,1173.0,28.0,238.0,707.0,232.0,8.0,1173.0,10.0,5.0,50.0,4.0,40.0,658.0,2575.0,1075.0,9.0,19.0,0.0,15.0,5.0,868.0,22.0,Matches
Jesús Navas,es ESP,"DF,FW",37-136,16.4,1163.0,35.0,250.0,397.0,523.0,24.0,1163.0,16.0,8.0,50.0,6.0,37.5,689.0,3686.0,1641.0,35.0,27.0,7.0,15.0,7.0,782.0,186.0,Matches
Marcos Acuña,ar ARG,DF,31-160,15.7,1159.0,55.0,327.0,508.0,334.0,20.0,1159.0,39.0,13.0,33.3,21.0,53.8,630.0,2928.0,1454.0,32.0,24.0,4.0,23.0,18.0,698.0,64.0,Matches
Ivan Rakitić,hr CRO,MF,35-027,14.0,1032.0,19.0,151.0,546.0,340.0,28.0,1030.0,7.0,1.0,14.3,4.0,57.1,640.0,2702.0,1473.0,35.0,28.0,2.0,16.0,11.0,756.0,74.0,Matches
Tanguy Nianzou,fr FRA,DF,20-303,13.7,843.0,65.0,346.0,472.0,32.0,9.0,843.0,12.0,10.0,83.3,2.0,16.7,526.0,2292.0,1311.0,4.0,6.0,0.0,4.0,3.0,605.0,0.0,Matches
Fernando,br BRA,"MF,DF",35-255,12.7,823.0,67.0,304.0,413.0,110.0,3.0,823.0,3.0,2.0,66.7,0.0,0.0,487.0,2047.0,903.0,5.0,15.0,0.0,10.0,10.0,551.0,10.0,Matches
Érik Lamela,ar ARG,"FW,MF",31-033,14.7,747.0,2.0,63.0,276.0,415.0,76.0,747.0,52.0,20.0,38.5,26.0,50.0,487.0,3060.0,1430.0,53.0,43.0,22.0,38.0,29.0,564.0,122.0,Matches
Youssef En-Nesyri,ma MAR,FW,25-309,12.7,323.0,13.0,34.0,136.0,154.0,77.0,323.0,15.0,3.0,20.0,11.0,73.3,138.0,644.0,260.0,10.0,3.0,11.0,33.0,4.0,200.0,55.0,Matches
Gonzalo Montiel,ar ARG,DF,26-095,10.8,684.0,28.0,185.0,282.0,224.0,25.0,684.0,15.0,5.0,33.3,10.0,66.7,364.0,1765.0,1066.0,23.0,16.0,3.0,16.0,7.0,412.0,71.0,Matches
Alex Telles,br BRA,DF,30-112,11.1,637.0,36.0,208.0,242.0,192.0,10.0,637.0,19.0,10.0,52.6,8.0,42.1,305.0,1505.0,740.0,18.0,9.0,3.0,5.0,0.0,357.0,67.0,Matches
Rafa Mir,es ESP,FW,25-292,9.0,241.0,9.0,25.0,100.0,117.0,44.0,241.0,9.0,0.0,0.0,8.0,88.9,113.0,492.0,190.0,10.0,2.0,7.0,17.0,7.0,167.0,39.0,Matches
Isco,es ESP,"MF,FW",30-350,8.9,509.0,9.0,70.0,275.0,172.0,20.0,509.0,29.0,11.0,37.9,9.0,31.0,339.0,2050.0,818.0,16.0,23.0,1.0,21.0,22.0,387.0,36.0,Matches
