Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Giorgi Mamardashvili,ge GEO,GK,22-189,27,27,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Samuel,br BRA,"FW,MF",23-104,27,25,2167.0,24.1,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,5.5,5.4,1.3,6.8,99.0,73.0,190.0,0.08,0.04,0.12,0.08,0.12,0.23,0.06,0.28,0.23,0.28,Matches
José Luis Gayà,es ESP,DF,27-316,21,21,1810.0,20.1,1.0,2.0,3.0,1.0,0.0,1.0,4.0,0.0,1.7,0.9,4.7,5.5,51.0,88.0,134.0,0.05,0.1,0.15,0.05,0.15,0.08,0.23,0.31,0.04,0.28,Matches
Yunus Musah,us USA,MF,20-128,24,21,1737.0,19.3,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,1.6,1.6,1.5,3.1,58.0,85.0,75.0,0.0,0.1,0.1,0.0,0.1,0.08,0.08,0.16,0.08,0.16,Matches
Domingos André Ribeiro Almeida,pt POR,MF,22-311,24,19,1681.0,18.7,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,0.7,0.7,2.2,2.8,47.0,128.0,49.0,0.11,0.16,0.27,0.11,0.27,0.04,0.12,0.15,0.04,0.15,Matches
Thierry Correia,pt POR,"DF,FW",24-028,21,19,1632.0,18.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.5,0.8,51.0,83.0,105.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches
Hugo Guillamón,es ESP,MF,23-065,23,19,1583.0,17.6,1.0,4.0,5.0,0.0,1.0,1.0,5.0,0.0,1.1,0.3,1.6,1.9,11.0,97.0,20.0,0.06,0.23,0.28,0.0,0.23,0.06,0.09,0.15,0.02,0.11,Matches
Mouctar Diakhaby,gn GUI,DF,26-108,19,18,1547.0,17.2,2.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,2.3,2.3,0.2,2.5,9.0,51.0,5.0,0.12,0.0,0.12,0.12,0.12,0.13,0.01,0.14,0.13,0.14,Matches
Eray Cömert,ch SUI,DF,25-061,20,17,1526.0,17.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.5,0.5,0.1,0.5,5.0,50.0,0.0,0.06,0.0,0.06,0.06,0.06,0.03,0.0,0.03,0.03,0.03,Matches
Samu Castillejo,es ESP,FW,28-078,21,15,1151.0,12.8,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,2.4,2.4,2.3,4.7,43.0,56.0,91.0,0.23,0.0,0.23,0.23,0.23,0.19,0.18,0.37,0.19,0.37,Matches
