Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Javi Sánchez,es ESP,DF,26-020,19.7,734,893,82.2,14751,5185,242,271,89.3,380,415,91.6,100,175,57.1,0,0.1,0.4,-0.1,3,40,2,0,56,Matches
Óscar Plano,es ESP,"FW,MF",32-051,19.3,405,548,73.9,6144,1635,213,276,77.2,138,169,81.7,28,45,62.2,1,1.4,1.4,-0.4,14,45,17,4,60,Matches
Kike Pérez,es ESP,MF,26-048,17.9,679,901,75.4,12507,3558,309,373,82.8,257,308,83.4,96,155,61.9,2,1.2,1.6,0.8,20,77,14,4,104,Matches
Jordi Masip,es ESP,GK,34-090,16.9,448,622,72.0,12588,9022,59,59,100.0,242,244,99.2,143,313,45.7,0,0.0,0.0,0.0,0,7,0,0,0,Matches
Joaquín Fernández,es ESP,DF,26-307,16.8,581,705,82.4,12206,4805,166,180,92.2,317,358,88.5,88,141,62.4,0,0.1,0.1,-0.1,2,35,3,0,31,Matches
Gonzalo Plata,ec ECU,"FW,MF",22-153,15.7,367,487,75.4,4604,930,239,281,85.1,96,124,77.4,9,25,36.0,4,1.6,1.5,2.4,18,15,9,2,27,Matches
Monchu,es ESP,MF,23-202,14.4,563,713,79.0,10948,3078,245,272,90.1,213,258,82.6,93,156,59.6,1,1.5,1.4,-0.5,19,63,4,2,63,Matches
Roque Mesa,es ESP,MF,33-300,13.7,568,692,82.1,11054,3306,221,257,86.0,239,269,88.8,88,128,68.8,1,0.9,0.8,0.1,16,74,13,3,91,Matches
Álvaro Aguado,es ESP,MF,26-337,14.4,641,777,82.5,12972,3620,248,279,88.9,253,291,86.9,122,173,70.5,2,1.5,1.5,0.5,24,72,9,1,94,Matches
Lucas Olaza,uy URU,DF,28-256,13.6,510,676,75.4,8675,3648,233,266,87.6,219,267,82.0,45,98,45.9,1,0.9,1.0,0.1,14,26,15,7,51,Matches
Iván Sánchez,es ESP,"MF,FW",30-192,11.5,340,422,80.6,5617,1595,156,181,86.2,143,161,88.8,26,44,59.1,0,1.4,1.4,-1.4,13,30,13,7,54,Matches
Sergio León,es ESP,FW,34-087,11.6,107,162,66.0,1617,269,58,74,78.4,34,50,68.0,6,14,42.9,1,0.8,0.4,0.2,10,4,4,1,15,Matches
Sergio Escudero,es ESP,DF,33-213,10.6,353,486,72.6,5926,2331,179,197,90.9,129,163,79.1,35,88,39.8,0,0.5,0.5,-0.5,9,17,9,4,25,Matches
Jawad El Yamiq,ma MAR,DF,31-033,10.7,444,535,83.0,8907,3220,170,190,89.5,202,227,89.0,65,98,66.3,0,0.1,0.3,-0.1,2,25,1,0,25,Matches
Iván Fresneda,es ESP,DF,18-187,11.2,461,589,78.3,7335,2287,240,280,85.7,174,213,81.7,35,61,57.4,0,0.8,0.6,-0.8,11,33,8,5,41,Matches
Luis Pérez,es ESP,DF,28-058,9.8,337,440,76.6,5205,1835,189,207,91.3,112,150,74.7,24,44,54.5,1,0.5,0.5,0.5,6,22,9,9,31,Matches
Sergio Asenjo,es ESP,GK,33-279,9.0,206,315,65.4,6482,4621,28,28,100.0,97,101,96.0,79,181,43.6,0,0.0,0.0,0.0,0,4,0,0,0,Matches
Sergi Guardiola,es ESP,FW,31-309,5.6,74,117,63.2,948,149,47,65,72.3,18,26,69.2,3,5,60.0,0,0.1,0.2,-0.1,2,1,1,1,3,Matches
Lucas Oliveira Rosa,br BRA,DF,23-000,6.4,177,246,72.0,2629,901,101,113,89.4,61,86,70.9,9,25,36.0,0,0.5,0.4,-0.5,4,3,3,1,11,Matches
Shon Weissman,il ISR,FW,27-048,8.3,70,91,76.9,749,113,52,61,85.2,12,16,75.0,1,3,33.3,0,0.2,0.4,-0.2,3,3,0,0,4,Matches
Cyle Larin,ca CAN,FW,27-351,5.7,49,76,64.5,657,110,24,37,64.9,13,17,76.5,4,5,80.0,0,0.4,0.1,-0.4,4,3,2,0,7,Matches
Martin Hongla,cm CMR,"DF,MF",25-018,5.4,157,209,75.1,3313,1007,46,55,83.6,76,85,89.4,28,55,50.9,0,0.0,0.0,0.0,0,10,0,0,10,Matches
Zouhair Feddal,ma MAR,DF,34-092,4.2,159,201,79.1,3405,1439,44,49,89.8,83,96,86.5,26,48,54.2,0,0.1,0.0,-0.1,2,6,1,0,5,Matches
Darwin Machís,ve VEN,FW,30-055,4.1,89,127,70.1,1670,444,43,51,84.3,29,34,85.3,15,32,46.9,1,1.9,1.4,-0.9,7,3,8,8,6,Matches
Anuar,ma MAR,"MF,FW",28-078,2.3,30,40,75.0,363,114,18,23,78.3,9,10,90.0,0,0,,0,0.4,0.0,-0.4,4,3,0,0,3,Matches
Juanjo Narváez,co COL,"MF,FW",28-050,1.6,25,36,69.4,270,31,18,22,81.8,5,7,71.4,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
David Torres,es ESP,DF,20-029,1.1,59,78,75.6,962,239,28,31,90.3,28,32,87.5,3,8,37.5,0,0.0,0.0,0.0,1,5,0,0,4,Matches
Toni Villa,es ESP,MF,28-086,1.0,20,32,62.5,258,109,13,16,81.3,5,8,62.5,1,3,33.3,0,0.0,0.0,0.0,1,2,0,0,4,Matches
Kenedy,br BRA,"FW,MF",27-054,0.9,15,25,60.0,156,47,11,14,78.6,3,6,50.0,0,3,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Mickael Malsa,mq MTQ,MF,27-173,0.8,13,20,65.0,156,92,7,9,77.8,5,8,62.5,0,0,,0,0.0,0.0,0.0,0,3,0,0,5,Matches
Selim Amallah,ma MAR,MF,26-139,0.6,18,24,75.0,309,81,9,11,81.8,5,7,71.4,3,3,100.0,0,0.0,0.0,0.0,0,3,1,0,4,Matches
Sékou Gassama,sn SEN,FW,27-332,0.4,7,9,77.8,87,0,5,7,71.4,2,2,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
Manuel Pozo,es ESP,FW,21-112,0.2,6,8,75.0,89,38,3,4,75.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0.0,1,1,0,0,1,Matches
Roberto Arroyo,es ESP,MF,19-221,0.2,0,5,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Álvaro Aceves,es ESP,GK,19-251,0.1,7,8,87.5,151,113,2,2,100.0,4,4,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,28.5,26.0,8719,11315,77.1,163710,59972,3666,4241,86.4,3604,4214,85.5,1177,2134,55.2,15,17.2,15.9,-2.2,211,636,146,59,835,
Opponent Total,,,28.1,26.0,9499,12119,78.4,166533,66139,4578,5230,87.5,3583,4254,84.2,1051,1928,54.5,25,29.5,28.7,-4.5,307,823,241,67,1055,
