Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Javi Sánchez,es ESP,DF,26-023,19.7,1108,173,654,430,34,13,1108,6,6,100.0,0,0.0,629,3471,2179,17,7,1,6,4,706,4,Matches
Óscar Plano,es ESP,"FW,MF",32-054,19.8,786,26,141,365,288,39,786,25,12,48.0,10,40.0,442,2147,859,25,27,3,35,22,510,85,Matches
Kike Pérez,es ESP,MF,26-051,18.4,1143,37,251,628,292,38,1143,50,23,46.0,19,38.0,674,4111,2146,42,26,8,35,22,751,53,Matches
Joaquín Fernández,es ESP,DF,26-310,17.8,912,140,538,353,21,13,912,1,1,100.0,0,0.0,504,2476,1305,6,4,0,5,1,575,1,Matches
Jordi Masip,es ESP,GK,34-093,16.9,666,623,666,0,0,0,666,0,0,,0,,351,1760,1091,0,0,0,0,0,289,0,Matches
Gonzalo Plata,ec ECU,"FW,MF",22-156,16.5,784,9,127,289,383,67,784,110,38,34.5,58,52.7,465,3579,1611,61,41,30,42,28,507,144,Matches
Monchu,es ESP,MF,23-205,15.4,908,38,240,485,188,15,908,13,6,46.2,6,46.2,456,2009,907,11,15,3,22,12,524,20,Matches
Roque Mesa,es ESP,MF,33-303,14.2,852,43,219,505,140,8,852,23,12,52.2,9,39.1,563,3484,1630,25,19,3,19,18,591,23,Matches
Álvaro Aguado,es ESP,MF,26-340,14.9,907,21,194,508,218,11,907,20,9,45.0,5,25.0,586,3886,1736,21,32,1,16,4,639,30,Matches
Lucas Olaza,uy URU,DF,28-259,13.6,788,42,219,332,241,7,788,11,4,36.4,7,63.6,361,1253,624,11,15,1,13,6,410,82,Matches
Sergio León,es ESP,FW,34-090,12.6,287,5,23,138,133,35,285,20,5,25.0,13,65.0,173,901,429,16,11,5,36,15,206,64,Matches
