Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Daniel Parejo,es ESP,MF,33-355,26.5,83,3.13,60,21,1,0,1,0,8,0.3,6,2,0,0,0,0,Matches
Pau Torres,es ESP,DF,26-080,23.9,32,1.34,26,0,0,4,2,0,1,0.04,0,0,0,0,1,0,Matches
Raúl Albiol,es ESP,DF,37-214,22.4,12,0.54,12,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Yeremi Pino,es ESP,"MF,FW",20-168,18.3,48,2.62,37,1,2,6,2,0,4,0.22,4,0,0,0,0,0,Matches
Samuel Chukwueze,ng NGA,"FW,MF",23-319,17.4,68,3.91,47,2,15,1,2,1,12,0.69,7,0,4,0,1,0,Matches
Étienne Capoue,fr FRA,MF,34-269,16.3,30,1.84,23,1,1,2,2,1,2,0.12,1,0,0,1,0,0,Matches
Juan Foyth,ar ARG,DF,25-084,14.0,19,1.36,19,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
Gerónimo Rulli,ar ARG,GK,30-321,14.0,1,0.07,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alex Baena,es ESP,"MF,FW",21-260,15.3,55,3.59,40,0,6,5,4,0,4,0.26,2,0,0,1,1,0,Matches
Gerard Moreno,es ESP,FW,30-364,11.9,35,2.95,28,0,3,4,0,0,4,0.34,3,0,0,1,0,0,Matches
Alfonso Pedraza,es ESP,DF,26-362,11.8,28,2.36,19,0,5,3,0,1,4,0.34,3,0,1,0,0,0,Matches
Pepe Reina,es ESP,GK,40-218,12.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kiko Femenía,es ESP,DF,32-063,10.0,17,1.7,16,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Alberto Moreno,es ESP,DF,30-275,9.6,17,1.77,15,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
José Luis Morales,es ESP,"FW,MF",35-257,12.0,24,2.01,16,0,4,3,1,0,3,0.25,2,0,0,1,0,0,Matches
Francis Coquelin,fr FRA,MF,31-328,8.3,9,1.09,8,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Nicolas Jackson,sn SEN,FW,21-290,9.1,20,2.19,13,1,2,3,1,0,5,0.55,2,0,2,1,0,0,Matches
Giovani Lo Celso,ar ARG,"MF,FW",26-362,6.4,16,2.49,11,0,0,4,1,0,0,0.0,0,0,0,0,0,0,Matches
Aïssa Mandi,dz ALG,DF,31-166,6.4,3,0.47,3,0,0,0,0,0,2,0.31,2,0,0,0,0,0,Matches
Manu Trigueros,es ESP,MF,31-171,6.3,9,1.44,8,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Arnaut Danjuma,nl NED,FW,26-065,5.3,13,2.44,7,0,1,1,3,1,0,0.0,0,0,0,0,0,0,Matches
Johan Mojica,co COL,DF,30-228,6.8,13,1.91,11,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ramón Terrats,es ESP,MF,22-170,4.1,12,2.96,7,1,1,0,2,1,1,0.25,1,0,0,0,0,0,Matches
Jorge Cuenca,es ESP,DF,23-140,4.0,4,0.99,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Manu Morlanes,es ESP,MF,24-084,1.8,2,1.14,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Filip Jörgensen,dk DEN,GK,20-355,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mamadou Fall,sn SEN,DF,20-136,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Haissem Hassan,fr FRA,MF,21-057,0.3,1,3.75,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Fernando Niño,es ESP,"MF,FW",22-164,0.2,1,4.09,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Diego Collado,es ESP,FW,22-087,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alberto Del Moral,es ESP,MF,22-260,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,29.5,27.0,572,21.19,434,31,41,37,23,6,51,1.89,34,2,7,5,3,0,
Opponent Total,,,28.0,27.0,563,20.85,415,46,25,36,27,14,42,1.56,29,4,2,4,2,1,
