Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Daniel Parejo,es ESP,MF,33-355,26.5,1567,1836,85.3,28897,9579,683,727,93.9,656,728,90.1,194,307,63.2,3,3.6,4.2,-0.6,38,213,26,3,178,Matches
Pau Torres,es ESP,DF,26-080,23.9,1270,1488,85.3,25950,8642,408,444,91.9,665,727,91.5,183,279,65.6,0,0.7,0.7,-0.7,11,130,7,1,137,Matches
Raúl Albiol,es ESP,DF,37-214,22.4,1241,1400,88.6,26795,10162,304,331,91.8,718,769,93.4,209,278,75.2,0,0.0,0.4,0.0,2,93,5,0,92,Matches
Yeremi Pino,es ESP,"MF,FW",20-168,18.3,426,568,75.0,5930,1013,269,308,87.3,122,159,76.7,21,36,58.3,4,3.7,3.3,0.3,27,9,14,2,37,Matches
Samuel Chukwueze,ng NGA,"FW,MF",23-319,17.4,460,608,75.7,7120,1449,266,309,86.1,147,188,78.2,38,59,64.4,5,3.2,2.8,1.8,30,16,31,7,49,Matches
Étienne Capoue,fr FRA,MF,34-269,16.3,669,767,87.2,10560,2473,336,371,90.6,279,305,91.5,32,54,59.3,0,0.6,0.6,-0.6,5,85,5,0,70,Matches
Juan Foyth,ar ARG,DF,25-084,14.0,726,834,87.1,12200,4586,357,389,91.8,304,332,91.6,57,88,64.8,0,1.2,0.9,-1.2,10,63,7,1,70,Matches
Gerónimo Rulli,ar ARG,GK,30-321,14.0,464,543,85.5,11876,7752,82,83,98.8,270,271,99.6,109,184,59.2,0,0.0,0.0,0.0,0,6,0,0,0,Matches
Alex Baena,es ESP,"MF,FW",21-260,15.3,415,530,78.3,6692,1998,211,237,89.0,154,189,81.5,36,56,64.3,1,4.5,2.6,-3.5,25,49,28,1,79,Matches
Gerard Moreno,es ESP,FW,30-364,11.9,275,383,71.8,4465,1112,134,175,76.6,105,137,76.6,27,32,84.4,2,2.0,1.1,0.0,16,26,15,1,51,Matches
Alfonso Pedraza,es ESP,DF,26-362,11.8,398,513,77.6,5961,1581,224,243,92.2,146,184,79.3,17,42,40.5,2,1.2,0.7,0.8,10,18,12,4,23,Matches
Pepe Reina,es ESP,GK,40-218,12.0,374,464,80.6,8647,5797,78,81,96.3,224,225,99.6,72,158,45.6,0,0.0,0.0,0.0,0,3,0,0,0,Matches
Kiko Femenía,es ESP,DF,32-063,10.0,511,602,84.9,8120,2285,258,278,92.8,213,241,88.4,28,55,50.9,0,0.6,0.4,-0.6,7,34,9,4,45,Matches
Alberto Moreno,es ESP,DF,30-275,9.6,408,502,81.3,6676,1863,195,215,90.7,185,209,88.5,18,42,42.9,0,0.9,0.9,-0.9,9,10,17,4,28,Matches
José Luis Morales,es ESP,"FW,MF",35-257,12.0,155,227,68.3,2040,398,105,134,78.4,36,54,66.7,7,10,70.0,0,1.0,0.8,-1.0,7,4,7,2,11,Matches
Francis Coquelin,fr FRA,MF,31-328,8.3,265,311,85.2,3778,803,152,167,91.0,80,88,90.9,14,20,70.0,0,1.0,1.2,-1.0,6,19,3,1,29,Matches
Nicolas Jackson,sn SEN,FW,21-290,9.1,115,157,73.2,1705,434,66,91,72.5,36,45,80.0,8,9,88.9,2,1.5,0.8,0.5,8,14,9,0,26,Matches
Giovani Lo Celso,ar ARG,"MF,FW",26-362,6.4,257,309,83.2,3981,1116,138,154,89.6,92,108,85.2,19,25,76.0,0,0.2,0.4,-0.2,4,22,10,0,45,Matches
Aïssa Mandi,dz ALG,DF,31-166,6.4,314,349,90.0,5918,1995,108,117,92.3,166,178,93.3,32,38,84.2,0,0.0,0.1,0.0,1,14,1,0,17,Matches
Manu Trigueros,es ESP,MF,31-171,6.3,305,348,87.6,4361,1071,177,193,91.7,106,121,87.6,10,17,58.8,0,0.4,0.4,-0.4,6,33,7,0,48,Matches
