Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Daniel Parejo,es ESP,MF,33-337,25,2205.0,88.0,98.0,24.5,25,88.0,21,0,,0,1.52,29.0,24.0,5.0,0.2,0.2,34.4,30.5,3.9,0.16,-0.79,Matches
Pau Torres,es ESP,DF,26-062,22,1980.0,90.0,88.0,22.0,22,90.0,22,0,,1,1.59,27.0,20.0,7.0,0.32,0.98,32.2,25.7,6.5,0.29,0.99,Matches
Raúl Albiol,es ESP,DF,37-196,22,1969.0,90.0,87.5,21.9,22,90.0,21,0,,1,1.55,27.0,22.0,5.0,0.23,0.23,32.1,26.3,5.8,0.27,0.72,Matches
Yeremi Pino,es ESP,"MF,FW",20-150,24,1470.0,61.0,65.3,16.3,19,70.0,3,5,27.0,1,1.54,17.0,19.0,-2.0,-0.12,-0.93,22.7,20.4,2.2,0.14,-0.11,Matches
Étienne Capoue,fr FRA,MF,34-251,19,1464.0,77.0,65.1,16.3,17,83.0,9,2,25.0,0,1.47,18.0,17.0,1.0,0.06,-0.4,22.2,19.3,2.9,0.18,0.0,Matches
Samuel Chukwueze,ng NGA,"FW,MF",23-301,24,1392.0,58.0,61.9,15.5,15,77.0,5,9,26.0,1,1.58,20.0,18.0,2.0,0.13,-0.19,21.9,19.1,2.9,0.18,0.02,Matches
Gerónimo Rulli,ar ARG,GK,30-303,14,1260.0,90.0,56.0,14.0,14,90.0,14,0,,1,1.5,15.0,10.0,5.0,0.36,0.36,17.2,14.6,2.6,0.19,0.03,Matches
Alex Baena,es ESP,"MF,FW",21-242,23,1294.0,56.0,57.5,14.4,12,81.0,6,11,30.0,0,1.61,17.0,13.0,4.0,0.28,0.18,23.4,18.4,5.1,0.35,0.42,Matches
Juan Foyth,ar ARG,DF,25-066,14,1081.0,77.0,48.0,12.0,12,84.0,8,2,36.0,2,1.71,17.0,12.0,5.0,0.42,0.42,17.0,16.4,0.7,0.06,-0.23,Matches
Gerard Moreno,es ESP,FW,30-346,15,1034.0,69.0,46.0,11.5,12,83.0,7,3,14.0,1,2.0,15.0,8.0,7.0,0.61,0.76,18.0,15.3,2.7,0.24,0.12,Matches
Alfonso Pedraza,es ESP,DF,26-344,15,949.0,63.0,42.2,10.5,11,80.0,7,4,18.0,1,1.87,15.0,4.0,11.0,1.04,1.46,16.4,11.1,5.3,0.5,0.56,Matches
Pepe Reina,es ESP,GK,40-200,10,900.0,90.0,40.0,10.0,10,90.0,10,0,,11,1.7,14.0,13.0,1.0,0.1,-0.17,17.1,15.2,1.9,0.19,0.03,Matches
