Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Daniel Parejo,es ESP,MF,33-352,25.5,1,17,5,29.4,0.67,0.2,0.0,0.0,27.3,8,1,1,1.7,0.9,0.05,-0.7,-0.9,Matches
Pau Torres,es ESP,DF,26-077,23.0,0,8,3,37.5,0.35,0.13,0.0,0.0,9.3,0,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches
Raúl Albiol,es ESP,DF,37-211,22.4,0,2,1,50.0,0.09,0.04,0.0,0.0,25.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Yeremi Pino,es ESP,"MF,FW",20-165,17.3,3,28,13,46.4,1.62,0.75,0.11,0.23,13.5,0,0,0,4.3,4.3,0.15,-1.3,-1.3,Matches
Étienne Capoue,fr FRA,MF,34-266,16.3,0,16,6,37.5,0.98,0.37,0.0,0.0,19.8,0,0,0,1.8,1.8,0.12,-1.8,-1.8,Matches
Samuel Chukwueze,ng NGA,"FW,MF",23-316,16.4,4,34,10,29.4,2.07,0.61,0.12,0.4,18.4,0,0,0,3.6,3.6,0.11,0.4,0.4,Matches
Gerónimo Rulli,ar ARG,GK,30-318,14.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Juan Foyth,ar ARG,DF,25-081,13.0,1,7,3,42.9,0.54,0.23,0.14,0.33,12.3,0,0,0,0.6,0.6,0.09,0.4,0.4,Matches
Gerard Moreno,es ESP,FW,30-361,11.9,6,32,13,40.6,2.7,1.1,0.16,0.38,15.3,0,1,2,7.0,5.5,0.18,-1.0,-0.5,Matches
Alex Baena,es ESP,"MF,FW",21-257,14.4,4,40,14,35.0,2.78,0.97,0.1,0.29,23.0,0,0,0,2.1,2.1,0.05,1.9,1.9,Matches
Alfonso Pedraza,es ESP,DF,26-359,11.0,0,19,6,31.6,1.72,0.54,0.0,0.0,17.8,0,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches
Pepe Reina,es ESP,GK,40-215,11.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kiko Femenía,es ESP,DF,32-060,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alberto Moreno,es ESP,DF,30-272,9.4,0,8,1,12.5,0.85,0.11,0.0,0.0,22.0,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Francis Coquelin,fr FRA,MF,31-325,8.3,1,7,1,14.3,0.84,0.12,0.14,1.0,15.5,0,0,0,1.0,1.0,0.14,0.0,0.0,Matches
José Luis Morales,es ESP,"FW,MF",35-254,11.3,6,33,19,57.6,2.92,1.68,0.18,0.32,15.0,0,0,0,5.5,5.5,0.18,0.5,0.5,Matches
Nicolas Jackson,sn SEN,FW,21-287,8.8,2,16,7,43.8,1.82,0.79,0.13,0.29,13.8,0,0,0,2.5,2.5,0.15,-0.5,-0.5,Matches
Giovani Lo Celso,ar ARG,"MF,FW",26-359,6.1,1,14,3,21.4,2.3,0.49,0.07,0.33,20.1,0,0,0,1.4,1.4,0.1,-0.4,-0.4,Matches
Manu Trigueros,es ESP,MF,31-168,6.2,0,5,1,20.0,0.81,0.16,0.0,0.0,21.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Arnaut Danjuma,nl NED,FW,26-062,5.3,2,11,4,36.4,2.07,0.75,0.09,0.25,16.7,0,1,1,2.7,1.9,0.17,-0.7,-0.9,Matches
Johan Mojica,co COL,DF,30-225,6.8,0,1,1,100.0,0.15,0.15,0.0,0.0,20.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Aïssa Mandi,dz ALG,DF,31-163,5.4,0,1,1,100.0,0.19,0.19,0.0,0.0,9.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Jorge Cuenca,es ESP,DF,23-137,4.0,0,2,0,0.0,0.51,0.0,0.0,,11.4,0,0,0,0.2,0.2,0.13,-0.2,-0.2,Matches
Ramón Terrats,es ESP,MF,22-167,3.4,0,8,2,25.0,2.37,0.59,0.0,0.0,25.2,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Manu Morlanes,es ESP,MF,24-081,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Filip Jörgensen,dk DEN,GK,20-352,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mamadou Fall,sn SEN,DF,20-133,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Haissem Hassan,fr FRA,MF,21-054,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Fernando Niño,es ESP,"MF,FW",22-161,0.2,0,1,0,0.0,4.09,0.0,0.0,,11.9,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Diego Collado,es ESP,FW,22-084,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alberto Del Moral,es ESP,MF,22-257,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,29.5,26.0,31,310,114,36.8,11.92,4.38,0.09,0.25,18.0,9,3,4,37.0,33.8,0.11,-6.0,-5.8,
Opponent Total,,,28.0,26.0,24,310,96,31.0,11.92,3.69,0.07,0.22,18.2,9,3,3,31.7,29.3,0.1,-7.7,-8.3,
