name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Anthony Lopes,€9.00m,Goalkeeper,"Oct 1, 1990 (32)",Portugal,"1,84m",left,"Jul 1, 2011","Jun 30, 2025"
Rémy Riou,€400k,Goalkeeper,"Aug 6, 1987 (35)",France,"1,91m",right,"Jul 1, 2022","Jun 30, 2024"
Kayne Bonnevie,€200k,Goalkeeper,"Jul 22, 2001 (21)",France,"1,91m",left,"Jul 1, 2022","Jun 30, 2024"
Castello Lukeba,€20.00m,Centre-Back,"Dec 17, 2002 (20)",France,"1,84m",left,"Jul 1, 2021","Jun 30, 2025"
Sinaly Diomandé,€5.00m,Centre-Back,"Apr 9, 2001 (21)",Cote d'Ivoire,"1,84m",right,"Jul 1, 2020","Jun 30, 2025"
Dejan Lovren,€3.50m,Centre-Back,"Jul 5, 1989 (33)",Croatia,"1,88m",right,"Jan 2, 2023","Jun 30, 2025"
Jérôme Boateng,€2.00m,Centre-Back,"Sep 3, 1988 (34)",Germany,"1,92m",right,"Sep 1, 2021","Jun 30, 2023"
Nicolás Tagliafico,€9.00m,Left-Back,"Aug 31, 1992 (30)",Argentina,"1,72m",left,"Jul 23, 2022","Jun 30, 2025"
Henrique Silva,€1.20m,Left-Back,"Apr 25, 1994 (28)",Brazil,"1,73m",left,"Jul 1, 2021","Jun 30, 2024"
Malo Gusto,€15.00m,Right-Back,"May 19, 2003 (19)",France,"1,79m",right,"Jan 30, 2023","Jun 30, 2023"
Saël Kumbedi,€1.00m,Right-Back,"Mar 26, 2005 (17)",France,"1,75m",right,"Aug 31, 2022","Jun 30, 2025"
Johann Lepenant,€10.00m,Defensive Midfield,"Oct 22, 2002 (20)",France,"1,76m",right,"Jul 1, 2022","Jun 30, 2027"
Thiago Mendes,€8.00m,Defensive Midfield,"Mar 15, 1992 (31)",Brazil,"1,77m",right,"Jul 3, 2019","Jun 30, 2025"
Maxence Caqueret,€25.00m,Central Midfield,"Feb 15, 2000 (23)",France,"1,74m",right,"Dec 14, 2018","Jun 30, 2027"
Houssem Aouar,€20.00m,Central Midfield,"Jun 30, 1998 (24)",Algeria,"1,75m",right,"Jul 1, 2017","Jun 30, 2023"
Corentin Tolisso,€14.00m,Central Midfield,"Aug 3, 1994 (28)",France,"1,81m",right,"Jul 1, 2022","Jun 30, 2027"
Mohamed El Arouch,€1.50m,Central Midfield,"Apr 6, 2004 (18)",France,"1,66m",right,"Jul 1, 2022","Jun 30, 2025"
Rayan Cherki,€18.00m,Attacking Midfield,"Aug 17, 2003 (19)",France,"1,76m",both,"Jan 1, 2020","Jun 30, 2024"
Bradley Barcola,€2.00m,Left Winger,"Sep 2, 2002 (20)",France,"1,86m",right,"Jan 7, 2022","Jun 30, 2026"
Jeffinho,€1.50m,Left Winger,"Dec 30, 1999 (23)",Brazil,"1,76m",right,"Jan 31, 2023","Jun 30, 2027"
Moussa Dembélé,€18.00m,Centre-Forward,"Jul 12, 1996 (26)",France,"1,87m",right,"Aug 31, 2018","Jun 30, 2023"
Alexandre Lacazette,€12.00m,Centre-Forward,"May 28, 1991 (31)",France,"1,76m",right,"Jul 1, 2022","Jun 30, 2025"
Amin Sarr,€3.50m,Centre-Forward,"Mar 11, 2001 (22)",Sweden,"1,88m",right,"Jan 30, 2023","Jun 30, 2027"
