name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Justin Bijlow,€13.00m,Goalkeeper,"Jan 22, 1998 (25)",Netherlands,"1,88m",right,"Jul 1, 2016","Jun 30, 2025"
Timon Wellenreuther,€1.00m,Goalkeeper,"Dec 3, 1995 (27)",Germany,"1,88m",right,"Aug 16, 2022","Jun 30, 2023"
Ofir Marciano,€500k,Goalkeeper,"Oct 7, 1989 (33)",Israel,"1,93m",right,"Jul 1, 2021","Jun 30, 2023"
Tein Troost,€100k,Goalkeeper,"Jan 15, 2002 (21)",Netherlands,"1,87m",left,"Jul 1, 2022","Jun 30, 2023"
David Hancko,€20.00m,Centre-Back,"Dec 13, 1997 (25)",Slovakia,"1,88m",left,"Aug 22, 2022","Jun 30, 2026"
Gernot Trauner,€5.00m,Centre-Back,"Mar 25, 1992 (31)",Austria,"1,83m",right,"Jul 26, 2021","Jun 30, 2026"
Jacob Rasmussen,€3.50m,Centre-Back,"May 28, 1997 (25)",Denmark,"1,90m",left,"Jul 30, 2022","Jun 30, 2023"
Neraysho Kasanwirjo,€2.50m,Centre-Back,"Feb 18, 2002 (21)",Netherlands,"1,85m",right,"Jan 23, 2023","Jun 30, 2027"
Quilindschy Hartman,€6.50m,Left-Back,"Nov 14, 2001 (21)",Netherlands,"1,83m",left,"Sep 1, 2022","Jun 30, 2025"
Marcos López,€2.50m,Left-Back,"Nov 20, 1999 (23)",Peru,"1,78m",left,"Aug 8, 2022","Jun 30, 2026"
Lutsharel Geertruida,€18.00m,Right-Back,"Jul 18, 2000 (22)",Netherlands,"1,84m",right,"Jul 1, 2018","Jun 30, 2025"
Marcus Pedersen,€6.50m,Right-Back,"Jul 16, 2000 (22)",Norway,"1,84m",right,"Jul 1, 2021","Jun 30, 2026"
Mimeirhel Benita,€700k,Right-Back,"Nov 17, 2003 (19)",Netherlands,"1,73m",right,"Aug 23, 2022","Jun 30, 2025"
Mats Wieffer,€7.00m,Defensive Midfield,"Nov 16, 1999 (23)",Netherlands,"1,88m",right,"Jul 1, 2022","Jun 30, 2026"
Orkun Kökcü,€30.00m,Central Midfield,"Dec 29, 2000 (22)",Turkey,"1,75m",both,"Jul 1, 2018","Jun 30, 2025"
Quinten Timber,€8.50m,Central Midfield,"Jun 17, 2001 (21)",Netherlands,"1,77m",right,"Jul 28, 2022","Jun 30, 2026"
Sebastian Szymanski,€14.00m,Attacking Midfield,"May 10, 1999 (23)",Poland,"1,74m",left,"Jul 22, 2022","Jun 30, 2023"
Ezequiel Bullaude,€4.50m,Attacking Midfield,"Oct 26, 2000 (22)",Argentina,"1,84m",right,"Aug 30, 2022","Jun 30, 2027"
Mohamed Taabouni,€700k,Attacking Midfield,"Mar 29, 2002 (21)",Netherlands,"1,78m",right,"Jul 1, 2022","Jun 30, 2024"
Javairô Dilrosun,€6.00m,Left Winger,"Jun 22, 1998 (24)",Netherlands,"1,75m",left,"Jul 11, 2022","Jun 30, 2026"
Igor Paixão,€6.00m,Left Winger,"Jun 28, 2000 (22)",Brazil,"1,68m",right,"Aug 17, 2022","Jun 30, 2027"
Oussama Idrissi,€4.00m,Left Winger,"Feb 26, 1996 (27)",Morocco,"1,83m",right,"Jul 27, 2022","Jun 30, 2023"
Patrik Walemark,€4.50m,Right Winger,"Oct 14, 2001 (21)",Sweden,"1,84m",left,"Jan 17, 2022","Jun 30, 2026"
Alireza Jahanbakhsh,€3.00m,Right Winger,"Aug 11, 1993 (29)",Iran,"1,81m",right,"Jul 17, 2021","Jun 30, 2024"
Santiago Gimenez,€9.00m,Centre-Forward,"Apr 18, 2001 (21)",Mexico,"1,82m",left,"Jul 29, 2022","Jun 30, 2026"
Danilo,€5.00m,Centre-Forward,"Apr 7, 1999 (23)",Brazil,"1,74m",right,"Jul 1, 2022","Jun 30, 2026"
