name,price,position,dob,nationality,height,foot,join_date,contract_expiration
João Virgínia,€700k,Goalkeeper,"Oct 10, 1999 (23)",Portugal,"1,92m",right,"Jul 8, 2022","Jun 30, 2023"
Robbin Ruiter,€350k,Goalkeeper,"Mar 25, 1987 (35)",Netherlands,"1,96m",right,"Jul 23, 2022","Jun 30, 2023"
Brett Minnema,€25k,Goalkeeper,"Jan 6, 2002 (21)",Netherlands,"1,92m",,"Jul 1, 2020","Jun 30, 2023"
Leon Bergsma,€550k,Centre-Back,"Jan 25, 1997 (26)",Netherlands,"1,86m",both,"Jul 28, 2022","Jun 30, 2025"
Marco Tol,€550k,Centre-Back,"Apr 25, 1998 (24)",Netherlands,"1,88m",right,"Jul 1, 2021","Jun 30, 2024"
Floris Smand,€300k,Centre-Back,"Jan 20, 2003 (20)",Netherlands,"1,85m",right,"Jul 1, 2022","Jun 30, 2024"
Calvin Mac-Intosch,€250k,Centre-Back,"Aug 9, 1989 (33)",Suriname,"1,81m",right,"Jul 1, 2019","Jun 30, 2023"
Jhondly van der Meer,€100k,Centre-Back,"Mar 22, 2002 (20)",Haiti,"1,83m",right,"Jul 1, 2021","Jun 30, 2024"
Alex Bangura,€900k,Left-Back,"Jul 13, 1999 (23)",Sierra Leone,"1,83m",left,"Jul 1, 2019","Jun 30, 2024"
Maxim Gullit,€350k,Left-Back,"May 20, 2001 (21)",Netherlands,"1,91m",left,"Aug 27, 2021","Jun 30, 2023"
Sekou Sylla,€200k,Left-Back,"Jan 9, 1999 (24)",Guinea,"1,80m",left,"Jan 7, 2022","Jun 30, 2024"
Sai van Wermeskerken,€550k,Right-Back,"Jun 28, 1994 (28)",Japan,"1,78m",right,"Aug 10, 2022","Jun 30, 2023"
Doke Schmidt,€300k,Right-Back,"Apr 7, 1992 (30)",Netherlands,"1,77m",right,"Jul 23, 2019","Jun 30, 2023"
Mees Hoedemakers,€900k,Defensive Midfield,"Feb 18, 1998 (25)",Netherlands,"1,81m",both,"Jul 1, 2020","Jun 30, 2023"
Daniël van Kaam,€700k,Defensive Midfield,"Jun 23, 2000 (22)",Netherlands,"1,75m",left,"Aug 31, 2022","Jun 30, 2025"
Jamie Jacobs,€600k,Central Midfield,"Dec 3, 1997 (25)",Netherlands,"1,82m",left,"Jul 1, 2019","Jun 30, 2023"
Ben Rienstra,€300k,Central Midfield,"Jun 5, 1990 (32)",Netherlands,"1,82m",right,"Jan 27, 2023","Jun 30, 2023"
Vincent Pichel,€50k,Central Midfield,"Nov 12, 2001 (21)",Netherlands,-,,"Jan 1, 2023","Jun 30, 2025"
Robin Maulun,€750k,Attacking Midfield,"Nov 23, 1996 (26)",France,"1,76m",right,"Jul 1, 2018","Jun 30, 2023"
Mitchel Paulissen,€500k,Attacking Midfield,"Apr 21, 1993 (29)",Netherlands,"1,83m",right,"Jul 1, 2019","Jun 30, 2023"
Navarone Foor,€500k,Attacking Midfield,"Feb 4, 1992 (31)",Netherlands,"1,70m",both,"Jan 30, 2023","Jun 30, 2023"
Felix Mambimbi,€3.00m,Left Winger,"Jan 18, 2001 (22)",Switzerland,"1,70m",right,"Aug 31, 2022","Jun 30, 2023"
Silvester van der Water,€800k,Right Winger,"Sep 30, 1996 (26)",Netherlands,"1,84m",left,"Jul 1, 2022","Jun 30, 2025"
Michael Breij,€450k,Right Winger,"Jan 15, 1997 (26)",Netherlands,"1,81m",right,"Jan 1, 2020","Jun 30, 2024"
David Sambissa,€400k,Right Winger,"Jan 11, 1996 (27)",Gabon,"1,77m",left,"Jul 1, 2018","Jun 30, 2023"
Remco Balk,€400k,Right Winger,"Mar 2, 2001 (22)",Netherlands,-,right,"Jul 1, 2022","Jun 30, 2023"
Mimoun Mahi,€1.00m,Centre-Forward,"Mar 13, 1994 (29)",Morocco,"1,81m",right,"Jan 17, 2023","Jun 30, 2023"
Roberts Uldrikis,€600k,Centre-Forward,"Apr 3, 1998 (24)",Latvia,"1,98m",right,"Aug 31, 2021","Jun 30, 2023"
Björn Johnsen,€500k,Centre-Forward,"Nov 6, 1991 (31)",Norway,"1,95m",right,"Jan 31, 2023","Jun 30, 2023"
Milan Smit,€150k,Centre-Forward,"Feb 13, 2003 (20)",Netherlands,"1,80m",,"Jul 1, 2022","Jun 30, 2024"
