name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Gauthier Gallon,€2.00m,Goalkeeper,"Apr 23, 1993 (29)",France,"1,86m",right,"Jul 1, 2019","Jun 30, 2024"
Mateusz Lis,€1.00m,Goalkeeper,"Feb 27, 1997 (26)",Poland,"1,92m",right,"Sep 1, 2022","Jun 30, 2023"
Jessy Moulin,€250k,Goalkeeper,"Jan 13, 1986 (37)",France,"1,84m",right,"Jul 19, 2021","Jun 30, 2023"
Jackson Porozo,€3.00m,Centre-Back,"Aug 4, 2000 (22)",Ecuador,"1,92m",right,"Jul 1, 2022","Jun 30, 2027"
Erik Palmer-Brown,€3.00m,Centre-Back,"Apr 24, 1997 (25)",United States,"1,86m",right,"Feb 2, 2022","Jun 30, 2024"
Yoann Salmier,€2.00m,Centre-Back,"Nov 21, 1992 (30)",French Guiana,"1,88m",right,"Jul 1, 2019","Jun 30, 2024"
Tanguy Zoukrou,€300k,Centre-Back,"May 7, 2003 (19)",France,"1,89m",right,"Jul 1, 2022","Jun 30, 2024"
Adil Rami,€300k,Centre-Back,"Dec 27, 1985 (37)",France,"1,91m",right,"Aug 24, 2021","Jun 30, 2023"
Eric N'Jo,€300k,Centre-Back,"Jun 1, 2004 (18)",France,"1,87m",,"Jul 1, 2022","Jun 30, 2025"
Yasser Larouci,€3.00m,Left-Back,"Jan 1, 2001 (22)",France,"1,76m",left,"Jul 28, 2021","Jun 30, 2026"
Abdu Conté,€2.50m,Left-Back,"Mar 24, 1998 (24)",Portugal,"1,83m",,"Jan 12, 2022","Jun 30, 2026"
Thierno Baldé,€4.00m,Right-Back,"Jun 10, 2002 (20)",France,"1,82m",right,"Aug 9, 2022","Jun 30, 2027"
Andreas Bruus,€2.00m,Right-Back,"Jan 16, 1999 (24)",Denmark,"1,83m",right,"Jul 18, 2022","Jun 30, 2027"
Lucien Agoumé,€7.00m,Defensive Midfield,"Feb 9, 2002 (21)",France,"1,85m",right,"Sep 1, 2022","Jun 30, 2023"
Rominigue Kouamé,€5.00m,Central Midfield,"Dec 17, 1996 (26)",Mali,"1,77m",left,"Jul 1, 2021","Jun 30, 2024"
Florian Tardieu,€3.00m,Central Midfield,"Apr 22, 1992 (30)",France,"1,84m",right,"Jul 24, 2019","Jun 30, 2024"
Xavier Chavalerin,€1.80m,Central Midfield,"Mar 7, 1991 (32)",France,"1,79m",left,"Aug 29, 2021","Jun 30, 2024"
Ante Palaversa,€1.20m,Central Midfield,"Apr 6, 2000 (22)",Croatia,"1,87m",right,"Aug 31, 2022","Jun 30, 2025"
Jeff Reine-Adélaïde,€10.00m,Attacking Midfield,"Jan 17, 1998 (25)",France,"1,84m",right,"Jan 30, 2023","Jun 30, 2023"
Papa Ndiaga Yade,€1.80m,Left Winger,"Jan 5, 2000 (23)",Senegal,"1,85m",left,"Aug 25, 2022","Jun 30, 2023"
Alexis Tibidi,€1.50m,Left Winger,"Nov 3, 2003 (19)",France,"1,87m",right,"Jan 28, 2023","Jun 30, 2027"
Levi Lumeka,€250k,Left Winger,"Sep 5, 1998 (24)",England,"1,70m",right,"Jul 28, 2020","Jun 30, 2024"
Wilson Odobert,€5.00m,Right Winger,"Nov 28, 2004 (18)",France,"1,82m",,"Jul 15, 2022","Jun 30, 2027"
Rony Lopes,€4.00m,Right Winger,"Dec 28, 1995 (27)",Portugal,"1,74m",left,"Aug 24, 2022","Jun 30, 2023"
Renaud Ripart,€3.00m,Right Winger,"Mar 14, 1993 (30)",France,"1,81m",right,"Jul 15, 2021","Jun 30, 2025"
Mama Baldé,€6.00m,Centre-Forward,"Nov 6, 1995 (27)",Guinea-Bissau,"1,76m",right,"Jul 31, 2021","Jun 30, 2025"
Iké Ugbo,€4.00m,Centre-Forward,"Sep 21, 1998 (24)",Canada,"1,84m",right,"Aug 4, 2022","Jun 30, 2026"
