name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Rui Patrício,€5.00m,Goalkeeper,"Feb 15, 1988 (35)",Portugal,"1,90m",left,"Jul 13, 2021","Jun 30, 2024"
Mile Svilar,€1.80m,Goalkeeper,"Aug 27, 1999 (23)",Serbia,"1,89m",right,"Jul 1, 2022","Jun 30, 2027"
Pietro Boer,€150k,Goalkeeper,"May 12, 2002 (20)",Italy,"1,93m",right,"Jul 1, 2021","Jun 30, 2024"
Roger Ibañez,€30.00m,Centre-Back,"Nov 23, 1998 (24)",Brazil,"1,86m",right,"Jul 1, 2021","Jun 30, 2025"
Gianluca Mancini,€18.00m,Centre-Back,"Apr 17, 1996 (26)",Italy,"1,90m",right,"Sep 1, 2020","Jun 30, 2027"
Diego Llorente,€12.00m,Centre-Back,"Aug 16, 1993 (29)",Spain,"1,86m",right,"Jan 31, 2023","Jun 30, 2023"
Marash Kumbulla,€9.00m,Centre-Back,"Feb 8, 2000 (23)",Albania,"1,91m",right,"Jul 1, 2021","Jun 30, 2025"
Chris Smalling,€8.00m,Centre-Back,"Nov 22, 1989 (33)",England,"1,94m",right,"Oct 5, 2020","Jun 30, 2023"
William Bianda,€300k,Centre-Back,"Apr 30, 2000 (22)",France,"1,85m",left,"Jul 1, 2020","Jun 30, 2023"
Leonardo Spinazzola,€15.00m,Left-Back,"Mar 25, 1993 (30)",Italy,"1,86m",right,"Jul 1, 2019","Jun 30, 2024"
Zeki Celik,€10.00m,Right-Back,"Feb 17, 1997 (26)",Turkey,"1,80m",right,"Jul 5, 2022","Jun 30, 2026"
Rick Karsdorp,€9.00m,Right-Back,"Feb 11, 1995 (28)",Netherlands,"1,84m",right,"Jul 1, 2017","Jun 30, 2025"
Bryan Cristante,€20.00m,Defensive Midfield,"Mar 3, 1995 (28)",Italy,"1,86m",right,"Jul 1, 2019","Jun 30, 2024"
Nemanja Matić,€4.00m,Defensive Midfield,"Aug 1, 1988 (34)",Serbia,"1,94m",left,"Jul 1, 2022","Jun 30, 2024"
Ebrima Darboe,€2.00m,Defensive Midfield,"Jun 6, 2001 (21)",The Gambia,"1,79m",right,"Jul 1, 2021","Jun 30, 2026"
Georginio Wijnaldum,€12.00m,Central Midfield,"Nov 11, 1990 (32)",Netherlands,"1,75m",right,"Aug 5, 2022","Jun 30, 2023"
Mady Camara,€11.00m,Central Midfield,"Feb 28, 1997 (26)",Guinea,"1,82m",right,"Aug 31, 2022","Jun 30, 2023"
Edoardo Bove,€3.00m,Central Midfield,"May 16, 2002 (20)",Italy,"1,79m",right,"Jul 1, 2021","Jun 30, 2025"
Benjamin Tahirovic,€1.00m,Central Midfield,"Mar 3, 2003 (20)",Bosnia-Herzegovina,"1,93m",right,"Nov 1, 2022","Jun 30, 2026"
Nicola Zalewski,€15.00m,Left Midfield,"Jan 23, 2002 (21)",Poland,"1,75m",both,"Jul 1, 2021","Jun 30, 2025"
Lorenzo Pellegrini,€35.00m,Attacking Midfield,"Jun 19, 1996 (26)",Italy,"1,86m",both,"Jul 1, 2017","Jun 30, 2026"
Cristian Volpato,€3.00m,Attacking Midfield,"Nov 15, 2003 (19)",Italy,"1,87m",left,"Oct 1, 2022","Jun 30, 2026"
Ante Coric,€400k,Attacking Midfield,"Apr 14, 1997 (25)",Croatia,"1,76m",both,"Jul 1, 2018","Jun 30, 2023"
Stephan El Shaarawy,€5.00m,Left Winger,"Oct 27, 1992 (30)",Italy,"1,78m",right,"Jan 30, 2021","Jun 30, 2023"
Ola Solbakken,€3.50m,Right Winger,"Sep 7, 1998 (24)",Norway,"1,86m",left,"Jan 2, 2023","Jun 30, 2027"
Paulo Dybala,€30.00m,Second Striker,"Nov 15, 1993 (29)",Argentina,"1,77m",left,"Jul 20, 2022","Jun 30, 2025"
Tammy Abraham,€45.00m,Centre-Forward,"Oct 2, 1997 (25)",England,"1,94m",right,"Aug 17, 2021","Jun 30, 2026"
Andrea Belotti,€9.00m,Centre-Forward,"Dec 20, 1993 (29)",Italy,"1,81m",right,"Aug 28, 2022","Jun 30, 2023"
