name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Jonas Omlin,€7.00m,Goalkeeper,"Jan 10, 1994 (29)",Switzerland,"1,90m",right,"Jan 19, 2023","Jun 30, 2027"
Jan Olschowsky,€500k,Goalkeeper,"Nov 18, 2001 (21)",Germany,"1,84m",right,"Jul 13, 2020","Jun 30, 2027"
Tobias Sippel,€400k,Goalkeeper,"Mar 22, 1988 (34)",Germany,"1,83m",right,"Jul 1, 2015","Jun 30, 2023"
Nico Elvedi,€20.00m,Centre-Back,"Sep 30, 1996 (26)",Switzerland,"1,89m",right,"Jul 1, 2015","Jun 30, 2024"
Ko Itakura,€12.00m,Centre-Back,"Jan 27, 1997 (26)",Japan,"1,88m",right,"Jul 2, 2022","Jun 30, 2026"
Marvin Friedrich,€8.00m,Centre-Back,"Dec 13, 1995 (27)",Germany,"1,93m",right,"Jan 11, 2022","Jun 30, 2026"
Tony Jantschke,€800k,Centre-Back,"Apr 7, 1990 (32)",Germany,"1,77m",right,"Jul 1, 2009","Jun 30, 2023"
Mamadou Doucouré,€100k,Centre-Back,"May 21, 1998 (24)",France,"1,83m",left,"Jul 1, 2016","Jun 30, 2024"
Ramy Bensebaini,€20.00m,Left-Back,"Apr 16, 1995 (27)",Algeria,"1,87m",left,"Aug 14, 2019","Jun 30, 2023"
Luca Netz,€6.50m,Left-Back,"May 15, 2003 (19)",Germany,"1,84m",left,"Aug 6, 2021","Jun 30, 2026"
Joe Scally,€12.00m,Right-Back,"Dec 31, 2002 (20)",United States,"1,84m",right,"Jan 1, 2021","Jun 30, 2026"
Stefan Lainer,€3.50m,Right-Back,"Aug 27, 1992 (30)",Austria,"1,75m",right,"Jul 1, 2019","Jun 30, 2024"
Simon Walde,-,Right-Back,"Jan 4, 2005 (18)",Germany,"1,85m",right,"Jan 4, 2023","Jun 30, 2026"
Julian Weigl,€15.00m,Defensive Midfield,"Sep 8, 1995 (27)",Germany,"1,86m",right,"Sep 1, 2022","Jun 30, 2023"
Christoph Kramer,€2.50m,Defensive Midfield,"Feb 19, 1991 (32)",Germany,"1,91m",right,"Jul 1, 2016","Jun 30, 2025"
Manu Koné,€25.00m,Central Midfield,"May 17, 2001 (21)",France,"1,85m",right,"Jan 21, 2021","Jun 30, 2025"
Florian Neuhaus,€20.00m,Central Midfield,"Mar 16, 1997 (26)",Germany,"1,85m",right,"Jul 1, 2017","Jun 30, 2024"
Oscar Fraulo,€2.00m,Central Midfield,"Dec 6, 2003 (19)",Denmark,"1,80m",right,"Jul 1, 2022","Jun 30, 2026"
Lars Stindl,€2.50m,Attacking Midfield,"Aug 26, 1988 (34)",Germany,"1,81m",right,"Jul 1, 2015","Jun 30, 2023"
Conor Noß,€700k,Attacking Midfield,"Jan 1, 2001 (22)",Ireland,"1,81m",both,"Jul 1, 2021","Jun 30, 2024"
Alassane Plea,€15.00m,Left Winger,"Mar 10, 1993 (30)",France,"1,81m",right,"Jul 13, 2018","Jun 30, 2025"
Hannes Wolf,€4.00m,Left Winger,"Apr 16, 1999 (23)",Austria,"1,79m",left,"Jul 1, 2021","Jun 30, 2024"
Yvandro Borges Sanches,€1.50m,Left Winger,"May 24, 2004 (18)",Luxembourg,"1,75m",right,"Jul 1, 2022","Jun 30, 2025"
Jonas Hofmann,€13.00m,Right Winger,"Jul 14, 1992 (30)",Germany,"1,76m",right,"Jan 1, 2016","Jun 30, 2025"
Nathan Ngoumou,€7.00m,Right Winger,"Mar 14, 2000 (23)",France,"1,83m",right,"Aug 30, 2022","Jun 30, 2027"
Patrick Herrmann,€2.00m,Right Winger,"Feb 12, 1991 (32)",Germany,"1,79m",right,"Jan 1, 2010","Jun 30, 2024"
Marcus Thuram,€32.00m,Centre-Forward,"Aug 6, 1997 (25)",France,"1,92m",right,"Jul 22, 2019","Jun 30, 2023"
