name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Gregor Kobel,€25.00m,Goalkeeper,"Dec 6, 1997 (25)",Switzerland,"1,94m",right,"Jul 1, 2021","Jun 30, 2026"
Marcel Lotka,€1.30m,Goalkeeper,"May 25, 2001 (21)",Germany,"1,90m",right,"Jul 1, 2022","Jun 30, 2024"
Alexander Meyer,€1.00m,Goalkeeper,"Apr 13, 1991 (31)",Germany,"1,95m",right,"Jul 1, 2022","Jun 30, 2024"
Luca Unbehaun,€1.00m,Goalkeeper,"Feb 27, 2001 (22)",Germany,"1,85m",right,"Jul 1, 2019","Jun 30, 2023"
Niklas Süle,€35.00m,Centre-Back,"Sep 3, 1995 (27)",Germany,"1,95m",right,"Jul 1, 2022","Jun 30, 2026"
Nico Schlotterbeck,€33.00m,Centre-Back,"Dec 1, 1999 (23)",Germany,"1,91m",left,"Jul 1, 2022","Jun 30, 2027"
Mats Hummels,€6.50m,Centre-Back,"Dec 16, 1988 (34)",Germany,"1,91m",right,"Jul 1, 2019","Jun 30, 2023"
Soumaïla Coulibaly,€1.00m,Centre-Back,"Oct 14, 2003 (19)",France,"1,90m",left,"Jul 1, 2021","Jun 30, 2026"
Raphaël Guerreiro,€20.00m,Left-Back,"Dec 22, 1993 (29)",Portugal,"1,70m",left,"Jul 1, 2016","Jun 30, 2023"
Tom Rothe,€3.50m,Left-Back,"Oct 29, 2004 (18)",Germany,"1,93m",left,"Jul 1, 2022","Jun 30, 2024"
Nico Schulz,€2.00m,Left-Back,"Apr 1, 1993 (29)",Germany,"1,80m",left,"Jul 1, 2019","Jun 30, 2024"
Julian Ryerson,€7.50m,Right-Back,"Nov 17, 1997 (25)",Norway,"1,83m",right,"Jan 17, 2023","Jun 30, 2026"
Marius Wolf,€6.50m,Right-Back,"May 27, 1995 (27)",Germany,"1,87m",right,"Jul 2, 2018","Jun 30, 2024"
Thomas Meunier,€6.50m,Right-Back,"Sep 12, 1991 (31)",Belgium,"1,91m",right,"Jul 1, 2020","Jun 30, 2024"
Mateu Morey Bauzà,€1.50m,Right-Back,"Mar 2, 2000 (23)",Spain,"1,73m",right,"Jul 1, 2019","Jun 30, 2024"
Felix Passlack,€1.50m,Right-Back,"May 29, 1998 (24)",Germany,"1,70m",right,"Jan 4, 2016","Jun 30, 2023"
Salih Özcan,€17.00m,Defensive Midfield,"Jan 11, 1998 (25)",Turkey,"1,83m",right,"Jul 1, 2022","Jun 30, 2026"
Emre Can,€14.00m,Defensive Midfield,"Jan 12, 1994 (29)",Germany,"1,86m",right,"Jul 1, 2020","Jun 30, 2024"
Abdoulaye Kamara,€1.00m,Defensive Midfield,"Nov 6, 2004 (18)",France,"1,83m",right,-,"Jun 30, 2024"
Antonios Papadopoulos,€600k,Defensive Midfield,"Sep 10, 1999 (23)",Germany,"1,86m",right,-,"Jun 30, 2024"
Jude Bellingham,€110.00m,Central Midfield,"Jun 29, 2003 (19)",England,"1,86m",right,"Jul 23, 2020","Jun 30, 2025"
Mahmoud Dahoud,€18.00m,Central Midfield,"Jan 1, 1996 (27)",Germany,"1,78m",right,"Jul 1, 2017","Jun 30, 2023"
Giovanni Reyna,€35.00m,Attacking Midfield,"Nov 13, 2002 (20)",United States,"1,85m",right,"Jan 12, 2020","Jun 30, 2025"
Julian Brandt,€28.00m,Attacking Midfield,"May 2, 1996 (26)",Germany,"1,85m",right,"Jul 1, 2019","Jun 30, 2024"
Marco Reus,€9.00m,Attacking Midfield,"May 31, 1989 (33)",Germany,"1,80m",right,"Jul 1, 2012","Jun 30, 2023"
Göktan Gürpüz,€300k,Attacking Midfield,"Jan 22, 2003 (20)",Turkey,"1,75m",right,-,"Jun 30, 2025"
Karim Adeyemi,€35.00m,Left Winger,"Jan 18, 2002 (21)",Germany,"1,80m",left,"Jul 1, 2022","Jun 30, 2027"
Donyell Malen,€20.00m,Left Winger,"Jan 19, 1999 (24)",Netherlands,"1,78m",right,"Jul 27, 2021","Jun 30, 2026"
Jamie Bynoe-Gittens,€8.00m,Left Winger,"Aug 8, 2004 (18)",England,"1,77m",right,"Jul 1, 2022","Jun 30, 2025"
Julien Duranville,€5.00m,Right Winger,"May 5, 2006 (16)",Belgium,"1,70m",right,"Jan 27, 2023",-
Sébastien Haller,€35.00m,Centre-Forward,"Jun 22, 1994 (28)",Cote d'Ivoire,"1,91m",right,"Jul 6, 2022","Jun 30, 2026"
Youssoufa Moukoko,€30.00m,Centre-Forward,"Nov 20, 2004 (18)",Germany,"1,79m",left,"Jul 29, 2020","Jun 30, 2026"
Anthony Modeste,€4.00m,Centre-Forward,"Apr 14, 1988 (34)",France,"1,88m",right,"Aug 8, 2022","Jun 30, 2023"
