name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Alexander Schwolow,€1.50m,Goalkeeper,"Jun 2, 1992 (30)",Germany,"1,90m",right,"Jul 1, 2022","Jun 30, 2023"
Ralf Fährmann,€400k,Goalkeeper,"Sep 27, 1988 (34)",Germany,"1,97m",right,"Jul 1, 2011","Jun 30, 2025"
Justin Heekeren,€250k,Goalkeeper,"Nov 27, 2000 (22)",Germany,"1,96m",both,"Jul 1, 2022","Jun 30, 2025"
Michael Langer,€50k,Goalkeeper,"Jan 6, 1985 (38)",Austria,"1,95m",right,"Aug 4, 2017","Jun 30, 2023"
Sepp van den Berg,€5.00m,Centre-Back,"Dec 20, 2001 (21)",Netherlands,"1,92m",right,"Aug 30, 2022","Jun 30, 2023"
Moritz Jenz,€4.00m,Centre-Back,"Apr 30, 1999 (23)",Germany,"1,90m",right,"Jan 26, 2023","Jun 30, 2023"
Leo Greiml,€2.50m,Centre-Back,"Jul 3, 2001 (21)",Austria,"1,87m",right,"Jul 1, 2022","Jun 30, 2025"
Timothée Kolodziejczak,€2.00m,Centre-Back,"Oct 1, 1991 (31)",France,"1,83m",left,"Oct 21, 2022","Jun 30, 2023"
Maya Yoshida,€1.50m,Centre-Back,"Aug 24, 1988 (34)",Japan,"1,89m",right,"Jul 5, 2022","Jun 30, 2023"
Marcin Kaminski,€1.00m,Centre-Back,"Jan 15, 1992 (31)",Poland,"1,92m",left,"Jul 1, 2021","Jun 30, 2023"
Henning Matriciani,€600k,Centre-Back,"Mar 14, 2000 (23)",Germany,"1,87m",right,"Sep 28, 2021","Jun 30, 2024"
Ibrahima Cissé,€200k,Centre-Back,"Feb 15, 2001 (22)",Mali,"1,96m",right,"Jul 1, 2022","Jun 30, 2026"
Thomas Ouwejan,€2.50m,Left-Back,"Sep 30, 1996 (26)",Netherlands,"1,83m",left,"Jul 1, 2022","Jun 30, 2024"
Jere Uronen,€1.00m,Left-Back,"Jul 13, 1994 (28)",Finland,"1,77m",left,"Jan 7, 2023","Jun 30, 2023"
Cédric Brunner,€2.50m,Right-Back,"Feb 17, 1994 (29)",Switzerland,"1,80m",right,"Jul 7, 2022","Jun 30, 2024"
Mehmet Aydin,€1.00m,Right-Back,"Feb 9, 2002 (21)",Turkey,"1,80m",right,"Jul 1, 2021","Jun 30, 2025"
Alex Kral,€4.50m,Defensive Midfield,"May 19, 1998 (24)",Czech Republic,"1,86m",right,"Jul 14, 2022","Jun 30, 2023"
Éder Balanta,€3.00m,Defensive Midfield,"Feb 28, 1993 (30)",Colombia,"1,80m",left,"Jan 31, 2023","Jun 30, 2023"
Niklas Tauer,€1.50m,Defensive Midfield,"Feb 17, 2001 (22)",Germany,"1,83m",right,"Jan 1, 2023","Jun 30, 2024"
Tom Krauß,€6.00m,Central Midfield,"Jun 22, 2001 (21)",Germany,"1,82m",right,"Jul 1, 2022","Jun 30, 2023"
Danny Latza,€600k,Central Midfield,"Dec 7, 1989 (33)",Germany,"1,79m",right,"Jul 1, 2021","Jun 30, 2024"
Nassim Boujellab,€400k,Central Midfield,"Jun 20, 1999 (23)",Morocco,"1,82m",both,"Apr 6, 2019","Jun 30, 2023"
Tobias Mohr,€1.80m,Left Midfield,"Aug 24, 1995 (27)",Germany,"1,83m",left,"Jul 1, 2022","Jun 30, 2025"
Rodrigo Zalazar,€3.50m,Attacking Midfield,"Aug 12, 1999 (23)",Uruguay,"1,78m",right,"Jul 1, 2022","Jun 30, 2026"
Dominick Drexler,€900k,Attacking Midfield,"May 26, 1990 (32)",Germany,"1,83m",right,"Jul 21, 2021","Jun 30, 2023"
Marius Bülter,€2.50m,Left Winger,"Mar 29, 1993 (29)",Germany,"1,88m",right,"Jul 1, 2021","Jun 30, 2024"
Tim Skarke,€1.00m,Right Winger,"Sep 7, 1996 (26)",Germany,"1,81m",right,"Jan 23, 2023","Jun 30, 2023"
Soichiro Kozuki,€150k,Right Winger,"Dec 22, 2000 (22)",Japan,"1,80m",right,"Jan 1, 2023","Jun 30, 2025"
Michael Frey,€4.50m,Centre-Forward,"Jul 19, 1994 (28)",Switzerland,"1,88m",right,"Jan 20, 2023","Jun 30, 2023"
Sebastian Polter,€1.70m,Centre-Forward,"Apr 1, 1991 (31)",Germany,"1,92m",right,"Jul 1, 2022","Jun 30, 2025"
Kenan Karaman,€1.40m,Centre-Forward,"Mar 5, 1994 (29)",Turkey,"1,89m",right,"Sep 1, 2022","Jun 30, 2025"
Simon Terodde,€1.00m,Centre-Forward,"Mar 2, 1988 (35)",Germany,"1,92m",right,"Jul 1, 2021","Jun 30, 2023"
