name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Emil Audero,€6.00m,Goalkeeper,"Jan 18, 1997 (26)",Italy,"1,92m",right,"Jul 1, 2019","Jun 30, 2026"
Martin Turk,€300k,Goalkeeper,"Aug 21, 2003 (19)",Slovenia,"1,90m",left,"Jan 13, 2023","Jun 30, 2023"
Nicola Ravaglia,€100k,Goalkeeper,"Dec 12, 1988 (34)",Italy,"1,84m",right,"Sep 1, 2020","Jun 30, 2024"
Koray Günter,€4.50m,Centre-Back,"Aug 16, 1994 (28)",Germany,"1,86m",right,"Jan 31, 2023","Jun 30, 2023"
Bruno Amione,€2.70m,Centre-Back,"Jan 3, 2002 (21)",Argentina,"1,87m",left,"Sep 1, 2022","Jun 30, 2023"
Bram Nuytinck,€2.00m,Centre-Back,"May 4, 1990 (32)",Netherlands,"1,91m",left,"Jan 2, 2023","Jun 30, 2023"
Jeison Murillo,€2.00m,Centre-Back,"May 27, 1992 (30)",Colombia,"1,82m",right,"Jan 14, 2020","Jun 30, 2023"
Marios Oikonomou,€300k,Centre-Back,"Oct 6, 1992 (30)",Greece,"1,89m",right,"Feb 17, 2023","Jun 30, 2023"
Tommaso Augello,€2.50m,Left-Back,"Aug 30, 1994 (28)",Italy,"1,80m",left,"Sep 1, 2020","Jun 30, 2025"
Nicola Murru,€1.60m,Left-Back,"Dec 16, 1994 (28)",Italy,"1,80m",left,"Jul 1, 2017","Jun 30, 2024"
Alessandro Zanoli,€5.00m,Right-Back,"Oct 3, 2000 (22)",Italy,"1,88m",right,"Jan 7, 2023","Jun 30, 2023"
Andrea Conti,€600k,Right-Back,"Mar 2, 1994 (29)",Italy,"1,84m",right,"Jan 10, 2022","Jun 30, 2025"
Harry Winks,€12.00m,Defensive Midfield,"Feb 2, 1996 (27)",England,"1,78m",right,"Aug 30, 2022","Jun 30, 2023"
Tomás Rincón,€800k,Defensive Midfield,"Jan 13, 1988 (35)",Venezuela,"1,77m",right,"Jul 5, 2022","Jun 30, 2023"
Flavio Paoletti,€800k,Defensive Midfield,"Jan 16, 2003 (20)",Italy,"1,82m",right,"Jan 2, 2023","Jun 30, 2024"
Gerard Yepes,€500k,Defensive Midfield,"Aug 25, 2002 (20)",Spain,"1,70m",right,"Jul 1, 2022","Jun 30, 2025"
Emirhan Ilkhan,€4.50m,Central Midfield,"Jun 1, 2004 (18)",Turkey,"1,75m",right,"Jan 31, 2023","Jun 30, 2023"
Michaël Cuisance,€3.50m,Central Midfield,"Aug 16, 1999 (23)",France,"1,81m",left,"Jan 30, 2023","Jun 30, 2023"
Mehdi Léris,€2.20m,Right Midfield,"May 23, 1998 (24)",Algeria,"1,86m",right,"Aug 12, 2019","Jun 30, 2024"
Lorenzo Malagrida,€250k,Left Midfield,"Oct 24, 2003 (19)",Italy,"1,74m",right,"Jul 1, 2022","Jun 30, 2025"
Abdelhamid Sabiri,€3.00m,Attacking Midfield,"Nov 28, 1996 (26)",Morocco,"1,86m",right,"Jan 31, 2023","Jun 30, 2023"
Filip Djuricic,€2.50m,Attacking Midfield,"Jan 30, 1992 (31)",Serbia,"1,81m",right,"Aug 1, 2022","Jun 30, 2024"
Jesé,€2.00m,Left Winger,"Feb 26, 1993 (30)",Spain,"1,78m",right,"Feb 10, 2023","Jun 30, 2023"
Ignacio Pussetto,€2.50m,Right Winger,"Dec 21, 1995 (27)",Argentina,"1,80m",right,"Sep 1, 2022","Jun 30, 2023"
Manolo Gabbiadini,€3.00m,Centre-Forward,"Nov 26, 1991 (31)",Italy,"1,86m",left,"Jan 11, 2019","Jun 30, 2026"
Manuel De Luca,€2.50m,Centre-Forward,"Jul 17, 1998 (24)",Italy,"1,92m",both,"Aug 11, 2021","Jun 30, 2025"
Sam Lammers,€2.40m,Centre-Forward,"Apr 30, 1997 (25)",Netherlands,"1,91m",both,"Jan 2, 2023","Jun 29, 2023"
Fabio Quagliarella,€1.00m,Centre-Forward,"Jan 31, 1983 (40)",Italy,"1,80m",right,"Jul 1, 2016","Jun 30, 2023"
Daniele Montevago,€400k,Centre-Forward,"Mar 18, 2003 (20)",Italy,"1,84m",right,"Oct 28, 2022","Jun 30, 2025"
