name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Aaron Ramsdale,€38.00m,Goalkeeper,"May 14, 1998 (24)",England,"1,90m",right,"Aug 20, 2021","Jun 30, 2025"
Matt Turner,€5.00m,Goalkeeper,"Jun 24, 1994 (28)",United States,"1,91m",right,"Jul 1, 2022","Jun 30, 2025"
William Saliba,€55.00m,Centre-Back,"Mar 24, 2001 (22)",France,"1,92m",right,"Jul 25, 2019","Jun 30, 2024"
Gabriel Magalhães,€50.00m,Centre-Back,"Dec 19, 1997 (25)",Brazil,"1,90m",left,"Sep 1, 2020","Jun 30, 2027"
Jakub Kiwior,€20.00m,Centre-Back,"Feb 15, 2000 (23)",Poland,"1,89m",left,"Jan 23, 2023","Jun 30, 2028"
Rob Holding,€10.00m,Centre-Back,"Sep 20, 1995 (27)",England,"1,89m",right,"Jul 22, 2016","Jun 30, 2024"
Oleksandr Zinchenko,€40.00m,Left-Back,"Dec 15, 1996 (26)",Ukraine,"1,75m",left,"Jul 22, 2022","Jun 30, 2026"
Kieran Tierney,€25.00m,Left-Back,"Jun 5, 1997 (25)",Scotland,"1,80m",left,"Aug 8, 2019","Jun 30, 2026"
Ben White,€50.00m,Right-Back,"Oct 8, 1997 (25)",England,"1,86m",right,"Jul 30, 2021","Jun 30, 2026"
Takehiro Tomiyasu,€25.00m,Right-Back,"Nov 5, 1998 (24)",Japan,"1,88m",right,"Aug 31, 2021","Jun 30, 2025"
Thomas Partey,€38.00m,Defensive Midfield,"Jun 13, 1993 (29)",Ghana,"1,85m",right,"Oct 5, 2020","Jun 30, 2025"
Jorginho,€35.00m,Defensive Midfield,"Dec 20, 1991 (31)",Italy,"1,78m",right,"Jan 31, 2023","Jun 30, 2024"
Mohamed Elneny,€9.00m,Defensive Midfield,"Jul 11, 1992 (30)",Egypt,"1,79m",right,"Jan 14, 2016","Jun 30, 2024"
Granit Xhaka,€28.00m,Central Midfield,"Sep 27, 1992 (30)",Switzerland,"1,86m",left,"Jul 1, 2016","Jun 30, 2024"
Martin Ødegaard,€80.00m,Attacking Midfield,"Dec 17, 1998 (24)",Norway,"1,78m",left,"Aug 20, 2021","Jun 30, 2025"
Emile Smith Rowe,€38.00m,Attacking Midfield,"Jul 28, 2000 (22)",England,"1,82m",right,"Aug 1, 2020","Jun 30, 2026"
Fábio Vieira,€27.00m,Attacking Midfield,"May 30, 2000 (22)",Portugal,"1,70m",left,"Jul 1, 2022","Jun 30, 2027"
Gabriel Martinelli,€70.00m,Left Winger,"Jun 18, 2001 (21)",Brazil,"1,78m",right,"Jul 2, 2019","Jun 30, 2027"
Leandro Trossard,€30.00m,Left Winger,"Dec 4, 1994 (28)",Belgium,"1,72m",right,"Jan 20, 2023","Jun 30, 2026"
Bukayo Saka,€110.00m,Right Winger,"Sep 5, 2001 (21)",England,"1,78m",left,"Jul 1, 2019","Jun 30, 2024"
Reiss Nelson,€7.00m,Right Winger,"Dec 10, 1999 (23)",England,"1,75m",right,"Jul 1, 2019","Jun 30, 2023"
Gabriel Jesus,€75.00m,Centre-Forward,"Apr 3, 1997 (26)",Brazil,"1,75m",right,"Jul 4, 2022","Jun 30, 2027"
Eddie Nketiah,€25.00m,Centre-Forward,"May 30, 1999 (23)",England,"1,75m",right,"Jan 1, 2019","Jun 30, 2027"
