name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Lars Unnerstall,€2.50m,Goalkeeper,"Jul 20, 1990 (32)",Germany,"1,98m",right,"Jul 1, 2021","Jun 30, 2025"
Przemyslaw Tyton,€300k,Goalkeeper,"Jan 4, 1987 (36)",Poland,"1,95m",right,"Jul 1, 2022","Jun 30, 2024"
Issam El Maach,€75k,Goalkeeper,"Feb 1, 2000 (23)",Morocco,"1,87m",right,"Jul 26, 2022","Jun 30, 2024"
Sam Karssies,€25k,Goalkeeper,"Feb 26, 2003 (20)",Netherlands,"1,86m",right,"Jul 1, 2022","Jun 30, 2024"
Mees Hilgers,€4.50m,Centre-Back,"May 13, 2001 (21)",Netherlands,"1,85m",right,"Oct 17, 2020","Jun 30, 2024"
Robin Pröpper,€2.00m,Centre-Back,"Sep 23, 1993 (29)",Netherlands,"1,90m",right,"Jul 1, 2021","Jun 30, 2024"
Julio Pleguezuelo,€1.10m,Centre-Back,"Jan 26, 1997 (26)",Spain,"1,80m",right,"Jul 1, 2019","Jun 30, 2023"
Max Bruns,€300k,Centre-Back,"Nov 6, 2002 (20)",Netherlands,"1,83m",right,"Feb 17, 2021","Jun 30, 2024"
Gijs Smal,€4.00m,Left-Back,"Aug 31, 1997 (25)",Netherlands,"1,83m",left,"Jul 1, 2020","Jun 30, 2024"
Anass Salah-Eddine,€500k,Left-Back,"Jan 18, 2002 (21)",Netherlands,"1,80m",left,"Aug 1, 2022","Jun 30, 2023"
Joshua Brenet,€3.00m,Right-Back,"Mar 20, 1994 (29)",Netherlands,"1,81m",right,"Jan 31, 2022","Jun 30, 2024"
Alfons Sampsted,€1.50m,Right-Back,"Apr 6, 1998 (24)",Iceland,"1,80m",right,"Jan 1, 2023","Jun 30, 2026"
Ramiz Zerrouki,€7.00m,Defensive Midfield,"May 26, 1998 (24)",Algeria,"1,83m",right,"Jul 1, 2020","Jun 30, 2024"
Michal Sadilek,€4.00m,Defensive Midfield,"May 31, 1999 (23)",Czech Republic,"1,69m",left,"Jul 1, 2022","Jun 30, 2024"
Wout Brama,€200k,Defensive Midfield,"Aug 21, 1986 (36)",Netherlands,"1,76m",right,"Jul 1, 2018","Jun 30, 2023"
Mathias Kjölö,€1.20m,Central Midfield,"Jun 27, 2001 (21)",Norway,"1,74m",right,"Jul 1, 2022","Jun 30, 2025"
Michel Vlap,€2.00m,Attacking Midfield,"Jun 2, 1997 (25)",Netherlands,"1,90m",right,"Jul 4, 2022","Jun 30, 2025"
Sem Steijn,€925k,Attacking Midfield,"Nov 12, 2001 (21)",Netherlands,"1,73m",right,"Jul 1, 2022","Jun 30, 2025"
Virgil Misidjan,€2.00m,Left Winger,"Jul 24, 1993 (29)",Netherlands,"1,73m",both,"Jul 1, 2021","Jun 30, 2023"
Vaclav Cerny,€4.00m,Right Winger,"Oct 17, 1997 (25)",Czech Republic,"1,82m",left,"Jul 2, 2021","Jun 30, 2025"
Daan Rots,€700k,Right Winger,"Jul 25, 2001 (21)",Netherlands,"1,79m",left,"Feb 17, 2021","Jun 30, 2025"
Denilho Cleonise,€400k,Right Winger,"Dec 8, 2001 (21)",Netherlands,"1,79m",left,"Aug 18, 2021","Jun 30, 2023"
Ricky van Wolfswinkel,€800k,Centre-Forward,"Jan 27, 1989 (34)",Netherlands,"1,86m",right,"Jul 21, 2021","Jun 30, 2024"
Manfred Ugalde,€800k,Centre-Forward,"May 25, 2002 (20)",Costa Rica,"1,73m",right,"Jul 1, 2021","Jun 30, 2023"
