name,price,position,dob,nationality,height,foot,join_date,contract_expiration
David de Gea,€15.00m,Goalkeeper,"Nov 7, 1990 (32)",Spain,"1,89m",right,"Jul 1, 2011","Jun 30, 2023"
Jack Butland,€1.50m,Goalkeeper,"Mar 10, 1993 (30)",England,"1,96m",right,"Jan 6, 2023","Jun 30, 2023"
Tom Heaton,€600k,Goalkeeper,"Apr 15, 1986 (36)",England,"1,88m",right,"Jul 2, 2021","Jun 30, 2023"
Lisandro Martínez,€50.00m,Centre-Back,"Jan 18, 1998 (25)",Argentina,"1,75m",left,"Jul 27, 2022","Jun 30, 2027"
Raphaël Varane,€40.00m,Centre-Back,"Apr 25, 1993 (29)",France,"1,91m",right,"Aug 14, 2021","Jun 30, 2025"
Harry Maguire,€25.00m,Centre-Back,"Mar 5, 1993 (30)",England,"1,94m",right,"Aug 5, 2019","Jun 30, 2025"
Victor Lindelöf,€15.00m,Centre-Back,"Jul 17, 1994 (28)",Sweden,"1,87m",right,"Jul 1, 2017","Jun 30, 2024"
Phil Jones,€2.00m,Centre-Back,"Feb 21, 1992 (31)",England,"1,85m",right,"Jul 1, 2011","Jun 30, 2023"
Teden Mengi,€2.00m,Centre-Back,"Apr 30, 2002 (20)",England,"1,86m",right,"Jul 1, 2020","Jun 30, 2024"
Luke Shaw,€35.00m,Left-Back,"Jul 12, 1995 (27)",England,"1,78m",left,"Jul 1, 2014","Jun 30, 2024"
Tyrell Malacia,€22.00m,Left-Back,"Aug 17, 1999 (23)",Netherlands,"1,69m",left,"Jul 5, 2022","Jun 30, 2026"
Brandon Williams,€10.00m,Left-Back,"Sep 3, 2000 (22)",England,"1,80m",right,"Jul 1, 2019","Jun 30, 2024"
Diogo Dalot,€35.00m,Right-Back,"Mar 18, 1999 (24)",Portugal,"1,83m",right,"Jul 1, 2018","Jun 30, 2024"
Aaron Wan-Bissaka,€22.00m,Right-Back,"Nov 26, 1997 (25)",England,"1,83m",right,"Jul 1, 2019","Jun 30, 2024"
Casemiro,€50.00m,Defensive Midfield,"Feb 23, 1992 (31)",Brazil,"1,85m",right,"Aug 22, 2022","Jun 30, 2026"
Scott McTominay,€25.00m,Defensive Midfield,"Dec 8, 1996 (26)",Scotland,"1,91m",right,"Jul 1, 2017","Jun 30, 2025"
Christian Eriksen,€25.00m,Central Midfield,"Feb 14, 1992 (31)",Denmark,"1,82m",right,"Jul 15, 2022","Jun 30, 2025"
Marcel Sabitzer,€20.00m,Central Midfield,"Mar 17, 1994 (29)",Austria,"1,77m",right,"Jan 31, 2023","Jun 30, 2023"
Fred,€20.00m,Central Midfield,"Mar 5, 1993 (30)",Brazil,"1,69m",left,"Jul 1, 2018","Jun 30, 2024"
Donny van de Beek,€17.00m,Central Midfield,"Apr 18, 1997 (25)",Netherlands,"1,84m",right,"Sep 2, 2020","Jun 30, 2025"
Zidane Iqbal,€800k,Central Midfield,"Apr 27, 2003 (19)",Iraq,"1,81m",right,"Jan 1, 2023","Jun 30, 2025"
Kobbie Mainoo,€800k,Central Midfield,"Apr 19, 2005 (17)",England,"1,75m",right,"Jan 1, 2023","Jun 30, 2027"
Bruno Fernandes,€75.00m,Attacking Midfield,"Sep 8, 1994 (28)",Portugal,"1,79m",right,"Jan 29, 2020","Jun 30, 2026"
Marcus Rashford,€80.00m,Left Winger,"Oct 31, 1997 (25)",England,"1,85m",right,"Jan 1, 2016","Jun 30, 2024"
Jadon Sancho,€55.00m,Left Winger,"Mar 25, 2000 (22)",England,"1,80m",right,"Jul 23, 2021","Jun 30, 2026"
Anthony Elanga,€25.00m,Left Winger,"Apr 27, 2002 (20)",Sweden,"1,78m",right,"Jan 1, 2022","Jun 30, 2026"
Alejandro Garnacho,€25.00m,Left Winger,"Jul 1, 2004 (18)",Argentina,"1,80m",right,"Jul 1, 2022","Jun 30, 2024"
Antony,€70.00m,Right Winger,"Feb 24, 2000 (23)",Brazil,"1,72m",left,"Aug 30, 2022","Jun 30, 2027"
Facundo Pellistri,€3.00m,Right Winger,"Dec 20, 2001 (21)",Uruguay,"1,74m",right,"Oct 5, 2020","Jun 30, 2025"
Mason Greenwood,-,Right Winger,"Oct 1, 2001 (21)",England,"1,81m",both,"Jul 1, 2019","Jun 30, 2025"
Anthony Martial,€15.00m,Centre-Forward,"Dec 5, 1995 (27)",France,"1,81m",right,"Sep 1, 2015","Jun 30, 2024"
Wout Weghorst,€14.00m,Centre-Forward,"Aug 7, 1992 (30)",Netherlands,"1,97m",right,"Jan 13, 2023","Jun 30, 2023"
