name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Juan Musso,€14.00m,Goalkeeper,"May 6, 1994 (28)",Argentina,"1,91m",right,"Jul 2, 2021","Jun 30, 2025"
Marco Sportiello,€1.50m,Goalkeeper,"May 10, 1992 (30)",Italy,"1,92m",right,"Jun 22, 2012","Jun 30, 2023"
Francesco Rossi,€100k,Goalkeeper,"Apr 27, 1991 (31)",Italy,"1,93m",right,"Aug 1, 2009","Jun 30, 2024"
Giorgio Scalvini,€30.00m,Centre-Back,"Dec 11, 2003 (19)",Italy,"1,94m",right,"Jul 9, 2021","Jun 30, 2027"
Merih Demiral,€25.00m,Centre-Back,"Mar 5, 1998 (25)",Turkey,"1,90m",right,"Jul 1, 2022","Jun 30, 2026"
Berat Djimsiti,€13.00m,Centre-Back,"Feb 19, 1993 (30)",Albania,"1,90m",right,"Jan 18, 2016","Jun 30, 2026"
Caleb Okoli,€10.00m,Centre-Back,"Jul 13, 2001 (21)",Italy,"1,91m",right,"Sep 1, 2020","Jun 30, 2026"
Rafael Tolói,€8.00m,Centre-Back,"Oct 10, 1990 (32)",Italy,"1,85m",right,"Aug 26, 2015","Jun 30, 2024"
José Luis Palomino,€3.50m,Centre-Back,"Jan 5, 1990 (33)",Argentina,"1,88m",left,"Jul 1, 2017","Jun 30, 2024"
Joakim Maehle,€14.00m,Left-Back,"May 20, 1997 (25)",Denmark,"1,85m",right,"Jan 4, 2021","Jun 30, 2025"
Matteo Ruggeri,€2.00m,Left-Back,"Jul 11, 2002 (20)",Italy,"1,87m",left,"Sep 1, 2020","Jun 30, 2026"
Brandon Soppy,€10.00m,Right-Back,"Feb 21, 2002 (21)",France,"1,81m",right,"Aug 19, 2022","Jun 30, 2026"
Davide Zappacosta,€7.00m,Right-Back,"Jun 11, 1992 (30)",Italy,"1,82m",right,"Aug 24, 2021","Jun 30, 2025"
Hans Hateboer,€6.00m,Right-Back,"Jan 9, 1994 (29)",Netherlands,"1,85m",right,"Jan 31, 2017","Jun 30, 2024"
Teun Koopmeiners,€30.00m,Defensive Midfield,"Feb 28, 1998 (25)",Netherlands,"1,83m",left,"Aug 30, 2021","Jun 30, 2025"
Marten de Roon,€12.00m,Defensive Midfield,"Mar 29, 1991 (32)",Netherlands,"1,85m",right,"Aug 10, 2017","Jun 30, 2024"
Éderson,€20.00m,Central Midfield,"Jul 7, 1999 (23)",Brazil,"1,83m",right,"Jul 6, 2022","Jun 30, 2026"
Simone Muratore,€300k,Central Midfield,"May 30, 1998 (24)",Italy,"1,86m",right,"Sep 1, 2020","Jun 30, 2023"
Mario Pasalic,€25.00m,Attacking Midfield,"Feb 9, 1995 (28)",Croatia,"1,88m",right,"Sep 1, 2020","Jun 30, 2025"
Jérémie Boga,€15.00m,Left Winger,"Jan 3, 1997 (26)",Cote d'Ivoire,"1,74m",right,"Jul 1, 2022","Jun 30, 2026"
Lukas Vorlicky,€100k,Left Winger,"Jan 18, 2002 (21)",Czech Republic,"1,86m",right,"Jan 1, 2023","Jun 30, 2025"
Ademola Lookman,€30.00m,Second Striker,"Oct 20, 1997 (25)",Nigeria,"1,74m",right,"Aug 4, 2022","Jun 30, 2026"
Rasmus Højlund,€35.00m,Centre-Forward,"Feb 4, 2003 (20)",Denmark,"1,91m",left,"Aug 27, 2022","Jun 30, 2027"
Duván Zapata,€10.00m,Centre-Forward,"Apr 1, 1991 (32)",Colombia,"1,89m",right,"Jan 17, 2020","Jun 30, 2024"
Luis Muriel,€8.00m,Centre-Forward,"Apr 16, 1991 (31)",Colombia,"1,79m",right,"Jul 1, 2019","Jun 30, 2024"
